Autor,Descrição,Desenho Livre,Document,Dossiê,Função Sérgio Britto,Link do Item,Local,Nome do material,Tipo de artigo,Título,Ano,Tipo de publicação,Elenco,Equipe Técnica,Veículo da publicação,Material de Divulgação,Número de páginas,Projeto Gráfico,Observação
Sergio Britto,Sergio Britto escreve livro de memórias  .,Não,,Sergio Britto,Autor,https://www.funarte.gov.br/acervo-sergio-britto-digital/memorias-3/,Rio de Janeiro,Manuscrito,datilografado,Memórias,,,,,,,,,
,Crítica da peça A Noite dos Campeões,,,A Noite dos Campeões,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-noite-dos-campeoes-4/,Rio de Janeiro,Hemeroteca,,A Noite dos Campeões,1975,critica,,,,,,,
,"Filme Sociedade em baby-doll, peça de Henrique Pongetti adaptada para o cinema por Luis Carlos Maciel. 
Elenco Marieta Severo, Cecil Thire, Aldo de Maio, Lady Hilda, Zilka Salaberry, Olga Danith e Valdemar Lima. Rodado nos estúdios da Cinedia. Elenco Ioná Magalhães, Nathalia Timberg, Sergio Britto, Italo Rossi e Andre Villon.
A história de dois casais, cujos maridos levam uma vida social muito exagerada.",,,Society em Baby Doll,Ator,https://www.funarte.gov.br/acervo-sergio-britto-digital/sociedade-em-baby-doll/,,Fotografia,,Sociedade em baby-doll,1965,,"Elenco Marieta Severo, Cecil Thire, Aldo de Maio, Lady Hilda, Zilka Salaberry, Olga Danith e Valdemar Lima. Rodado nos estúdios da Cinedia. Elenco Ioná Magalhães, Nathalia Timberg, Sergio Britto, Italo Rossi e Andre Villon.",,,,,,
,Direção da ópera A Traviatta para o Teatro Municipal.,,,LaTraviata,Diretor,https://www.funarte.gov.br/acervo-sergio-britto-digital/la-traviata-2/,Teatro Copacabana | Teatro Municipal,Fotografia,,La Traviata,1974,,,,,,,,
,"Peça O beijo no asfalto de Nelson Rodrigues
Elenco: Marilena de carvalho, Renato Consorte, Sergio Britto, Italo Rossi, Mario Lago, Fernanda Montenegro, Suely Franco, Labanca, Oswaldo Loureiro, Zilka salaberry, Francisco Cuoco, Ivan Ribeiro, Suzy Arruda, Carminha Brandão e Henrique Fernandes. Direção: Fernando Torres.",,,O Beijo no Asfalto,Ator,https://www.funarte.gov.br/acervo-sergio-britto-digital/beijo-no-asfalto/,,Fotografia,,Beijo no asfalto,1961,,"Elenco: Marilena de carvalho, Renato Consorte, Sergio Britto, Italo Rossi, Mario Lago, Fernanda Montenegro, Suely Franco, Labanca, Oswaldo Loureiro, Zilka salaberry, Francisco Cuoco, Ivan Ribeiro, Suzy Arruda, Carminha Brandão e Henrique Fernandes.",Direção: Fernando Torres.,,,,,
,"Sergio faleceu no dia 17 de dezembro de 2011, depois de uma longa internação no hospital Copa D'or.",,,Sergio Britto,Personalidade,https://www.funarte.gov.br/acervo-sergio-britto-digital/falecimento-de-sergio-britto/,Assembleia Legislativa o velório e o enterro no Cemitério do Caju,Fotografia,,Falecimento de Sergio Britto,2011,,,,,,,,
Oduvaldo Vianna Filho,Texto da peça Longa noite de cristal com 56 folhas,Não,,Textos Espetáculo,,https://www.funarte.gov.br/acervo-sergio-britto-digital/longa-noite-de-cristal-2/,,Manuscrito,digitado,Longa noite de cristal,,,,,,,,,
autores diversos,Clippnig sobre as matérias publicadas sobre a peça A última gravação de Krapp e Ato sem palavras I,,,A Útima Gravação de Krapp,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-ultima-gravacao-de-krapp-e-ato-sem-palavras-i-5/,Rio de Janeiro,Hemeroteca,,A última gravação de Krapp e Ato sem Palavras I,2008,reportagem,,,veículos diversos,,,,
,"Matérias diversas sobre a montagem de Arlequim pelo Teatro dos Doze. Peça Arlequim servidor de dois amos de Goldoni em tradução de Carla Civelli.
Elenco Sergio Cardoso, Rejane Ribeiro, Luiz Linhares, Jaime Barcelos, Zilah Maria, Elisio de Albuquerque, Sergio Britto, Beyla Genauer e Wilson Grey. Direção, cenários e figurinos Ruggero Jacobi. No Teatro Ginástico.",,,Arlequim,,https://www.funarte.gov.br/acervo-sergio-britto-digital/arlequim-8/,Rio de Janeiro,Hemeroteca,,Arlequim,1949,reportagem,,,veículos diversos,,,,
,"Peça O panorama visto da ponte de Arthur Miller, no TBC. Direção Alberto D'Aversa, cenários Mauro Francini e tradução R. Magalhães Jr. 
Elenco: Leonardo Villar, Elizabeth Henried, Nathalia Timberg, Egydio Eccio, Sergio Britto, Eduardo Waddington, Fernanda Montenegro, Carminha Brandão, Italo Rossi, Francisco Cuoco, Oscar Felipe e outros.",,,Teatro Brasileiro de Comédia,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-panorama-visto-da-ponte/,,Hemeroteca,,O panorama visto da ponte,1958,reportagem,,,,,,,
Rose Esquemazi,"Peça Orfão de Janio de Millôr Fernandes.
Elenco: Stella de Freitas, Suzana Vieira, Tereza Rachel, Claudio Correia e Castro, Milton Gonçalves e Helio Guerra. Direção: Sergio Britto. Cenografia de Paulo Mamede e figurinos de Mimina Roveda. No Teatro dos 4. Sergio recebeu o Troféu As máscaras do TECO de melhor direção.
Os personagens são órfãos dos anos 60, nascidos da peça americana Os filhos de Kennedy, de Robert Patrick, que Millor traduziu em 1976. A estrutura das duas peças é rigorosamente a mesma. Ambas têm como cenário um bar e como personagens o barman e mais quatro figuras solitárias.",,,Os Órfãos de Jânio,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-brito-dirige-os-orfaos-de-janio-retrato-dos-anos-60-e-70/,,Hemeroteca,,Sergio Brito dirige Os Órfãos de Jânio - retrato dos anos 60 e 70,1980,reportagem,,,Última Hora,,,,
Lelila Marco,"Matéria sobre a estréia do  monólogo que Sérgio Britto representa sob a direção de Isabel Cavalcanti. São duas peças curtas de Beckett, A última gravação de Krapp e Ato sem palavras.",,,A Útima Gravação de Krapp,,https://www.funarte.gov.br/acervo-sergio-britto-digital/paixao-e-ousadia-pela-arte/,Rio de Janeiro,Hemeroteca,,Paixão e ousadia pela arte,2008,reportagem,,,Revista Boa Vontade número 225,,,,
,Livro sobre as Companhias Teatrais que passaram no CCBB em 20 anos.,,,CCBB,Diretor,https://www.funarte.gov.br/acervo-sergio-britto-digital/ccbb-no-teatro/,,Impresso,,CCBB no Teatro,2009,,,,,Folheto,37,Alexandre de Castro,
,"Colocamos no site de financiamento coletivo Benfeitoria o Portal Sergio Britto Memórias. Uma das recompensas para os colaboradores era um bate papo com Nathalia Timberg. Esse evento aconteceu no dia 14 de setembro no Teatro dos Quatro e foi mediado por Hermes Frederico. Nas fotos Nathalia Timberg, Hermes Frederico e Marilia Brito",,,Sergio Britto,Personalidade,https://www.funarte.gov.br/acervo-sergio-britto-digital/evento-benfeitoria/,Rio de Janeiro - RJ | Teatro dos 4,Fotografia,,Evento Benfeitoria,2015,,,,,,,,
,Matéria sobre o jogo de futebol entre o elenco da peça Chapetuba e o elenco do espetáculo Mambembe.,,,Mambembe,,https://www.funarte.gov.br/acervo-sergio-britto-digital/na-cancha-chapetuba-x-madureira/,,Hemeroteca,,"Na cancha, Chapetuba X Madureira",,reportagem,,,,,,,
,"Programa sobre as peças de formatura dos alunos do primeiro semestre de 2015, são elas: Com a pulga atrás da orelha, Costureiro de madame e Folias do coração",,,CAL,,https://www.funarte.gov.br/acervo-sergio-britto-digital/impresso-das-pecas-de-formatura-dos-formandos-do-primeiro-semestre-de-2015/,Espaço Sergio Britto | Instituto CAL,Impresso,,Impresso das peças de formatura dos formandos do primeiro semestre de 2015,2015,,no programa,no programa,,Programa,8,,
,"Ópera II campanello de Dozinzetti
Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo. Direção: Sergio Britto e Cirlei de Hollanda.",,,Il Campanello,Diretor,https://www.funarte.gov.br/acervo-sergio-britto-digital/il-campanello-2/,,Fotografia,,Il Campanello,1992,,"Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo",Direção: Sergio Britto e Cirlei de Hollanda.,,,,,
