Acervo,Agente,Classificação,Descrição,Descrição Física,Document,Imprenta,Inf. publicação,Link do Item,Título,Assuntos,Conteúdo,Locais
Ítalo Rossi,Ítalo Rossi,ESP.TA,"Espetáculo Cantares (poema). [SP - São Paulo, 1978?]. Slides dos atores, autores, imagens temáticas, programação visual e nomes de atores e autores. Roteiro e direção Ítalo Rossi Slide 1: Bandeira (nome) Slide 2: Vinícius (nome) Slide 3: Kito Junqueira","55 slides : nº dig. 102, p&b e coloridas, higienizadas/em bom estado de conservação ; 3 cm x 3,5 cm.",128677,"São Paulo : [s.n.], [1978?].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/cantares-poema-sp-sao-paulo-1978-slides-dos-atores-autores-tematica-e-programacao-visual/,"Cantares (poema) / [SP - São Paulo, 1978?]: Slides dos atores, autores, temática e programação visual",,,
Tônia Carrero,Tônia Carrero,ESP.CV,"Cartaz do filme ""Pranzo di Famiglia"", [19--]. De Roberto Lerici. Direção Tinto Brass","1 neg. : nº dig. 66, higienizada ; 4,5 cm x 5,5 cm.",128675,"[S.l.: s.n.], [19--].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/almoco-em-familia-19-cartaz-anuncio-do-filme/,"Almoço em Família, [19--]: Cartaz anúncio do filme",,,
Tônia Carrero,Tônia Carrero,ESP.TA,"Pianista nascido em Recife, PE. Interpreta jazz, maracatu e frevo.",1 dossiê.,128669,[S.l.: s.n.].,Dossiê de impressos - Português,https://www.funarte.gov.br/colecoes-cedoc/freitas-amaro/,"Freitas, Amaro","Brasil | Freitas, Amaro | Jazz (Música) | Maracatu | Pascoal, Hermeto | Pianistas brasileiros",Recorte em formato digital.,
Tônia Carrero,Tônia Carrero,ESP.CV,"Cena do filme ""Os Mendigos"", 1962. Direção Flávio Migliaccio. Montagem e edição Flávio Migliaccio e Ruy Guerra Fot. 1: Cecil Thiré","1 fot. : nº dig. 72, p&b, higienizada/em bom estado de conservação ; 11,5 cm x 18 cm.",128649,"[S.l.: s.n.], 1962.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/os-mendigos-1962-cena-do-filme/,"Os Mendigos, 1962: Cena do filme",,,"No verso da foto consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""As Viúvas do Machado"". RJ - Rio de Janeiro, 1965. De Machado de Assis. Adaptação e direção Sergio Viotti. Produção Cia Eva e Seus Artistas. Figurino e cenário Pernambuco de Oliveira Fot. 1: Yolanda Cardoso e Mario Brasini Fot. 2: Eva Todor","2 fots. : nº dig. 70, p&b, higienizadas/em bom estado de conservação ; 12 cm x 16,5 cm a 12 cm x 17,5 cm.",128645,"Rio de Janeiro : [s.n.], 1965.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/as-viuvas-do-machado-rj-rio-de-janeiro-1965-cenas-do-espetaculo/,"As Viúvas do Machado / RJ - Rio de Janeiro, 1965: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""As Inocentes do Leblon"". RJ - Rio de Janeiro, 1965. De J.P. Grédy e Pierre Barillet. Direção Sergio Viotti. Produção Antonio de Cabo. Cia Antonio de Cabo Fot. 1: Margot Bird e Tereza Amayo Fot. 2: Tereza Amayo e Dorival Corper Fot. 3: Ter","5 fots. : nº dig. 69, p&b, higienizadas/em bom estado de conservação ; 11,5 cm x 17,5 cm a 18 cm x 11,5 cm.",128643,"Rio de Janeiro : [s.n.], 1965.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/as-inocentes-do-leblon-rj-rio-de-janeiro-1965-cenas-do-espetaculo/,"As Inocentes do Leblon / RJ - Rio de Janeiro, 1965: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas de espetáculos não identificados, [entre 195- e 197-]. Fot. 1: Tônia Carrero e atores não identificados Fot. 2: Tônia Carrero e ator não identificado Fot. 3: Paulo Autran, Tônia Carrero e ator não identificado Fot. 4: Tônia Carrero e Adolfo Celi F","1 dossiê (8 fotos: p&b; ... a 38,5 x 29,5cm) : Nº dig. 68.",128641,[S.l.: s.n.].,Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/espetaculos-nao-identificados-entre-195-e-197-cenas-dos-espetaculos/,"Espetáculos Não Identificados, [entre 195- e 197-] : Cenas dos espetáculos",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Peça ""Os Corruptos"" - Excursão, 1967. De Lilian Hellman. Tradução Clarice Lispector e Tati Moraes. Direção João Augusto Fot. 1: Tônia Carrero","1 fot. : nº dig. 67, p&b, higienizada/em bom estado de conservação ; 23,5 cm x 17,5 cm.",128639,"[S.l.: s.n.], 1957.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/os-corruptos-excursao-1957/,"Os Corruptos / Excursão, 1957",,,"No verso da foto consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Uma Certa Cabana"". Teatro Leopoldo Froes. SP - São Paulo, 1955. De Andre Roussin. Tradução Brício de Abreu. Direção Adolfo Celi Fot. 1: Tônia Carrero Fot. 2: Mauricio Barroso, Adolfo Celi, Tônia Carrero e Paulo Autran Fot. 3: Tônia Carrero","5 fots. : n° digital 34, p&b, higienizadas/em bom estado de conservação ; 11 cm x 10 cm a 17,5 cm x 19,5 cm.",128579,"São Paulo : [s.n.], 1955.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/uma-certa-cabana-sp-sao-paulo-1955-cenas-do-espetaculo/,"Uma Certa Cabana / SP - São Paulo, 1955: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Um deus dormiu lá em casa"". RJ - Rio de Janeiro, 1957. De Guilherme Figueiredo. Direção Adolfo Celi Fot. 1: Tônia Carrero e Paulo Autran Fot. 2: Tônia Carrero Fot. 3: Tônia Carrero e Benedito Corsi Fot. 4: Tônia Carrero e Paulo Autran Fot.","12 fots. : n° digital 33, p&b, higienizadas/em bom estado de conservação ; 15,5 cm x 11,5 cm a 22,5 cm x 29 cm.",128577,"Rio de Janeiro : [s.n.], 1957.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/um-deus-dormiu-la-em-casa-rj-rio-de-janeiro-1957-cenas-do-espetaculo/,"Um deus dormiu lá em casa / RJ - Rio de Janeiro, 1957: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Tiro e Queda"". Teatro Ginástico 1962 / Teatro Copacabana 1974. RJ - Rio de Janeiro. Autor Marcel Achad. Tradução Mário da Silva. Direção em 1962 de Antonio do Cabo e em 1974, Cecil Thiré. Cia Tônia Carrero Fot. 1: Tônia Carrero e atores n","16 fots : nº dig. 32, p&b, higienizadas/em bom estado de conservação ; 8 cm x 8 cm a 24 cm x 18 cm.",128575,"Rio de Janeiro : [s.n.], 1962-74.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/tiro-e-queda-rj-rio-de-janeiro-1962-74-cenas-do-espetaculo/,"Tiro e Queda / RJ - Rio de Janeiro, 1962-74: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Seis Personagens a Procura de um Autor"". AR - Buenos Aires, 1960 e RJ - Rio de Janeiro, 1959 - 60. De Pirandello. Direção Adolfo Celi Fot. 1: Tônia Carrero, Monah Delacy, Paulo Autran, Sebastião Vasconcelos e atores não identificados Fot.","1 dossiê (27 fotos: p&b; ... a 29,5 x 39cm) : N° dig. 30.",128569,"Buenos Aires e Rio de Janeiro : [s.n.], [1959 - 1960].",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/seis-personagens-a-procura-de-um-autor-ar-buenos-aires-1960-e-rj-rio-de-janeiro-1959-60-cenas-do-espetaculo/,"Seis Personagens a Procura de um Autor / AR - Buenos Aires, 1960 e RJ - Rio de Janeiro, 1959 - 60 : Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Santa Marta Fabril"". RJ - Rio de Janeiro, 1955. De Abilio Pereira de Almeida. Direção Adolfo Celi. Fot. 1: Paulo Autran e Tônia Carrero Fot. 2: Tônia Carrero","2 fots. : n° digital 29, p&b, higienizadas/em bom estado de conservação ; 17,5 cm x 12 cm a 17,5 cm x 23 cm.",128567,"Rio de Janeiro : [s.n.], 1955.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/santa-marta-fabril-rj-rio-de-janeiro-1955-cenas-do-espetaculo/,"Santa Marta Fabril / RJ - Rio de Janeiro, 1955: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Quem tem medo de Virginia Woolf"". SP - São Paulo, 1978. De Edward Albee Fot. 1: Tônia Carrero e Roberto Lopes Fot. 2: Tônia Carrero Fot. 3: Tônia Carrero, Roberto Lopes e Raul Cortez Fot. 4: Tônia Carrero e Roberto Lopes Fot. 5: Tônia Carr","10 fots. : n° digital 28, p&b, higienizadas/em bom estado de conservação ; 8 cm x 11,5 cm a 12,5 cm x 8,5 cm.",128565,"São Paulo : [s.n.], 1978.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/quem-tem-medo-de-virginia-woolf-sp-sao-paulo-1978-cenas-do-espetaculo/,"Quem tem medo de Virginia Woolf / SP - São Paulo, 1978: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983"""
Tônia Carrero,Tônia Carrero,ESP.TA,"Cenas da peça ""Otelo"". RJ - Rio de Janeiro, 1956. De Shakespeare Fot. 1: Felipe Wagner, Tônia Carrero, Paulo Autran, Sebastião Vasconcelos, Margarida Rey e elenco Fot. 2: Margarida Rey e Tônia Carrero Fot. 3: Margarida Rey, Tônia Carrero e Felipe Wagner","25 fots. : nº dig. 26, p&b, higienizadas/em bom estado de conservação ; 5,5 cm x 6 cm a 17 cm x 13 cm.",128561,"Rio de Janeiro : [s.n.], 1956.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/otelo-rj-rio-de-janeiro-1956-cenas-do-espetaculo/,"Otelo / RJ - Rio de Janeiro, 1956: Cenas do espetáculo",,,"No verso das fotos consta o carimbo ""CENACEN-INACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO de Tônia Carrero RJ - 13/12/1983 e 11/12/1979"""
