Agente,Coleção,Document,Faixa,Gênero,Link do Item,Título,Ano
Paulo Autran,Série Depoimentos,122431,2/2,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-paulo-autran-segunda-parte/,Entrevista com Paulo Autran – Segunda Parte,
Paulo Autran,Série Depoimentos,122429,1/2,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-paulo-autran-primeira-parte/,Entrevista com Paulo Autran – Primeira Parte,
Tônia Carrero,Série Depoimentos,122427,2/2,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-tonia-carrero-segunda-parte/,Entrevista com Tônia Carrero – Segunda Parte,
Tônia Carrero,Série Depoimentos,122425,1/2,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-tonia-carrero-primeira-parte/,Entrevista com Tônia Carrero – Primeira Parte,
Nelson Rodrigues,Série Depoimentos,122423,3/3,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-nelson-rodrigues-terceira-parte/,Entrevista com Nelson Rodrigues – Terceira parte,
Nelson Rodrigues,Série Depoimentos,122421,2/2,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-nelson-rodrigues-segunda-parte/,Entrevista com Nelson Rodrigues – Segunda Parte,
Nelson Rodrigues,Série Depoimentos,122419,1/2,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-nelson-rodrigues-primeira-parte/,Entrevista com Nelson Rodrigues – Primeira Parte,
Walter Pinto,Série Depoimentos,122417,4/4,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-walter-pinto-quarta-parte/,Entrevista com Walter Pinto – Quarta Parte,
Walter Pinto,Série Depoimentos,122415,3/4,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-walter-pinto-terceira-parte/,Entrevista com Walter Pinto – Terceira Parte,
Walter Pinto,Série Depoimentos,122413,2/4,Entrevista,https://www.funarte.gov.br/brasil-memoria-das-artes/entrevista-com-walter-pinto-segunda-parte/,Entrevista com Walter Pinto – Segunda Parte,
