Agente,Descrição,Document,Link do Item,Número do Programa,Título
Falcão,"Brega: segundo a definição no dicionário o que é cafona, não é chique ou estiloso. Na música, é considerado brega àquelas canções com exageros de romantismo e dramaticidade; àquelas que vêm das camadas populares. A definição de “música brega” ganhou força no começo dos anos 70. Foram enquadrados nesse estilo artistas populares que fizeram muito sucesso e conquistaram o público como Odair José, Sidney Magal, Waldick Soriano, Reginaldo Rossi e... esse cantor e compositor, tema desta edição do Estúdio F: Falcão!
",163704,https://www.funarte.gov.br/estudio-f/466-falcao/,466,466 - Falcão
Guiomar Novaes,"É muito difícil conhecer alguém que nunca tenha ouvido falar da esperta Narizinho, que participa de muitas peripécias no Sítio do Pica-Pau Amarelo. O que muita gente não sabe é que o escritor Monteiro Lobato se inspirou em sua vizinha para criar a personagem Narizinho. É a história dessa menina, que cresceu e marcou seu nome na história como uma das maiores pianistas do século XX, que trazemos nessa edição do Estúdio F. Estamos falando da pianista Guiomar Novaes, que antes dos sete anos de idade já tocava piano com primazia e que ao logo da vida deixou muita gente estupefata com seu talento nato.
",163685,https://www.funarte.gov.br/estudio-f/470-guiomar-novaes/,470,470 - Guiomar Novaes
Gaúcho da Fronteira,"A cidade de Rivera, no Uruguai, tem uma aproximação muito grande com o Brasil. Ela divide com a cidade vizinha de Santana do Livramento, no Rio Grande do Sul, a chamada “Fronteira da paz” onde milhares de habitantes vivem de forma harmoniosa, dividem as culturas de seus países e falam uma mistura de português e espanhol. Foi lá, nesse caldeirão cultural de povos e línguas, que nasceu este cantor e compositor que vem nos alegrar nesta edição do Estúdio F. Com vocês, as histórias, a criatividade e a irreverência de Gaúcho da Fronteira!
",163631,https://www.funarte.gov.br/estudio-f/441-gaucho-da-fronteira/,441,441 - Gaúcho da Fronteira
Francisco Mignone,"Esta edição do Estúdio F é dedicada a um importante personagem da música erudita brasileira, que sempre colocou um pezinho na música popular. Aliás, pode-se dizer que, com ele, a música popular também pôde colocar o seu pezinho na música erudita, já que a preocupação com as sonoridades tipicamente brasileiras foi parte importante do processo criativo deste compositor, regente e pianista erudito filho de um italiano e, ao mesmo tempo, brasileiríssimo. Com vocês, Francisco Mignone!  ",163586,https://www.funarte.gov.br/estudio-f/469-francisco-mignone/,469,469 - Francisco Mignone
Juca Chaves,"Que o ouvinte nos perdoe pelo clichê, mas humor é coisa séria. E poucos artistas brasileiros seguiram essa frase tão à risca quanto o nosso personagem desta edição do Estúdio F. Um verdadeiro menestrel que sempre nos fez rir sem nunca deixar de manifestar suas opiniões sobre política e sociedade e que, assim, nos fez também refletir. Com vocês: Juca Chaves!  ",163571,https://www.funarte.gov.br/estudio-f/464-juca-chaves/,464,464 - Juca Chaves
Nando Reis,"Fazer parte de uma banda de rock e alcançar com ela o estrelato é o sonho de muitos, mas é uma conquista de poucos. Ser um artista solo de sucesso, então, é ainda mais difícil. E o que dizer de ser tudo isso e, ainda por cima, também um grande compositor, responsável por sucessos de artistas do quilate de Cássia Eller, Marisa Monte, Jota Quest, Skank, Cidade Negra e grande companhia? Pois esse é o caso do personagem desta edição do Estúdio F de hoje. Com vocês: Nando Reis!  ",163552,https://www.funarte.gov.br/estudio-f/347-nando-reis/,347,347 - Nando Reis
Caju e Castanha,"Eles começaram muito cedo se apresentando em praças e feiras de Recife e se tornaram especialistas em improvisar com os acontecimentos do dia-a-dia. Rápidos com os pandeiros e com as palavras, essa dupla se tornou muito popular e conseguiu conquistar a crítica com sua arte. E com codinomes que remetem à fruta mais popular do Nordeste, eles são reconhecidos pelo feito de ""urbanizar a embolada"". Esta edição do Estúdio F traz toda a graça e o bom humor dos emboladores Caju e Castanha!
",163537,https://www.funarte.gov.br/estudio-f/351-caju-e-castanha/,351,351 - Caju e Castanha
Carlinhos Brown,"Inquieto e inovador, ele se destacou na percussão no início da sua carreira e não parou mais. É compositor, cantor, produtor, arranjador, agitador cultural e... até jurado de um programa na TV. Conquistou muitos fãs pelo caminho, ganhou prêmios diversos e fez turnês pelo mundo. No samba, na balada, no rock, nos tambores da Timbalada, ele é Carlinhos Brown – showman que é o personagem desta edição do Estúdio F.",163502,https://www.funarte.gov.br/estudio-f/321-carlinhos-brown/,321,321 - Carlinhos Brown
Turíbio Santos,"Ele é um dos maiores violonistas do Brasil de todos os tempos. Com mais de 60 discos gravados e uma infinidade de concertos nacionais e internacionais, sua atuação foi fundamental para o registro das obras de compositores como Heitor Villa-Lobos e João Pernambuco, bem como para a divulgação da música clássica brasileira no exterior. Estamos falando de Turíbio Santos, nosso  homenageado desta edição do Estúdio F.
",163459,https://www.funarte.gov.br/estudio-f/471-turibio-santos/,471,471 - Turíbio Santos
Chico Anysio,"Chico Anysio foi um dos maiores humoristas brasileiros de todos os tempos, além de ator, diretor de cinema, escritor, pintor, radialista, roteirista, comentarista de futebol... Mas pouca gente sabe que, no meio dessa trajetória multifacetada, Chico foi também um compositor de mão cheia, com mais de 200 canções gravadas, entre baiões, sambas, boleros, marchas… Pois é esse Chico Anysio compositor o tema desta edição do Estúdio F.",163675,https://www.funarte.gov.br/estudio-f/465-chico-anysio/,465,465 - Chico Anysio
Roberto Leal,"Ele ganhou 30 discos de ouro e 5 de platina. Muito alegre, foi cantor, compositor, ator, empresário... Como um autêntico luso-brasileiro, ficou conhecido o embaixador da cultura portuguesa no Brasil. As histórias e as músicas dele, Roberto Leal, são as atrações desta edição do Estúdio F.",163418,https://www.funarte.gov.br/estudio-f/463-roberto-leal/,463,463 - Roberto Leal
David Nasser,"Repórter polêmico da revista mais famosa do Brasil a partir da década de 1940, ele entrou para a história também como compositor de grandes sucessos do nosso cancioneiro, como o samba “Canta Brasil”, a marchinha “Confete”, a valsa “Fim de ano” e o “Baião da Penha”. David Nasser é o personagem desta edição do Estúdio F.",163402,https://www.funarte.gov.br/estudio-f/462-david-nasser/,462,462 - David Nasser
Vanusa,"Dona de uma das vozes mais notáveis da música brasileira, essa paulista criada em Minas Gerais surgiu para o Brasil na época da Jovem Guarda e colecionou sucessos ao longo da carreira. Estamos falando de VANUSA, personagem desta edição do Estúdio F ",163382,https://www.funarte.gov.br/estudio-f/460-vanusa/,460,460 - Vanusa
Aloysio de Oliveira,"Ele fez serenatas com Noel Rosa e compôs alguns clássicos da MPB com Tom Jobim, como “Dindi” e “Só tinha de ser com você”. Como produtor, criou shows emblemáticos na noite de Copacabana e fundou sua própria gravadora, a Elenco, pra dar vez aos artistas da bossa nova nos anos 60. Com seu conjunto vocal, o Bando da Lua, correu o mundo e os filmes de Hollywood cantando e tocando com Carmen Miranda durante a década de 40. Aloysio de Oliveira é o personagem desta edição do Estúdio F.",163378,https://www.funarte.gov.br/estudio-f/459-aloysio-de-oliveira/,459,459 - Aloysio de Oliveira
A Turma do Balão Mágico,"Eles entraram para a história como o 1º grupo infantil da música brasileira a emplacar mais de 1 milhão de cópias vendidas em mais de um disco. Com hits que se tornaram febre no Brasil, eles conquistaram o público com suas músicas e um programa diário só pra eles, na Rede Globo de Televisão. Com vocês, a atração desta edição do Estúdio F: A Turma do Balão Mágico! ",163366,https://www.funarte.gov.br/estudio-f/457-a-turma-do-balao-magico/,457,457 - A Turma do Balão Mágico
Trem da Alegria,"A receita de sucesso de uma festa infantil na década de 80 era tão simples quanto infalível: bolo, guaraná, muito espaço para a criançada correr e o som desse conjunto tocando bem alto na vitrola. Estamos falando do Trem da Alegria, tema desta edição do Estúdio F. ",163336,https://www.funarte.gov.br/estudio-f/456-trem-da-alegria/,456,456 - Trem da Alegria
Bia Bedran,"“Alumiou, alumiou no céu... Alumiou, alumiou no mar... A estrela-guia já me segredou...” que na próxima edição do Estúdio F ouviremos as músicas e os causos da compositora, cantora, violonista, escritora, contadora de histórias, atriz, autora teatral BIA BEDRAN. É neste sábado às 21 horas (com reprise no domingo, às 6 da manhã), aqui na sua Rádio Nacional.",163330,https://www.funarte.gov.br/estudio-f/455-bia-bedran/,455,455 - Bia Bedran
Agepê,"Ele entrou para a história como o 1º cantor de samba a vender mais de 1 milhão de discos na década de 1980. No samba romântico, conquistou o público com sucessos como “Moro onde não mora ninguém”, “Menina dos cabelos longos” e (o maior de todos) “Deixa eu te amar”. A história e as músicas de Agepê são as atrações desta edição do Estúdio F. ",163320,https://www.funarte.gov.br/estudio-f/454-agepe/,454,454 - Agepê
Toninho Nascimento,"Diretamente de Belém do Pará para os discos de grandes nomes como Clara Nunes, Beth Carvalho, Elza Soares e Paulinho da Viola, entre muitos outros, este compositor escreveu versos eternos do samba e foi parceiro de mestres como Wilson Moreira, Wilson das Neves, Noca da Portela e o pernambucano Romildo, com quem fez seus maiores sucessos. Ele é Toninho Nascimento, personagem desta edição do Estúdio F.",163306,https://www.funarte.gov.br/estudio-f/453-toninho-nascimento/,453,453 - Toninho Nascimento
Ivor Lancellotti,"Vamos mergulhar na obra e na vida de um artista que teve seus sambas gravados por grandes nomes como João Nogueira, Alcione, Beth Carvalho, Clara Nunes, Elizeth Cardoso e Roberto Carlos. O compositor, cantor e violonista Ivor Lancellotti é o tema desta edição do Estúdio F.",163291,https://www.funarte.gov.br/estudio-f/449-ivor-lancellotti/,449,449 - Ivor Lancellotti
Roberta Miranda,"Nesta edição do Estúdio F vamos ouvir muitas histórias de amor, dores-de-cotovelo e reconciliações numa edição todinha dedicado à Rainha do Sertanejo, com vocês: Roberta Miranda! ",163273,https://www.funarte.gov.br/estudio-f/447-roberta-miranda/,447,447 - Roberta Miranda
Catulo da Paixão Cearense,"Poeta, letrista, cantor, escritor, memorialista... Ele fez história na música popular brasileira cantando o sertão e o amor, com um cancioneiro até hoje imortalizado onde quer que haja uma seresta. O poeta sertanejo Catulo da Paixão Cearense é o personagem desta edição do Estúdio F. ",163260,https://www.funarte.gov.br/estudio-f/419-catulo-da-paixao-cearense/,419,419 - Catulo da Paixão Cearense
José Ricardo,"Esse cantor de voz possante surgiu junto com a Jovem Guarda e embalou músicas românticas ao longo das décadas, além de se destacar por ações sociais. Estamos falando de José Ricardo, personagem desta edição do Estúdio F.",163245,https://www.funarte.gov.br/estudio-f/417-jose-ricardo/,417,417 - José Ricardo
Zezé Motta,"Ela atua, canta, dança... É reconhecida por seu comprometimento com as lutas sociais e contra o racismo, especialmente depois de ter entrado pra história interpretado no cinema a inesquecível Xica da Silva. Zezé Motta é a personagem desta edição do Estúdio F.",163222,https://www.funarte.gov.br/estudio-f/416-zeze-motta/,416,416 - Zezé Motta
Velha Guarda da Portela,"Sambas inspirados sobre amores, sobre a natureza e a vida alegre do subúrbio. Cantados em coro – a plenos pulmões – e tocados com sabor rural, à moda antiga de Oswaldo Cruz, bairro da zona norte carioca onde (lá na década de 1920) foi fundada uma das mais tradicionais escolas de samba de que se tem notícia. Preparem-se, ouvintes, que vem aí, nesta edição do Estúdio F, a Velha Guarda da Portela.",163206,https://www.funarte.gov.br/estudio-f/415-velha-guarda-da-portela/,415,415 - Velha Guarda da Portela
J. B. de Carvalho,"Apesar de ter gravado muitos sambas e marchinhas, foram as músicas de terreiro que deram a ele o sucesso merecido, além do apelido de “o batuqueiro famoso”. O cantor, compositor e percussionista J. B. de Carvalho é o personagem da próxima edição do Estúdio F, neste sábado, às 21 horas (com reprise no domingo, ás 6 da manhã), aqui na sua Rádio Nacional.",163189,https://www.funarte.gov.br/estudio-f/414-j-b-de-carvalho/,414,414 - J. B. de Carvalho
Leila Pinheiro,"Música de festival, bossa nova, samba, bolero, coco, canção amazônica, samba-canção... Tem de tudo no repertório desta edição do Estúdio F, que vai contar as histórias e trazer alguns sucessos de uma das artistas mais especiais da música popular brasileira: a cantora, compositora e pianista Leila Pinheiro.",163173,https://www.funarte.gov.br/estudio-f/413-leila-pinheiro/,413,413 - Leila Pinheiro
Padeirinho da Mangueira,"Nesta edição do Estúdio F, viajaremos por um universo verde e rosa, puro e autêntico. Samba de terreiro, sincopado, partido-alto e dolente. Vamos conhecer a obra e os sambas dos compositores mangueirenses através de um dos principais personagens do samba: Padeirinho da Mangueira!",163153,https://www.funarte.gov.br/estudio-f/412-padeirinho-da-mangueira/,412,412 - Padeirinho da Mangueira
Tião Carreiro e Pardinho,"Considerados os “Reis do Pagode de Viola”, esses cantores uniram suas vozes numa das duplas sertanejas mais cultuadas do país, com sucessos ao longo de quatro décadas. Estamos falando de Tião Carreiro e Pardinho – dupla que é o tema desta edição do Estúdio F.",163135,https://www.funarte.gov.br/estudio-f/411-tia%cc%83o-carreiro-e-pardinho/,411,411 - Tião Carreiro e Pardinho
Benito Di Paula,"Piano de salão tocando samba, não só música clássica ou jazz. Foi essa a proposta de um jovem artista de Nova Friburgo (no estado do Rio) que fez seus primeiros acordes lá pela década de 1960, bem antes de se tornar estrela nacional. Isso quando era ainda crooner em boates do Rio e de São Paulo, antes de se tornar o pianista de fraque e gravata borboleta que todos conhecemos. Senhoras e senhores, nesta edição do Estúdio F, a trajetória, o talento e o “novo samba” de Benito Di Paula. ",163119,https://www.funarte.gov.br/estudio-f/377-benito-di-paula/,377,377 - Benito Di Paula
Virginia Lane,"Nesta edição do Estúdio F, vamos falar sobre a trajetória de uma das grandes estrelas do teatro de revista. Carioca de personalidade irreverente, conquistou três gerações de brasileiros, ditou tendências através das páginas de revistas e recebeu de Getúlio Vargas o título de “A Vedete do Brasil”. Com dezenas de participações no cinema, ela foi responsável por imortalizar sucessos de carnaval, como “Sassaricando”, “Marcha da Pipoca” e “Zé Corneteiro”, entre outras grandes marchinhas. Com vocês, o sucesso e o carisma de Virgínia Lane!",163099,https://www.funarte.gov.br/estudio-f/353-virginia-lane/,353,353 - Virgínia Lane
,"Ele dedicou boa parte de sua vida a criar histórias infantis. Seus livros eram cheios de invencionices muito legais. Uma delas era o pó de pirlimpimpim, cuja magia levava seus personagens para qualquer canto dentro ou fora do mundo. Para o passado ou para o futuro. Para o reino das águas claras ou para o reino do faz de conta. Para um sítio onde o pica-pau é amarelo. Com vocês, nesta edição do Estúdio F: Monteiro Lobato!",163081,https://www.funarte.gov.br/estudio-f/195-monteiro-lobato/,,195 - Monteiro Lobato
