Agente,Document,Link do Item,Tipo do Programa,Título,Data,Número do Programa
Bronx Arts Ensemble Orchestra | Carlos Aponte | Diego Vega | Fort Worth Symphony Orchestra | Gerardo Duran | German Cáceres | Jimmy López | Orquesta Filarmónica de la Cuidad de México | Orquesta Sinfónica de Venezuela | Syracuse University Symphony Orchestra | William Cepeda,157652,https://www.funarte.gov.br/musica-nas-americas/programa-44-composicoes-para-orquestra/,Repertório,Programa 44 - Composições para orquestra,,
Marco Alunno,157640,https://www.funarte.gov.br/musica-nas-americas/programa-43-marco-alunno/,Entrevista,Programa 43 - Marco Alunno,,
Adrián Pertout | Beatriz Zoppolo | Carlos Chávez | Cuarteto Latinoamericano | Ensemble Rio | Ernst Mahle | Esteban Falconi | Leonardo Coral | Renée Pietrafesa | Trio Erytheia,157594,https://www.funarte.gov.br/musica-nas-americas/programa-42-trios/,Repertório,Programa 42 - Trios,,
Quarteto Q-Arte,157585,https://www.funarte.gov.br/musica-nas-americas/programa-41-quarteto-q-arte/,Intérpretes,Programa 41 - Quarteto Q-Arte,,
Luís Moya,157577,https://www.funarte.gov.br/musica-nas-americas/programa-40-luis-moya/,Entrevista,Programa 40 - Luís Moya,,
Andrés Carrizo | Carlos Sanchez Gutierrez | Claudia Calderon | Efraín Amaya | Eighth Blackbird | Gerardo Salazar | Grupo Percussionista de Câmara | Javier Calvino | Jeffrey Heisler | Olman Piedra | Tambuco,,https://www.funarte.gov.br/musica-nas-americas/programa-39-em-torno-da-percussao/,Repertório,Programa 39 - Em torno da percussão,,
Alexandre Schubert,157534,https://www.funarte.gov.br/musica-nas-americas/programa-38-alexandre-schubert/,Entrevista,Programa 38 - Alexandre Schubert,,
Benjamín Gutiérrez | Carlos Laguna | Eduardo Angulo | Jorge Antunes | José Wellington | Laila Oazen | Mario Feito | Marlos Nobre | Miguel Angel Villanueva | Orquesta Sinfónica Nacional de Costa Rica | Orquestra Sinfônica Nacional,157495,https://www.funarte.gov.br/musica-nas-americas/programa-37-formas-livres/,Repertório,Programa 37 - Formas livres,,
Quarteto Brasília Sax,157484,https://www.funarte.gov.br/musica-nas-americas/programa-35-quarteto-brasilia-sax/,Intérpretes,Programa 35 - Quarteto Brasília Sax,,
Astor Piazzolla | Carlos Guastavino | Duo Andino | Esteban Ariel D'Antona | Inca Rose Duo | Jorge Cardoso | Jorge Papadopoulos | Luís Victor Gentilini | Orquesta de Cámara de Chile | Orquestra Juvenil da Rádio Nacional | Quarteto de Violões do Chile | Sergio Hualpa,157436,https://www.funarte.gov.br/musica-nas-americas/programa-35-compositores-argentinos/,Repertório,Programa 35 - Compositores argentinos,,
