Agente,Descrição,Document,Link do Item,Título
Alexandre Raine | Bandas de Música | Painel Funarte de Bandas de Música,"O Coordenador de Bandas de Música da Funarte, Alexandre Raine, comunica a abertura das inscrições para o Painel de Bandas que será realizado entre 27 e 29 de setembro de 2019, na cidade de Jaguaribe (CE).",158233,https://www.funarte.gov.br/videos/estao-abertas-as-inscricoes-para-o-painel-funarte-de-bandas-de-musica-em-jaguaribe-ce/,Estão abertas as inscrições para o Painel Funarte de Bandas de Música em Jaguaribe (CE)
Candido Portinari,"Reconhecido mundialmente como grande pintor, Candido Portinari é lembrado também por uma faceta menos conhecida, a de poeta, como comprova o livro ""Poemas de Portinari"", que tem sua terceira edição lançada pela Funarte no mês de junho de 2019. Neste vídeo, sua produção de versos é lembrada através dos depoimentos de seu filho, João Candido Portinari, do presidente da Academia Brasileira de Letras, Marco Lucchesi, e da escritora e professora Ana Arruda Callado. Outras participações decisivas são as do trio responsável pela organização do livro: a crítica literária e pesquisadora Letícia Ferro, a escritora e professora Patrícia Porto e a arte-educadora Suely Avellar, esta também coordenadora do Projeto Portinari, que, com esta publicação, comemora 40 anos de sua fundação.

FUNARTE

Presidente: Miguel Proença
Diretora do Centro de Programas Integrados: Maristela Rangel
Gerente de Edições: Oswaldo Carvalho
Coordenador de Difusão e Pesquisa: Pedro Paulo Malta

Site oficial: http://www.funarte.gov.br/
Facebook: https://www.facebook.com/funarte
Twitter: https://twitter.com/funarte

Ministério da Cidadania | Fundação Nacional das Artes",124739,https://www.funarte.gov.br/videos/poemas-de-portinari-a-outra-faceta-do-grande-pintor-e-tema-do-novo-livro-da-funarte/,Poemas de Portinari: a outra faceta do grande pintor é tema do novo livro da Funarte
Benjamim Santos | Bia Bedran | teatro infantil | Weslley Fontenele,"Nome importante na história do teatro no Brasil, o dramaturgo Benjamim Santos tem sua obra dedicada às crianças reunida no livro ""Teatro infantil"", que a Funarte lança no dia 21 de maio de 2019 no Sesc Caixeiral, em Parnaíba (PI). A trajetória do artista piauiense é destacada neste vídeo pela cantora e contadora de histórias Bia Bedran e pelo pesquisador e professor de artes cênicas Weslley Fontenele. No fim do vídeo, ambos dividem com Benjamim a leitura de um trecho da peça ""Senhor rei, senhora rainha"" (Benjamim Santos, 1971).",124019,https://www.funarte.gov.br/videos/booktrailer-lancamento-da-funarte-reune-a-obra-de-benjamim-santos-dedicada-as-criancas/,Booktrailer: lançamento da Funarte reúne a obra de Benjamim Santos dedicada às crianças
Benjamim Santos | Bia Bedran | teatro infantil | Weslley Fontenele,"Personagem fundamental na história do teatro para crianças no Brasil, o dramaturgo Benjamim Santos tem sua obra reunida no livro ""Teatro infantil"", lançado pela Funarte em maio de 2019. Neste depoimento exclusivo, a compositora, cantora, contadora de histórias e escritora Bia Bedran fala da linguagem dramatúrgica nas peças infantis do amigo e parceiro.",124006,https://www.funarte.gov.br/videos/teatro-infantil-benjamim-santos-segundo-a-contadora-de-historias-e-escritora-bia-bedran/,Teatro infantil: Benjamim Santos segundo a contadora de histórias e escritora Bia Bedran
Benjamim Santos | teatro infantil | Weslley Fontenele,"Personagem fundamental na história do teatro para crianças no Brasil, o dramaturgo Benjamim Santos tem sua obra reunida no livro ""Teatro infantil"": lançamento da Funarte em maio de 2019. Autor do prefácio do livro, o pesquisador e professor de artes cênicas Weslley Fontenele fala neste vídeo da expectativa de Benjamim, que considera a publicação o ""livro de sua vida"".",123994,https://www.funarte.gov.br/videos/teatro-infantil-o-livro-da-vida-de-benjamim-santos-segundo-o-professor-weslley-fontenele/,"Teatro Infantil: o 'livro da vida de Benjamim Santos', segundo o professor Weslley Fontenele"
Benjamim Santos | teatro infantil,"Personagem fundamental na história do teatro para crianças no Brasil, o dramaturgo Benjamim Santos tem sua obra reunida no livro ""Teatro infantil"", lançado pela Funarte em maio de 2019. Neste depoimento exclusivo, ele fala da importância de se preservar o espaço da criança enquanto plateia.",123983,https://www.funarte.gov.br/videos/teatro-infantil-dramaturgo-benjamim-santos-destaca-a-importancia-da-crianca-em-sua-obra/,Teatro Infantil: dramaturgo Benjamim Santos destaca a importância da criança em sua obra
Cia PeQuod Teatro de Animação | Lilian Bertin | Liliane Xavier Cunha | Miguel Vellinho,"Liderada pela Cia PeQuod Teatro de Animação, ""Ocupação 3º Sinal"" leva espetáculos adultos e infantis ao Teatro Dulcina, no Centro no Rio. Saiba mais sobre a programação nesta entrevista com Miguel Vellinho, diretor da PeQuod e um dos idealizadores da ocupação, com Lilian Bertin e Liliane Xavier Cunha.",http://www.youtube.com/embed/zVNwwx74Rk4,https://www.funarte.gov.br/videos/bonecos-em-cartaz-no-teatro-dulcina/,Bonecos em cartaz no Teatro Dulcina
Antônio Cândido | Pedro Karp Vasquez,"Vídeo de divulgação do lançamento de “O uso criativo de acervos fotográficos”, livro de Pedro Karp Vasquez (Cadernos Técnicos de Conservação Fotográfica - Volume 8/CCPF). Neste vídeo, autor lê o poema “Guardar”, de Antônio Cândido. Edições Funarte/2016.",https://www.youtube.com/embed/zskue20eDJQ,https://www.funarte.gov.br/videos/book-trailer-do-livro-o-uso-criativo-de-acervos-fotograficos-de-pedro-karp-vasquez/,"Book trailer do livro “O uso criativo de acervos fotográficos”, de Pedro Karp Vasquez"
Eber Rodrigues | Marcos Lopes | Natália Duzzi,"Após temporada de sucesso no 1º semestre deste ano, ""Sete gatos pardos no telhado da casa amarela"" retorna ao Complexo Cultural Funarte SP para curta temporada até 26 de agosto. Neste vídeo, a peça é apresentada pelo autor e diretor, Marcos Lopes, e pelos atores Eber Rodrigues, Ricardo Naufel e Natália Duzzi.",http://www.youtube.com/embed/ZKAsisulGXY,https://www.funarte.gov.br/videos/sete-gatos-pardos-volta-aenbsp-funarte-sp/,'Sete gatos pardos' volta ænbsp; Funarte SP
Marco Túlio. | Rosana Lemos,"Ação realizada desde 2000, o Painel Funarte de Bandas de Música terá sua próxima edição em Belo Horizonte, entre 10 e 12 de novembro de 2017, com inscrições gratuitas. A ação é o tema deste vídeo, que traz depoimentos da coordenadora de Bandas da Funarte, Rosana Lemos, e do professor Marco Túlio.",http://www.youtube.com/embed/YBTc-r7C5dM,https://www.funarte.gov.br/videos/painel-funarte-de-bandas-chega-a-bh/,Painel Funarte de Bandas chega a BH
