Autor,Características estilísticas,Características iconográficas/ornamentais,Características técnicas,Classificação,Condições de reprodução,Dados históricos,Data da fotografia,Data de produção,Denominação,Dimensões,Document,Esfera de proteção legal,Fotógrafo,Link do Item,Local de produção,Material/Técnica,Número de registro,Outros números,Palavras-chave,Procedência,Referências bibliográficas/arquivísticas,Resumo descritivo,Tipo de tombamento,Observações,Conjunto com nº,Título,Modo de aquisição,Data de aquisição,Marcas/Inscrições
Não identificado,"Tamborete para uso sanitário, característico do período colonial, de confecção rústica, com assento em couro cru.",Todo liso,"Móvel em madeira, composto de 12 partes de madeira recortada, encaixadas e coladas; assento revestido de couro, que era fixado originalmente por tachas metálicas, com um recorte circular ao meio.",05 Interiores > 05.5 Peça de Mobiliário,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,Século XVIII,Tamborete sanitário,"Altura (cm): 48,0 Largura (cm): 36,0 Comprimento (cm): Profundidade (cm):36,0 Diâmetro (cm): Peso (g): Circunferência (cm):",6410,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/tamborete-sanitario/,Brasil | Minas Gerais,couro | madeira recortada,679,MO 679 | sem nº tombo,brasil | minas gerais | mobiliário | século xviii | usos e costumes,Desconhecida,Ficha de Inventário de 01-09-1990; Ficha de Conservação e Restauração de 20-04-1990; Ficha Topográfica 1991-1996,"Tamborete de assento quadrado, revestido por couro, com uma abertura circular ao meio; pernas de secção quandragular e lisas, afinadas inferiormente; amarração em travessas retas.",Tombamento em conjunto,,,,,,
Não identificado,"Instrumento rústico, de origem local, datável do século XVIII ou XIX, utilizado para socar pedras na construção de ruas.",,"Peça em madeira recortada, composta de duas partes encaixadas.",06 Trabalho > 06.8 Equipamento de Uso Geral,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,Século XIX | Século XVIII,Maço de calceteiro,Altura (cm): 79 Largura (cm): 30 Comprimento (cm): Profundidade (cm): 20 Diâmetro (cm): Peso (g): Circunferência (cm):,6398,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/maco-de-calceteiro/,Brasil | Minas Gerais,madeira recortada,672,MO 672 | Tombo nº 1950.31.58,equipamento de uso geral | minas gerais | século xix | século xviii,Região de Sabará,Ficha de Inventário de 04-01-1990; Ficha de Conservação e Restauração de 23-11-1990; Ficha Topográfica 1991-1996.,"Bloco trapezoidal, liso, de cuja superfície superior se eleva um cabo comprido, de secção cilíndrica.",Tombamento em conjunto,O mesmo que malho,,,,,
Não identificado,"Imagem de provável origem mineira, datável de meados do século XVIII, de boa fatura, com a composição bem proporcional, movimento contido, com panejamento em dobras de caimento reto; rosto inexpressivo, de olhos pintados, nariz fino, boca de lábios apertados e pouco recortados; o estofamento, bem elaborado, em acantos e folhagens grandes imitando adamascado, é ao gosto do barroco.","Imagem designada como Santa Catarina de Siena, santa dominicana que viveu no século XV (morreu em 1380, com 33 anos). Como atributos mais freqüentes pode ter uma coroa de espinhos ou rosas – a santa foi uma estigmatizada como São Francisco de Assis –, um crucifixo, um coração, um rosário na mão ou no cinto do hábito ou ainda um livro (a santa deixou vários escritos de cunho teológico, apesar de não saber ler e escrever). É comum vermos a santa ao lado de São Domingos na cena em que este recebe de Nossa Senhora o Rosário* (*)Como em uma bandeira pintada pertencente ao acervo do Museu.","Imagem esculpida em um só bloco de madeira, dourada e policromada em vermelho, preto, branco e bege; punções e esgrafitos; furo na cabeça para resplendor.",02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,Século XVIII,Escultura Religiosa,"Altura (cm): 47,0 Largura (cm): 23,5 Comprimento (cm): Profundidade (cm): 18,5 Diâmetro (cm): Peso (g): Circunferência (cm):",6342,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/escultura-religiosa-46/,Brasil | Minas Gerais,dourada | madeira esculpida | policromada,641,MO 641 | Tombo nº 1950.02.10              ,escola mineira | escultura | religião | século xviii,[Igreja de Sabará],"Ficha Cadastral de 27-11-1989; Ficha de Conservação e Restauração 11-09-1990; Ficha Topográfica 1991-1996. CERINOTTI, Angela. Santos e Beatos de ontem e hoje. São Paulo, Globo, 2004 ROIG, Juan Ferrando. Iconografía de los Santos. Barcelona, Ediciones Omega, 1950.","Figura feminina, meia-idade, de pé, em posição frontal; cabeça inclinada à direita, olhos abaixados; braços flexionados a frente, sem as mãos; perna direita flexionada e a esquerda reta; pés em ângulo; Vestida com hábito e escapulário brancos, padronagem em motivos fitomorfos e florais dourados, com punções; cobrindo a cabeça uma coifa branca, de mesma padronagem, e véu preto; capa preta, que envolve a parte inferior do corpo, com padronagem em acantos e esgrafitos dourados; calça sapatos pretos com confetes dourados. Base elíptica vermelha, com quatro bicos, friso meia-cana invertida ao meio e friso dourado na borda superior.",Tombamento em conjunto,,427,Santa Catarina de Siena,,,
Não identificado,"Escultura de boa qualidade técnica, datável do século XIX, de rosto arredondado, olhos elípticos, de interior raso; sobrancelhas pintadas; nariz com a linha da frente chanfrada e ponta levemente arredondada; lábios de recortes suaves; mãos de dedos longilíneos e arredondados.","Iconografia: Mártir romana de família nobre. Forçada a casar, conseguiu converter o noivo S. Valentino ao Cristianismo e a levar vida casta e cristã. Recusando-se a sacrificar aos deuses, foi supliciada e, depois de morrer, sepultada no cemitério de Calixto. É representada tocando um instrumento musical ou, em alguns casos, a ouvir um anjo que toca. O seu atributo pessoal é um instrumento musical – uma lira ou um órgão de tubos, como é comum vê-la em Minas Gerais. Uma marca de sangue em volta do pescoço alude à sua degolação.","Imagem de roca (ou de vestir) esculpida em madeira, composta de seis partes encaixadas; policromia em rosa pálido (carnação); marrom (cabelos e olhos) e vermelho (lábios).",02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2020,Século XIX,Escultura Religiosa,"Altura (cm): 46,0 Largura (cm): 32,0 Comprimento (cm): Profundidade (cm): 18,0 Diâmetro (cm): Peso (g): Circunferência (cm):",7611,Federal,Arquivo Museu do Ouro,https://museudoouro.acervos.museus.gov.br/acervo/escultura-religiosa-45/,Brasil | Minas Gerais,madeira esculpida | policromada,630,,escola mineira | escultura | religião | século xix,Minas Gerais,"Ficha de Inventário de 24-11-1989; 2 Fichas de Conservação e Restauração de 24-11-1989; 2 Fichas Topográfica de 1991. 14 fotos coloridas 25x18. TAVARES, Jorge Campos. Dicionário de Santos. Porto, Lello & Irmãos Editores, 1990.","Imagem de roca desmontada, de uma figura feminina, composta do busto e de dois braços. Busto semi-esculpido, carnado de rosa, com os seios delineados; quatro recortes inferiores para fixação das ripas que formam o corpo da figura, e laterais dos ombros com pinos para fixação dos braços. Braços em duas partes unidas por articulação de bolacha nos cotovelos; parte posterior só desbastada; parte anterior (antebraço) carnada de rosa, terminado nas mãos, ambas tendo o anular e o médio dobrados, e os outros estendidos; na mão esquerda falta o dedo mínimo.",,,,Santa Cecília,Doação,,
Não identificado,"Flauta datável do século XIX, de fabricação seriada.",,"Flauta em ébano, torneado, desmontável em 5 partes; chaves* e aros em metal prateado (ou prata?), parafusados; estojo em madeira recortada, composta de 10 partes encaixadas e coladas; revestimento em feltro azul e espuma; falta a embocadura **.",06 Trabalho > 06.10 Equipamento Musical,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2020,Século XIX,Flauta e estojo,"Altura (cm): Largura (cm): Comprimento (cm): 63,0 Profundidade (cm): Diâmetro (cm): 3,0 Peso (g): Circunferência (cm):",7660,Federal,Acervo Museu do Ouro,https://museudoouro.acervos.museus.gov.br/acervo/flauta-e-estojo/,[Brasil],fundição | madeira | metal | recorte | torneado,615,MO 615 |  sem nº tombo,brasil | instrumento musical | século xix,Sabará,Ficha de Inventário de 23-11-1989/ 2 Fichas de Conservação e Restauração de 20-11-1990/ 4 Fichas Topográfica 1991 a 1993;,"Flauta em ébano, de secção cilíndrica, dividida em três partes, com onze (11) registros e cinco (chaves) em metal prateado; a separação das partes é feita por aros em metal prateado. Estojo retangular, envernizado, com dois fechos de pressão e alça retangular ligeiramente curva; interior revestido por espuma e feltro azul, com dois suportes recortados em semicírculos, onde se encaixam as partes desmontadas da flauta.",,"(*) A chave é a peça que serve para fechar ou abrir os orifícios; compõe-se de concha, haste e espátula. (**) A embocadura á parte superior dos instrumentos de sopro que se introduz na boca Comprada em 30/09/1982, de Benjamim Couto Lima e Luiz Pereira Lamego, de Sabará.Participou da exposição SESC/PMS – 1993, na Casa de Borba Gato. Medidas do estojo: 5,0 x 12,5 x 28,7 cm",,,Compra,1982,
Não identificado,"Objeto datável do século XVIII ou XIX, de fatura rústica.",,"Peça composta por duas partes de ferro fundido, unidas por pino.",06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,Século XIX | Século XVIII,Tesoura de ourives,"Altura (cm): Largura (cm): 5,0 Comprimento (cm): 16,5 Profundidade (cm): 1,5 Diâmetro (cm): Peso (g): Circunferência (cm):",6272,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/tesoura-de-ourives/,Brasil,ferro fundido,606,MO 606 | sem nº tombo,brasil | minas gerais | ourivesaria | século xix | século xviii,Desconhecida,Ficha de Inventário de 23-11-1989; Ficha de Conservação e Restauração de 20-11-1990; Ficha Topográfica 1991.,"Tesoura com duas hastes de extremos recurvados para dentro, retorcidas no outro extremo, onde se cruzam, formando a parte cortante, terminada em bico.",Tombamento em conjunto,Tesoura ou alicate de ourives,,,,,
Não identificado,,Comenda da Ordem de Cristo,"Cruz em prata martelada e fundida, banhada a ouro, com esmaltado branco e vermelho; alça martelada e cinzelada, encaixada.",09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,[Século XVIII],Comenda,"Altura (cm): 9,0 Largura (cm): 4,5 Comprimento (cm): Profundidade (cm): 0,7 Diâmetro (cm): Peso (g): 50,0 Circunferência (cm):",6114,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/comenda-2/,[Portugal],esmalte | fundição | martelagem | prata dourada,524,MO 524 | Tombo nº 1952.22.02,objeto comemorativo | portugal | século xviii,Desconhecida,Ficha Cadastral de 27-03-1975; Ficha de Conservação e Restauração 12-11-1990; Ficha Topográfica 1991; 1 foto colorida.,"Comenda em formato de cruz dourada, com a frente esmaltada em vermelho, com a borda em friso rendilhado; centro com outra cruz, em esmaltado branco, com contorno em friso dourado; parte superior com alça formada por dois êsses e um cê invertido, onde se prende uma argola elíptica chapeada, com a frente ornada em relevo de ramos com flores miúdas.",Tombamento em conjunto,,,Ordem de Cristo,,,
Não identificado,,"Trata-se da Cruz de Jerusalém que simboliza as cinco chagas de Cristo, que é a sigla da Ordem dos Cavaleiros do Santo Sepulcro.","Comenda em prata fundida e esmaltada em vermelho; coroa, argola e alça encaixadas.",09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,[Século XVIII],Comenda,"Altura (cm): 9,5 Largura (cm): 4,0 Comprimento (cm): Profundidade (cm): 0,7 Diâmetro (cm): Peso (g): 40,0 Circunferência (cm):",6112,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/comenda/,Europa,esmalte | prata fundida,523,MO 523 |  Tombo nº 1952.22.03,europa | objeto comemorativo | século xviii,Desconhecida,Ficha Cadastral de 27-03-1975; Ficha de Conservação e Restauração 12-11-1990; Ficha Topográfica 1991; 2 fotos coloridas.,"Comenda em cruz de travessões terminados em ponteiras perpendiculares; centro esmaltado em vermelho, com borda em friso serilhado (frente e verso); entre os ângulos, outras quatro cruzes menores, de mesmo feitio; arremate em uma coroa real, decorada com flores e friso perolado e encimada por globo com cruz latina, com argola circular onde se prende uma alça elíptica chapeada.",Tombamento em conjunto,,,[Ordem dos Cavaleiros do Santo Sepulcro],,,
Não identificado,"Naveta em prata lavrada, de boa execução, datável da segunda metade do século XVIII, com decoração típica da época, em transição do joanino para o rococó, com cês, angras, acantos, flores. Não apresenta marcas do ourives e da contrastaria, o que faz supor se tratar de uma peça mineira.","O brasão com as três estrelas e o monte pode ser o da Ordem Terceira do Carmo; cês, angras, flores, punções, folhagens.","Peça em prata fundida e cinzelada, composta por oito partes; quatro partes de correntes de espinho; duas alças de cobre substituem as originais, em prata.",09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",Não foram localizados dados específicos sobre o objeto.,2007,Século XVIII,Turíbulo,"Altura (cm): 19,5/90,0 (total) Largura (cm): Comprimento (cm): Profundidade (cm): Diâmetro (cm): 11,5 Peso (g): 930,0 Circunferência (cm):",6086,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/turibulo/,[Minas Gerais],prata lavrada,509,MO 509 | Tombo nº 1948.13.20,minas gerais | ourivesaria | religião | século xviii,Vale do Paraopeba,Ficha cadastral de 27-03-1975; Ficha de Conservação e Restauração 09-11-1990; Ficha Topográfica 1991-1996; 1 foto P&B no 299.,"Turíbulo de base circular, frisada; bojo abaulado, decorado em três cartelas, circundadas por angras, em cujo interior aparece um brasão encimado por coroa composto por nuvens com uma estrela central e duas outras por cima; envolvimento de acantos que descem da borda, onde aparece um ressalto curvo com orifício, onde se prende a corrente da tampa. Tampa em formato de cúpula, decorada em angras centrando vazados com folhas; envolvimento em folhas de acantos e junto à borda uma alça arrematada por palmeta (duas já substituídas) por onde corre a corrente; arremate m frisos e uma pinha revestida por folhagens. Quatro partes de correntes, presas superiormente a um prato circular, frisado, com orifício central, por onde corre uma das correntes, arrematada por argola.",Tombamento em conjunto,,,,,,
Não identificado,"Objeto mineiro, datado de 1797, procedente da região de Catas Altas de Mato Dentro, com pinturas de cunho ingênuo, decoração ao gosto rococó, com rocalhas e elementos sinuosos.","A devoção de Nossa Senhora das Mercês insere-se no tema das Virgens da Misericóridia e Tutela. Em Portugal, o primeiro altar dessa invocação foi construído na Província da Extremadura. Na Espanha, onde foi eleita padroeira dos cristãos aprisionados pelos mouros, a propagação do culto se deveu à Congregação da Santíssima Trindade e Redenção dos Cativos (Mercedários); a eles também se deve a difusão do culto no Brasil. Em Minas Gerais a invocação tomou maior impulso, possibilitando o florescimento das confrarias e irmandades de Nossa Senhora das Mercês, que entre nós estiveram associadas aos homens pardos. Iconograficamente, Nossa Senhora aparece vestida com o hábito branco dos mercedários, em cujo escapulário ostenta o brasão da ordem; é geralmente acompanhada por dois cativos, como vemos aqui, ajoelhados debaixo da proteção de seu manto.","Peça em madeira recortada, composta de seis partes encaixadas e fixadas por cravos; encaixe do tipo malhete; policromia em vermelho, branco, preto, ocre, azul e bege.",09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/","A caixa esmoler em questão deveria pertencer a Irmandade das Mercês de Catas Altas do Mato Dentro, instalada naquela vila por volta de 1794.",2007,1797 | Século XVIII,Caixa Esmoler,"Altura (cm): 34,5 Largura (cm): 23,5 Comprimento (cm): Profundidade (cm): 11,5 Diâmetro (cm): Peso (g): Circunferência (cm):",6022,Federal,Daniel Mansur,https://museudoouro.acervos.museus.gov.br/acervo/caixa-esmoler/,Brasil | Minas Gerais,madeira recortada | policromada,475,MO 475 | Tombo nº 1950.02.55,minas gerais | religião | rococó | século xviii,Catas Altas do Mato Dentro,"Ficha Cadastral de 27-03-1975; Ficha de Conservação e Restauração de 07-11-1990; Ficha Topográfica 1997. Iconografia da Virgem Maria. Belo Horizonte, IEPHA, 1982 (Caderno de Pesquisa, 1). JUNIOR, Augusto de Lima. História de Nossa Senhora em Minas Gerais. Belo Horizonte, Imprensa Oficial, 1956.","Caixa retangular, com pintura laterais em rocalhas vermelhas; frente com uma inscrição em preto (ver acima) sobre fundo branco, centrada por rocalhas vermelhas; tampo em marmorizado vermelho e branco, com orifício retangular à frente, e um outro mais ao canto, por trás; ao fundo se eleva um aparador, em recortes curvos, com pintura representando a Nossa Senhora das Mercês, que está de pé, em posição frontal, cabeça voltada para a esquerda, coberta por um véu vermelho; braços abertos para os lados, sustentando o manto; vestida com o hábito mercedário branco, com o brasão da ordem estampado no escapulário; está sendo coroada por dois anjos, que aparecem na parte superior, centrados por um cortinado vermelho; de cada lado, na parte inferior, aparece um cativo de joelhos, de mãos postas, com correntes presas aos pulsos; ambos trajando vestes vermelhas e ocre; ao fundo, do lado esquerdo, duas cabeças de pessoas; e do lado direito, uma cabeça levando uma mitra de bispo.",Tombamento em conjunto,,,,,,“Da Senhora das Mercês de Catas Altas de Mato-dentro 1797”
