link_item,titulo
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/48-80-anos-do-museu-nacional-de-belas-artes-rj.html,80 anos do Museu Nacional de Belas Artes RJ
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/45-museu-nacional-de-belas-artes-rio-de-janeiro-11.html,Museu Nacional de belas artes Rio de Janeiro 11
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/44-museu-nacional-de-belas-artes-rio-de-janeiro-01.html,Museu Nacional de belas artes Rio de Janeiro 01
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/43-museu-nacional-de-belas-artes-rio-de-janeiro-08.html,Museu Nacional de belas artes Rio de Janeiro 08
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/42-museu-nacional-de-belas-artes-rio-de-janeiro-04.html,Museu Nacional de belas artes Rio de Janeiro 04
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/41-museu-nacional-de-belas-artes-rio-de-janeiro-12.html,Museu Nacional de belas artes Rio de Janeiro 12
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/40-museu-nacional-de-belas-artes-rio-de-janeiro-08.html,Museu Nacional de belas artes Rio de Janeiro 08
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/39-npc-historia-visita-ao-museu-nacional-de-belas-artes-turma-1132.html,"NPC - História Visita ao Museu Nacional de Belas Artes, Turma:1132"
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/38-museu-nacional-de-belas-artes-no-rio.html,MUSEU NACIONAL DE BELAS ARTES NO RIO
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/37-trabalho-de-alpinismo-industrial-museu-nacional-de-belas-artes-rj.html,Trabalho de Alpinismo Industrial Museu Nacional de Belas Artes RJ
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/36-museu-nacional-de-belas-artes-recebe-exposicao-de-obras-primas-do-vaticano.html,Museu Nacional de Belas Artes recebe exposição de obras-primas do Vaticano
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/35-animacao-em-foco-trofeu-seth-cinema-de-animacao-mnba-rj.html,ANIMAÇÃO EM FOCO - TROFÉU SETH CINEMA DE ANIMAÇÃO - MNBA -RJ
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/34-dallier-no-museu-de-belas-artes-rj.html,Dallier no Museu de Belas Artes - RJ
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/33-neocultura-e-mnba-tvbrasil-jornalvisual.html,NEOCULTURA e MNBA_TVBrasil_JornalVisual
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/32-reabertura-da-galeria-de-arte-brasileira-moderna-e-contemporanea-mnba.html,Reabertura da Galeria de Arte Brasileira Moderna e Contemporânea MNBA
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/31-arquivo-sensivel-mnba.html,Arquivo Sensível - MNBA
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/30-mnba-no-programa-quot-paratodos-quot-tv-brasil.html,"MNBA no programa ""Paratodos"" - Tv Brasil"
