Altura (cm),Autor,Classificação,Condições de reprodução,Denominação,Document,Estado de conservação,Largura (cm),Link do Item,Localização atual,Material,Modo de aquisição,Número de registro,Origem,Procedência,Profundidade (cm),Situação,Técnica,Título,Data de aquisição,Armário/Estante/Mapoteca,Diâmetro (cm),Prateleira/Gaveta,Andar,Comprimento (cm),data de produção,Ano de produção,Condições de segurança,Nº anterior,Proteção legal,Conjunto com nº,Temas,Características técnicas,Características iconográficas/ornamentais,Características estilísticas,Espessura (cm),Circunferência (cm)
"1,82 m",Fábrica Pleyel,06 Trabalho > 06.10 Equipamento Musical,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Piano,37243,Bom,146,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/piano-3/,Exposição de Longa Duração - Sala da Família Ottoni,madeira | marfim | metal,Doação,500,Paris (FRA),Serro (MG),63,Localizado,manufatura,Piano Pleyel,,,,,,,,,,,,,,,,,,
64,,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Paisagem (pintura),37241,Bom,50,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/paisagem-pintura-3/,Exposição de Longa Duração - Sala de jantar,tecido | tinta,Doação,499,Não identificada,Rio de Janeiro (RJ),,Localizado,óleo sobre tela | pintura,Casa dos Ottoni (Serro),31/12/2015,,,,,,,,,,,,,,,,,
42,,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Brasão (desenho),37239,Bom,33,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/brasao-desenho-3/,,nanquim | papel | tinta,Doação,498,Não identificada,Rio de Janeiro (RJ),,Localizado,desenho,Brasão da família Ottoni,31/12/2015,,,,,,,,,,,,,,,,,
42,,10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Fotografia,37237,Regular,33,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/fotografia-3/,,madeira | papel | vidro,Doação,497,Não identificada,Rio de Janeiro (RJ),,Localizado,fotografia,Fotografia de Christiano Ottoni,31/12/2015,,,,,,,,,,,,,,,,,
43,,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Retrato (pintura),37235,Bom,35,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/retrato-pintura-27/,,madeira | tecido | tinta,Doação,496,Não identificada,Rio de Janeiro (RJ),,Localizado,óleo sobre tela | pintura,Retrato de Carlota Amália Ottoni,31/12/2015,,,,,,,,,,,,,,,,,
43,,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Retrato (pintura),37231,Bom,35,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/retrato-pintura-26/,Quarto de Viúva,madeira | tecido | tinta,Doação,495,Não identificada,Rio de Janeiro (RJ),,Localizado,óleo sobre tela | pintura,Retrato de Teófilo Ottoni,31/12/2015,,,,,,,,,,,,,,,,,
,,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Medalha comemorativa,37225,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/medalha-comemorativa-27/,,bronze,Doação,494,[Casa da Moeda / RJ],Rio de Janeiro (RJ),,Localizado,cunhagem,,31/12/2015,Estante 5,"0,5",5,,,,,,,,,,,,,,
,,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Medalha comemorativa,37219,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/medalha-comemorativa-26/,,bronze,Doação,493,[Casa da Moeda / RJ],Rio de Janeiro (RJ),,Localizado,cunhagem,,31/12/2015,Estante 5,"0,5",5,,,,,,,,,,,,,,
,,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Medalha comemorativa,37213,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/medalha-comemorativa-25/,,bronze,Doação,492,[Casa da Moeda / RJ],Rio de Janeiro (RJ),,Localizado,cunhagem,,31/12/2015,Estante 5,"0,5",5,,,,,,,,,,,,,,
,,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Medalha comemorativa,37207,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/medalha-comemorativa-24/,,bronze,Doação,491,[Casa da Moeda / RJ],Rio de Janeiro (RJ),,Localizado,cunhagem,,31/12/2015,Estante 5,"0,5",5,,,,,,,,,,,,,,
