Altura (cm),Autor,Características Estilísticas,Características Iconográficas/Ornamentais,Características técnicas,Classificação,Data de produção,Denominação,Document,Largura (cm),Link do Item,Local de produção,Material,Número de registro,Profundidade (cm),Resumo Descritivo,Técnica,Dados históricos,Referências Bibliográficas/Arquivísticas,Temas,Diâmetro (cm),Título,Comprimento (cm),Conjunto com n°,Marcas/Inscrições,Espessura (cm),Peso (Kg)
36,Não identificado,"Curiosa peça, que servia de peanha a uma Nossa Senhora, também em pedra sabão (roubada); trata-se de um trabalho elaborado, em madeira, pedra e metal, com decoração em gomos, flores e frisos dourados. Peça datável do século XIX, de provável origem mineira.","Ornamentos: gomos, frisos, ondulados, flores (rosas), ramos.","Peça em madeira, pedra sabão e arame de ferro: em várias partes: Base, bojo e pino superior em madeira entalhada e policromada em preto, verde e vermelho; tufos de nuvens, anjo e flores em pedra-sabão entalhada, com pilcromia em verde e azul; galhos em arame de ferro retorcidos, soldados e fixados na base do pino..",05 Interiores > 05.1 Acessório de Interiores,Século XIX,Peanha,31858,"24,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/peanha-2/,Brasil > Minas Gerais,Arame | Folha de Ouro | Madeira | Pedra | Tinta,484,14,"Peanha de base oval, em friso de torcido central, com pintura escura e douramento; coluna curta em gomos, com friso central, também dourada; centro em bojo periforme, com a metade inferior em ondulamento dourado, e a parte superior, em três flores douradas com folhas verdes, de um lado, e dois acantos dourados, com partes verdes, de outro. Lateralmente, possui duas abas em forma de tufos de nuvens, uma delas tendo por arremate inferior uma cabeça de anjo; outro pequeno tufo de nuvem aparece sobre a superfície do bojo; da boca do bojo sobe um pino despontado, onde se encaixa uma grande flor com o miolo pintado de verde; da base deste pino sobem sete galhos de arame retorcidos, três deles arrematados por flores menores.",Douramento | Entalhe | Fundição | Policromia,,,,,,,,,,
75,Escola de Arquitetura da UFMG,"O objeto apresenta características do estilo rococó, desenvolvido pelo artista em Minas Gerais, no século XVIII.","Ornatos: cena religiosa, friso escalonado.","Objeto confeccionado em gesso (cópia), representando a face frontal do púlpito da Igreja de São Francisco de Assis, em Ouro Preto (MG), de autoria de Antonio Francisco Lisboa, o Aleijadinho.",04 Construção > 04.4 Fragmento de Construção,Século XX > 1964,Púlpito (fragmento): face frontal,31850,"75,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/pulpito-fragmento-face-frontal/,Brasil > Minas Gerais,Gesso,480,15,"Face frontal do púlpito, cópia confeccionada em gesso, reproduzindo exemplar existente na epístola da Igreja de São Francisco de Assis, em Ouro Preto, Minas Gerais, de autoria do Mestre Aleijadinho. Placa de formato quadrangular, abaulada, com cena bíblica em relevo, tendo, à direita, figura de Jesus Cristo em embarcação à vela sobre o mar, trajando túnica de mangas compridas, com panejamento movimentado, e cabeça envolta por áurea. Apresenta seus braços estendidos, tendo seu braço esquerdo estendido lateralmente e seu braço direito com o dedo elevado. À esquerda da cena,grupo de figuras masculinas, representando os profetas, com chapéus e túnicas, que observam Jesus Cristo, tendo no chão figura de cão, de perfil, que também direciona o olhar para o Salvador. Cena emoldurada por moldura com friso escalonado, com extremidades em semi-círculo. No verso do objeto, duas ripas de sustentação em madeira.",Moldagem,"Pesquisar sobre Antonio Francisco Lisboa (O Aleijadinho) e a Igreja de São Francisco de Assis, em Ouro Preto (MG). Sobre obras de Aleijadinho: ""Esta publicação, dedicada a Antônio Francisco Lisbôa na data do sesquicentenário do seu falecimento, não só visa a homenageá-lo, mas também trazer ao conhecimento público o interêsse que a Escola de Arquitetura da Universidade de Minas Gerais possui sôbre suas obras./ Êste documentário nos mostra as cópias de algumas obras de Mestre Aleijadinho, que se encontram nesta Escola...Não é tarefa fácil a cópia das obras de Antônio Francisco Lisbôa./ Para conseguir tirar as fôrmas, o escultor Benjamim Meschessi empregou gêsso e cêra./ A cópia tirada do original requer muito cuidado sendo sempre necessário isolá-la por meio de mistura de gasolina e estearina, quando os táceis são em gêsso. No caso de serem em cêra, o isolante empregado é o talco."" (1)","PÉRET, Luciano Amédée. Aleijadinho na Escola de Arquitetura. Págs. 1, 17 –18, 53. Ed. UFMG. Belo Horizonte, 1964.",Aleijadinho | Arquitetura Religiosa | Brasil | Minas Gerais | Ouro Preto | Rococó | Século XX,,,,,,,
50,Não identificado,"Objeto de manufatura erudita, com características do estilo barroco desenvolvido no século XVIII na região de Minas Gerais.","Ornatos: nuvens, querubim, motivos florais, gomos.","Peça esculpida em pedra, policromada e dourada, representando Nossa Senhora, com peanha ladeada por nuvens e motivos florais. Base circular. Destacam-se longos ramalhetes de flores elevados na ornamentação. Policromia: verde, vermelho.",02 Artes Visuais/Cinematográfica > 02.3 Escultura,Século XVIII,Nossa Senhora,31784,,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/nossa-senhora-6/,Brasil > Minas Gerais,Folha de Ouro | Metal | Pedra | Tinta,451,,"Escultura religiosa confeccionada em pedra, policromada e dourada, representando Nossa Senhora. Figura feminina, jovem, de pé, em posição frontal, de rosto sereno, com cabeça coberta por véu curto esvoaçante, olhos escuros e traços delicados. Traja túnica de mangas compridas, sobreposta por manto longo, de panejamento movimentado. Imagem apoiada sobre base composta por talha em aparentes camadas (4). Logo abaixo da base, afunilamento sobre peanha de onde sobressaem ramalhetes de flores (quinze botões). Peanha com bojo em formato de vaso ornado por motivos florais e ladeado por nuvens estilizadas e sinuosas, dispostas uma de cada lado. Parte inferior da peanha composta por duas séries contrapostas de gomos estrangulados por friso em meia-cana, e arrematada por estruturas circulares escalonadas. Descrição da peça feita a partir de fotografia do arquivo do DPHAN (sob nº 77891), em 08/02/2007. A peanha, que não foi roubada na época, encontra-se em Reserva Técnica. Descrição da peanha: Base ovalada com vestígios de pintura em tom verde e dourado. Parte frontal do bojo ornada por flor vermelha e dourada, com ramagens verdes, ladeada por dois botões de flores em madeira, tendo, na parte superior, pequena nuvem estilizada em pedra. Laterais da parte central da peanha decorada com duas nuvens esculpidas em pedra, estando a nuvem do lado direito decorada com rosto de querubim. Ramalhetes de flores com estrutura em metal (ferro) e com flores em pedra. Destaca-se, ao centro, eixo composto por haste de madeira, onde se insere grande flor de pedra esculpida em camadas e com vestígios de tinta azul escura.",Douramento | Escultura | Fundição | Policromia,,,Barroco | Brasil | Minas Gerais | Religião | Século XVIII,16,Nossa Senhora,,,,,
"5,3 (com Pires)",Jacob Petit,Objeto com características do estilo romântico.,"Ornatos: motivos florais, libélula, riscos sinuosos","Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Pires branco e dourado. Policromia: lilás, laranja, branco, verde e dourado.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Xícara de café [com pires],31754,"6,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/xicara-de-cafe-com-pires-2/,[França?],Folha de Ouro | Porcelana | Tinta,444,,"Xícara de café, de dimensões médias e formato quadrangular, confeccionada em porcelana branca esmaltada e dourada, tendo alça lateral em libélula. Apresenta pires de formato quadrangular, com extremidades levemente abauladas, tendo a parte central da superfície branca cercada por larga faixa dourada e fundo com base circular. Objeto com duas reservas pintadas e duas faces douradas. Nas reservas frontal e posterior, ramo de flores em tom lilás encimado por duas rosas brancas com botão em tom alaranjado cercadas por folhas verdes com riscos sinuosos em dourado. Fundo da xícara liso e plano.",Douramento | Esmalte | Pintura | Porcelana | Queima,"Sobre a porcelana do século XIX: ""O séc. XIX foi o século da industrialização das artes cerâmicas, não se favorecendo com isto o caráter estético; produziram-se mesmo, para o consumo, pastiches de gosto duvidoso. São bonitas, porém, as peças do gênero romântico (vasos com asas vazadas e sinuosas, outros em forma de leque, candeeiros, frascos) decoradas com buquês naturalistas que aparecem muitas vezes em reservas na porcelana de fundo azul.; adornavam os salões, as mesas, os quartos da classe burguesa. Merece menção especial a obra de Jacob Petit que trouxe um reforço de fantasia e frescura, opondo-se à severidade do estilo Império. Ele ousou romper com o conformismo clássico e adotou fórmulas de estilos anteriores em que o gosto pessoal e o talento associavam temas renascentistas e barrocos, ou rococós; eram comuns as peças antropomorfas, e todas tinham grande encanto. Seu sucessor Jacquemin, continuou a reproduzir-lhe os modelos com real sucesso."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 300.",Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,,,"8,5",621 | 622 | 623 | 624 | 625,,,
"5,3 (com Pires)",Jacob Petit,Objeto com características do estilo romântico.,"Ornatos: motivos florais, libélula, riscos sinuosos","Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Pires branco e dourado. Policromia: lilás, laranja, branco, verde e dourado.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Xícara de café [com pires],31750,"6,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/xicara-de-cafe-com-pires/,[França?],Folha de Ouro | Porcelana | Tinta,443,,"Xícara de café, de dimensões médias e formato quadrangular, confeccionada em porcelana branca esmaltada e dourada, tendo alça lateral em libélula. Apresenta pires de formato quadrangular, com extremidades levemente abauladas, tendo a parte central da superfície branca cercada por larga faixa dourada e fundo com base circular. Objeto com duas reservas pintadas e duas faces douradas. Nas reservas frontal e posterior, ramo de flores em tom lilás encimado por duas rosas brancas com botão em tom alaranjado cercadas por folhas verdes com riscos sinuosos em dourado. Fundo da xícara liso e plano.",Douramento | Esmalte | Pintura | Porcelana | Queima,"Sobre a porcelana do século XIX: ""O séc. XIX foi o século da industrialização das artes cerâmicas, não se favorecendo com isto o caráter estético; produziram-se mesmo, para o consumo, pastiches de gosto duvidoso. São bonitas, porém, as peças do gênero romântico (vasos com asas vazadas e sinuosas, outros em forma de leque, candeeiros, frascos) decoradas com buquês naturalistas que aparecem muitas vezes em reservas na porcelana de fundo azul.; adornavam os salões, as mesas, os quartos da classe burguesa. Merece menção especial a obra de Jacob Petit que trouxe um reforço de fantasia e frescura, opondo-se à severidade do estilo Império. Ele ousou romper com o conformismo clássico e adotou fórmulas de estilos anteriores em que o gosto pessoal e o talento associavam temas renascentistas e barrocos, ou rococós; eram comuns as peças antropomorfas, e todas tinham grande encanto. Seu sucessor Jacquemin, continuou a reproduzir-lhe os modelos com real sucesso."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 300.",Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,,,"8,5",621 | 622 | 623 | 624 | 626,,,
"10,5",Jacob Petit,Objeto com características do estilo romântico.,"Ornatos: motivos florais, libélula, riscos.","Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Policromia: roxo, lilás, vermelho, branco e dourado.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Açucareiro,31746,7,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/acucareiro/,[França?],Folha de Ouro | Porcelana | Tinta,442,,"Açucareiro, com tampa, confeccionado em porcelana branca esmaltada e dourada, de formato retangular, tendo duas alças laterais em formato de libélula branca e dourada. Tampa trapezoidal dourada arrematada por alça em formato de pequena libélula na mesma padronagem das alças. Objeto com duas reservas pintadas e duas faces douradas. As reservas frontal e posterior apresentam a mesma padronagem decorativa, composta por ramo de flores em tons lilás e roxo, encimado por três flores maiores brancas com botão em tom vermelho claro. Fundo liso e plano.",Douramento | Esmalte | Pintura | Porcelana | Queima,"Sobre a porcelana do século XIX: ""O séc. XIX foi o século da industrialização das artes cerâmicas, não se favorecendo com isto o caráter estético; produziram-se mesmo, para o consumo, pastiches de gosto duvidoso. São bonitas, porém, as peças do gênero romântico (vasos com asas vazadas e sinuosas, outros em forma de leque, candeeiros, frascos) decoradas com buquês naturalistas que aparecem muitas vezes em reservas na porcelana de fundo azul.; adornavam os salões, as mesas, os quartos da classe burguesa. Merece menção especial a obra de Jacob Petit que trouxe um reforço de fantasia e frescura, opondo-se à severidade do estilo Império. Ele ousou romper com o conformismo clássico e adotou fórmulas de estilos anteriores em que o gosto pessoal e o talento associavam temas renascentistas e barrocos, ou rococós; eram comuns as peças antropomorfas, e todas tinham grande encanto. Seu sucessor Jacquemin, continuou a reproduzir-lhe os modelos com real sucesso."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 300.",Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,,,13,621 | 622 | 623 | 625 | 626,,,
9,Jacob Petit,Objeto com características do estilo romântico.,"Ornatos: motivos florais, libélula, uvas, riscos.","Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Policromia: roxo, lilás, vermelho, branco, verde e dourado.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Leiteira,31742,6,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/leiteira/,[França?],Folha de Ouro | Porcelana | Tinta,441,,"Leiteira, de pequenas dimensões, confeccionada em porcelana branca esmaltada e dourada, de formato quadrangular, com bico, tendo alça lateral em formato de libélula. Objeto com duas reservas pintadas e duas faces douradas. Na reserva frontal, ramo de flores em tons lilás e roxo, encimado por três flores maiores brancas com botão em tom vermelho claro cercadas por folhas verdes e decoradas com uvas douradas. Na reserva posterior, pequeno ramo de flores em tom lilás encimado por duas rosas brancas com botão em tom vermelho claro cercadas por folhas verdes com riscos em dourado. Alça em formato de libélula dourada com asas brancas e riscos em dourado. Fundo liso e plano, com o seguinte número gravado: ""576"".",Douramento | Esmalte | Pintura | Porcelana | Queima,"Sobre a porcelana do século XIX: ""O séc. XIX foi o século da industrialização das artes cerâmicas, não se favorecendo com isto o caráter estético; produziram-se mesmo, para o consumo, pastiches de gosto duvidoso. São bonitas, porém, as peças do gênero romântico (vasos com asas vazadas e sinuosas, outros em forma de leque, candeeiros, frascos) decoradas com buquês naturalistas que aparecem muitas vezes em reservas na porcelana de fundo azul.; adornavam os salões, as mesas, os quartos da classe burguesa. Merece menção especial a obra de Jacob Petit que trouxe um reforço de fantasia e frescura, opondo-se à severidade do estilo Império. Ele ousou romper com o conformismo clássico e adotou fórmulas de estilos anteriores em que o gosto pessoal e o talento associavam temas renascentistas e barrocos, ou rococós; eram comuns as peças antropomorfas, e todas tinham grande encanto. Seu sucessor Jacquemin, continuou a reproduzir-lhe os modelos com real sucesso."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 300.",Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,,,"10,5",621 | 622 | 624 | 625 | 626,"No fundo o seguinte número gravado: ""576"".",,
"16,2",Jacob Petit,Objeto com características do estilo romântico.,"Ornatos: motivos florais, libélula, uvas, riscos.","Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Policromia: roxo, lilás, vermelho, branco, verde e dourado.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Bule de café,31738,"8,1",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/bule-de-cafe/,[França?],Folha de Ouro | Porcelana | Tinta,440,,"Bule de café, com tampa, confeccionado em porcelana branca esmaltada e dourada, de formato retangular, tendo bico facetado em dourado e alça lateral em formato de libélula. Tampa trapezoidal dourada arrematada por alça em formato de pequena libélula branca e dourada. Objeto com duas reservas pintadas e duas faces douradas. Na reserva frontal, ramo de flores em tons lilás e roxo, encimado por três flores maiores brancas com botão em tom vermelho claro cercadas por folhas verdes e decoradas com uvas douradas. Na reserva posterior, pequeno ramo de flores em tom lilás encimado por duas rosas brancas com botão em tom vermelho claro cercadas por folhas verdes com riscos em dourado. Alça em formato de libélula dourada com asas brancas e riscos em dourado. Fundo liso e plano.",Douramento | Esmalte | Pintura | Porcelana | Queima,"Sobre a porcelana do século XIX: ""O séc. XIX foi o século da industrialização das artes cerâmicas, não se favorecendo com isto o caráter estético; produziram-se mesmo, para o consumo, pastiches de gosto duvidoso. São bonitas, porém, as peças do gênero romântico (vasos com asas vazadas e sinuosas, outros em forma de leque, candeeiros, frascos) decoradas com buquês naturalistas que aparecem muitas vezes em reservas na porcelana de fundo azul.; adornavam os salões, as mesas, os quartos da classe burguesa. Merece menção especial a obra de Jacob Petit que trouxe um reforço de fantasia e frescura, opondo-se à severidade do estilo Império. Ele ousou romper com o conformismo clássico e adotou fórmulas de estilos anteriores em que o gosto pessoal e o talento associavam temas renascentistas e barrocos, ou rococós; eram comuns as peças antropomorfas, e todas tinham grande encanto. Seu sucessor Jacquemin, continuou a reproduzir-lhe os modelos com real sucesso."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 300.",Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,,,"18,2",621 | 623 | 624 | 625 | 626,,,
"20,5",Não identificado,,"Ornatos: motivos florais, friso, ramagens","Objeto confeccionado em vidro pintado, gravado e dourado, de formato cilíndrico, sem tampa, com decoração em relevo com motivos florais. Policromia: lilás, rosa, branco e dourado.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Garrafa de servir bebidas,31730,,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/garrafa-de-servir-bebidas/,Europa,Folha de Ouro | Tinta | Vidro,438,,"Garrafa para servir bebidas confeccionada em vidro rosa degradê pintado em relevo e com ornamentação em dourado. Peça de bojo cilíndrico e base circular, ornada por friso central em meia-cana, tendo afunilamento em balaústre arrematado por círculo na parte superior. Bojo ornado com pintura em relevo composta por três flores brancas de botão amarelo e pétalas com a parte interna em tom lilás, além de ramagens douradas. Sem tampa.",Corte | Douramento | Pintura,,,Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,10,,,620,,,
"10,5",Não identificado,,"Ornatos: motivos florais, friso simples, círculos","Objeto confeccionado em vidro pintado, gravado e dourado, de formato cilíndrico e fundo plano.",05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Século XIX,Copo,31726,,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/copo-7/,Europa,Folha de Ouro | Tinta | Vidro,437,,"Copo para água, de dimensões médias, confeccionado em vidro em tom rosa degradê, pintado em relevo e com ornatos em dourado. Peça de formato cilíndrico, com a parte superior em tom rosa escuro, ornado no corpo por ramagens em dourado e com duas flores amarelas com folhas em tom lilás e branco, além de três botões de flor (fechados) em tom lilás, pintados na parte central. Parte superior com borda ornada por friso simples dourado. Parte inferior em vidro transparente. Fundo plano com dois círculos em dourado.",Corte | Douramento | Pintura,,,Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,"7,3",,,620,,,
