Autor,Classificação,Código Thesaurus,Data de aquisição,Data de produção,Denominação,Diâmetro,Document,Link do Item,Local de produção,Material,Modo de aquisição,Número de registro,Procedência,Profundidade,Resumo descritivo,Situação,Técnica,Marcas/Inscrições,Título,Histórico/Observação
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1999,Moeda,02.05,76070,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-317/,Espanha,Metal,Não identificado,MCP1100,Não identificada,0.2,"Peça circular metálica, cor dourada, anverso: efígie de figura masculina ao redor estrelas e escrita CERVANTES acima deste nome ESPAÑA ano de 1999; borda lisa com ranhuras de quase 1 em 1 cm; verso: do lado esquerdo mapa da Europa estilizado e no lado direito numero ""20"" abaixo dele EURO CENT.",Não localizado,Técnica em Metal > >Cunhagem,,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Não identificada,Moeda,2.1,76060,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-316/,Não identificado,Metal,Não identificado,MCP1099,Não identificada,0.2,"Peça circular metálica, cor dourada, anverso: efígie de figura masculina com óculos ao redor estrelas e ao ano de 2000; borda lisa com ranhuras de quase 1 em 1 cm; verso: do lado esquerdo mapa de europa estilizado e no lado direito numero ""20"" abaixo dele EURO CENT.",Não localizado,Técnica em Metal > >Cunhagem,,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1999,Moeda,2,76052,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-315/,Espanha,Metal,Não identificado,MCP1098,Não identificada,"0,2","Moeda de 10 centavos de Euro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e mapa da Europa. No anverso, inscrições e efígie de Cervantes.",Não localizado,Não identificada,Verso: 10 EURO CENT . Anverso: ESPAÑA || CERVANTES || M || 1999.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XXI > 2003,Moeda,2,76044,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-314/,Espanha,Metal,Não identificado,MCP1097,Não identificada,"0,2","Moeda de 10 centavos de Euro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e mapa da Europa. No anverso, inscrições e efígie de Cervantes.",Não localizado,Não identificada,Verso: 10 EURO CENT . Anverso: ESPAÑA || CERVANTES || M || 2005.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Não identificada,Moeda,2.8,76036,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-313/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1096,Não identificada,,"moeda metal prateado. Verso: mapa do brasil com ponto central (DF) e linhas retas(raios), abaixo inscrições. Anverso: efígie de fuas figuras masculinas , ladeada a esquerda por inscrição e abaixo datas estilizadas. Borda da moeda com inscrições e simbolo",Não localizado,Não identificada,Verso: 1 cruzeiro. Anverso: Brasil 1972 1822. Borda: sesquicentenário da independencia.,1 cruzeiro,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Não identificada,Moeda,2.8,76028,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-312/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1095,Não identificada,,"moeda metal prateado. Verso: mapa do brasil com ponto central (DF) e linhas retas(raios), abaixo inscrições. Anverso: efígie de fuas figuras masculinas , ladeada a esquerda por inscrição e abaixo datas estilizadas. Borda da moeda com inscrições e simbolo",Não localizado,Não identificada,Verso: 1 cruzeiro. Anverso: Brasil 1972 1822. Borda: sesquicentenário da independencia.,1 cruzeiro,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1993,Moeda,2,76020,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-311/,Brasil,Metal,Não identificado,MCP1094,Não identificada,"0,1","Moeda de 1000 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e dístico Brasil. No anverso, inscrições e figura de dois peixes acará.",Não localizado,Não identificada,Verso: BRASIL || 1000 || CRUZEIROS || 1993 . Anverso: ACARÁ.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1993,Moeda,2,76011,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-310/,Brasil,Metal,Não identificado,MCP1093,Não identificada,"0,1","Moeda de 1000 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e dístico Brasil. No anverso, inscrições e figura de dois peixes acará.",Não localizado,Não identificada,Verso: BRASIL || 1000 || CRUZEIROS || 1993 . Anverso: ACARÁ.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1993,Moeda,2,76002,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-309/,Brasil,Metal,Não identificado,MCP1092,Não identificada,"0,1","Moeda de 1000 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e dístico Brasil. No anverso, inscrições e figura de dois peixes acará.",Não localizado,Não identificada,Verso: BRASIL || 1000 || CRUZEIROS || 1993 . Anverso: ACARÁ.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1992,Moeda,"1,9",75994,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-308/,Brasil,Metal,Não identificado,MCP1091,Não identificada,"0,1","Moeda de 500 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e decorações fitomórficas. No anverso, inscrições e ilustração de tartaruga marinha.",Não localizado,Não identificada,Verso: BRASIL || 500 || CRUZEIROS || 1992 . Anverso: TARTARUGA MARINHA.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1992,Moeda,"1,9",75986,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-307/,Brasil,Metal,Não identificado,MCP1090,Não identificada,"0,1","Moeda de 500 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e decorações fitomórficas. No anverso, inscrições e ilustração de tartaruga marinha.",Não localizado,Não identificada,Verso: BRASIL || 500 || CRUZEIROS || 1992 . Anverso: TARTARUGA MARINHA.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1992,Moeda,"1,9",75978,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-306/,Brasil,Metal,Não identificado,MCP1089,Não identificada,"0,1","Moeda de 500 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e decorações fitomórficas. No anverso, inscrições e ilustração de tartaruga marinha.",Não localizado,Não identificada,Verso: BRASIL || 500 || CRUZEIROS || 1992 . Anverso: TARTARUGA MARINHA.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1996,Moeda,1.9,75971,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-305/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1088,Não identificada,,"moeda metal prateado. Verso: Ao centro valor orlado abixo por inscrições e ladeado desenhos geométricos. Anverso: canto direito efígie alegoria da República, abaixo inscrição e ladeado a esquerda por desenhos geométricos",Não localizado,Não identificada,Verso: 1 centavo 1996. Anverso: Brasil,1 centavo,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1994,Moeda,1.9,75962,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-304/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1087,Não identificada,,"moeda metal prateado. Verso: Ao centro valor orlado abixo por inscrições e ladeado desenhos geométricos. Anverso: canto direito efígie alegoria da República, abaixo inscrição e ladeado a esquerda por desenhos geométricos",Não localizado,Não identificada,Verso: 1 centavo 1994. Anverso: Brasil,1 centavo,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1994,Moeda,1.9,75958,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-303/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1086,Não identificada,,"moeda metal prateado. Verso: Ao centro valor orlado abixo por inscrições e ladeado desenhos geométricos. Anverso: canto direito efígie alegoria da República, abaixo inscrição e ladeado a esquerda por desenhos geométricos",Não localizado,Não identificada,Verso: 1 centavo 1994. Anverso: Brasil,1 centavo,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1994,Moeda,1.9,75954,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-302/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1085,Não identificada,,"moeda metal prateado. Verso: Ao centro valor orlado abixo por inscrições e ladeado desenhos geométricos. Anverso: canto direito efígie alegoria da República, abaixo inscrição e ladeado a esquerda por desenhos geométricos",Não localizado,Não identificada,Verso: 1 centavo 1994. Anverso: Brasil,1 centavo,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1994,Moeda,1.9,75946,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-301/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1084,Não identificada,,"moeda metal prateado. Verso: Ao centro valor orlado abixo por inscrições e ladeado desenhos geométricos. Anverso: canto direito efígie alegoria da República, abaixo inscrição e ladeado a esquerda por desenhos geométricos",Não localizado,Não identificada,Verso: 1 centavo 1994. Anverso: Brasil,1 centavo,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1946,Moeda,"2,3",75938,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-300/,Brasil,Metal,Não identificado,MCP1083,Não identificada,"0,2","Moeda de 1 Cruzeiro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e decorações em motivo fitomórfico. No anverso, inscrição e ilustração do mapa do Brasil com relevo e hidrografia.",Não localizado,Não identificada,Verso: 1 || CRUZEIROS || 1946. Anverso: BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1946,Moeda,"2,3",75926,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-299/,Brasil,Metal,Não identificado,MCP1082,Não identificada,"0,2","Moeda de 1 Cruzeiro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e decorações em motivo fitomórfico. No anverso, inscrição e ilustração do mapa do Brasil com relevo e hidrografia.",Não localizado,Não identificada,Verso: 1 || CRUZEIROS || 1946. Anverso: BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1928,Moeda,2.2,75914,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-298/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1081,Não identificada,,"moeda em metal dourado. Verso: ao centro valor encimado por uma estrela, envolto por coroa de ramos e orlado por inscrições. Anverso: Ao centro figura alegórica feminina , ladeada a direita por 5 estrelas e orlada circulo de estrelas.",Não localizado,Não identificada,Verso: Brasil 500 réis 1928.,500 réis,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1945,Moeda,1.8,75906,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-297/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1080,Não identificada,,"moeda metal dourado. Verso: valor encimado por uma estrela, abaixo data. Anverso: efígie de homem de perfil orlado na parte superior por inscrições.",Não localizado,Não identificada,Verso: 20 centavos 1945. Anverso: Getulio Vargas Brasil,20 centavos,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1953,Moeda,1.8,75898,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-296/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1079,Não identificada,,"moeda metal dourado. Verso: valor encimado por uma estrela, abaixo data. Anverso: ilegivel",Não localizado,Não identificada,Verso: 20 centavos 1955. Anverso: ilgeível,20 centavos,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1947,Moeda,1.8,75890,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-295/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1078,Não identificada,,"moeda metal dourado. Verso: valor encimado por uma estrela, abaixo data. Anverso: efígie de homem de perfil orlado na parte superior por inscrições.",Não localizado,Não identificada,Verso: 20 centavos 1947. Anverso: Getulio Vargas Brasil,20 centavos,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1945,Moeda,1.8,75882,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-294/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1077,Não identificada,,"moeda metal dourado. Verso: valor encimado por uma estrela, abaixo data. Anverso: efígie de homem de perfil orlado na parte superior por inscrições.",Não localizado,Não identificada,Verso: 20 centavos 1945. Anverso: Getulio Vargas ?sil,20 centavos,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1927,Moeda,2.6,75874,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-293/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1076,Não identificada,,"Verso: valor ao centro encimado por uma estrela, envolto por uma coroa de ramos e orlado na parte superior e inferior por inscrições. Anverso: figura alegórica feminina orlada por circulo de estrelas.",Não localizado,Não identificada,Verso: Brasil 1000 réis 1927.,1000 réis,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1901,Moeda,3,75866,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-292/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1075,Não identificada,,"moeda metal prateado. Verso: brasão de armas da rpública ladeado a esquerda por ramos , encimado por valor e orlado por inscrições. Efígie alegoria da República envolta por circulo de estrelas.",Não localizado,Não identificada,?ica dos Estados ? 400 réis MCMI Brasil,400 réis,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1952,Moeda,1.7,75858,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-291/,Brasil,Metal > Metal Cunhado,Não identificado,MCP1074,Não identificada,,moeda metal dourado. Verso: Ao centro valor encimado por uma estrela e abaixo inscrição e data. Anverso: Efígie figura masculina orlado por inscrições e simbolo,Não localizado,Não identificada,Verso: 10 centavos 1952. Anverso: Jose Bonifacio Brasil,10 centavos,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1945,Moeda,2,75850,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-290/,Brasil,Metal,Não identificado,MCP1073,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1945. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1947,Moeda,2,75842,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-289/,Brasil,Metal,Não identificado,MCP1072,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1947. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1947,Moeda,2,75834,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-288/,Brasil,Metal,Não identificado,MCP1071,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1947. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1943,Moeda,2,75826,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-287/,Brasil,Metal,Não identificado,MCP1070,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1943. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1945,Moeda,2,75818,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-286/,Brasil,Metal,Não identificado,MCP1069,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1945. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1945,Moeda,2,75802,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-285/,Brasil,Metal,Não identificado,MCP1068,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1945. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1943,Moeda,2,75790,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-284/,Brasil,Metal,Não identificado,MCP1067,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Getúlio Vargas.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1943. Anverso: GETÚLIO VARGAS || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1979,Moeda,2.5,75786,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-283/,Brasil,Metal,Não identificado,MCP1066,Não identificada,"o,1","Moeda circular, de metal, prateada. Anverso: Figura masculina de perfil , com as inscrições BRASIL. Reverso: desenho de um farol geométrico ladeado pelas inscrições: 20 CENTAVOS 1979. || Bordo liso.",Não localizado,Técnica em Metal > >Cunhagem,Anverso: LIBERDADE CIDADANIA TIRADENTES || 1792-1992. || Reverso: BRASIL 5000 CRUZEIROS.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1978,Moeda,2.5,75782,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-282/,Brasil,Metal,Não identificado,MCP1065,Não identificada,"o,1","Moeda circular, de metal, prateada. Anverso: Figura masculina de perfil , com as inscrições BRASIL. Reverso: desenho de um farol geométrico ladeado pelas inscrições: 20 CENTAVOS 1979. || Bordo liso.",Não localizado,Técnica em Metal > >Cunhagem,Anverso: BRASIL|| Reverso: 20 CENTAVOS 1979.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1965,Moeda,2.5,75778,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-281/,Brasil,Metal,Não identificado,MCP1064,Não identificada,0.2,"Moeda circular, de metal, prateada. Anverso: imagem do mapa do Brasil ao centro com inscrição BRASIL. Reverso: inscrições: 20 CRUZEIROS 1965. || Bordo liso.",Não localizado,Técnica em Metal > >Cunhagem,Anverso: BRASIL|| Reverso: 20 CENTAVOS 1965.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1982,Moeda,2.1,75690,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-280/,Brasil,Metal,Não identificado,MCP0644,Não identificada,0.15,"Moeda circular, de metal, prateada. Anverso: Distico BRASIL e ramos de café . Reverso: Inscrições 5 CRUZEIROS 1982 com traços ondulados ao fundo . || Bordo liso.",Não localizado,Técnica em Metal > >Cunhagem,Anverso: BRASIL . Reverso: 5 CRUZEIROS.,,
