Acervo,Altura,Autor,Categoria,Classificação,Coleção,Comprimento,Código Thesaurus,Data de aquisição,Data de produção,Denominação,Destaque no acervo,Document,Fonte de aquisição,Histórico/Observação,Largura,Link do Item,Local de produção,Marcas/Inscrições,Material,Modo de aquisição,Número de registro,Procedência,Resumo descritivo,Situação,Técnica,Título,Diâmetro,Tema,Outros números,Profundidade,Peso,Exposições
Artes Visuais,39,Não identificado,Transporte > Acessório de Transporte Terrestre,11 Transporte > 11.3 Acessório de Transporte Terrestre,Acervo Museológico,67,11.3.12,Não identificada,Não identificada,Sela,Não,77501,Não identificada,Modo de aquisição e data sem registro.,64,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/sela-2/,Não identificado,Ausência de inscrições,Couro | Fibra > Fibra Vegetal,Doação,84.006/030.325,Não identificada,"Sela feminina, também chamada de selim, constituída de 02 partes unidas uma à outra, feitas de couro, com motivos fitomórficos. Nas bordas desenhos de pequenas retas, na extremidade fio de corda trançado.",Localizado,Técnica em Tecido > Costura | Técnica em Fibra Vegetal > Trançado,Silhão Carreiro,,,,,,
Artes Visuais,42,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão/Óptico,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Acervo Museológico,,14.1.11,01/11/1953,Não identificada,Balança,Sim,77499,José de Castro Berquó,"Foi adquirida por Edgard Jacintho da Silva, DPHAN, juntamente c/ os pesos de ferro (03 jogos diferentes). Consta no Inventário de Lígia Martins Costa, 1963.
Objeto usado em diversas atividades com o intuito de pesar ouro, tanto em casas de fundição, ofício de ourives, quanto no comercio em geral – até por ambulantes. Nas Colônias de 1735 eram proibidas o uso de moedas para o comercio, com isso, a balança foi um dos instrumentos de maior uso na época até o final do ciclo do ouro. O sociólogo Eliézer Cardoso Oliveira, num artigo denominado “Vivendo sem um tostão furado!”: o uso cotidiano do dinheiro em Goiás (1808 – 1848) publicado na Revista de História Regional do Departamento de História e do Programa de Pós-Graduação em História da Universidade Estadual de Ponta Grossa, relembra a passagem do viajante austríaco Johann Emanuel Pohl que dizia em meados de 1830: 

“Entre os vários preparativos de minha viagem figurava a aquisição, a conselho de meu digno hospedeiro, de uma balança de pesar ouro, pois eu teria de percorrer regiões onde não se usam moedas, que são substituídas pelo ouro em pó, incômodo, que diminui muito com a circulação, que se dissipa ao pesar-se e que freqüentemente é falsificado pela adição de minério de ferro (esmeril) em pó, que aliás dá ao ouro uma cor amarelo-acinzentada”. 

Neste comentário do viajante é possível notar alguns problemas que ocorriam frequentemente nas capitanias: A proibição do uso de moedas para a comercialização, através da Lei régia de 1735 e o comercio só podendo ser feito com ouro em pó passível de falsificação, ou seja a impureza do minério em circulação na época dificultando também a comercialização de produtos de valores menores que corroboravam para as desigualdades de consomo entre os povos das colônias. OLIVEIRA (2011, p. 607) também exemplifica como isso se dava na prática em 1830: “(...) o valor da oitava foi estipulado a 2500 réis; um consumidor que desejasse, então, comprar, por exemplo, um alqueire de arroz (36,27 litros) que custava 320 réis teria que realizar a incômoda e difícil tarefa de dividir a pequena porção de ouro em mais de sete partes, reservando uma para pagamento do produto”.

Em 1803, houve a tentativa de proibição do comercio com ouro em pó com alvará que formulava “(...) uma nova política para a administração da minas do Brasil por meio da criação de novos órgãos, da extinção de antigas estruturas, da proibição de circulação do ouro em pó e da redução do quinto pela metade”. (Portal Ministério da Justiça e Segurança Pública, 2016) Não deu certo, visto que, no final do século XIX o comercio do ouro em pó ainda era visto nas colônias brasileiras. 

Desde aquela época as diferenças entre classes sociais eram medidas pelo seu potencial de posses. O dinheiro por assim dizer não era tão importante, visto que, a troca de produtos eram a principal forma de comercialização, assim como o ouro em pó escasso na região. “(...) vários produtos foram utilizados com referência para trocas: o gado (...), sal (...), bacalhau seco, novelos de lã, dentes de cachorro, etc” (OVIVEIRA, 2011, p. 610).
O que dificultava muito a acessão dos mais pobres, pois conseguiam viver com a troca mas os impostos tinham que ser pagos com dinheiro (ouro em pó ou moedas de cobres que estavam sob o poder de poucos nas colônias). Em 1823, o Governo Imperial enviou para as colônias alguns contos de reis em moedas de cobre, mas muito pouco e muito caro para os colonos conseguirem adquirir, assim se concentraram nas mãos de poucos. O que, de certo modo, até irônico: “O dinheiro, em vez de possibilitar a aquisição de mercadorias, tornou-se ele próprio uma mercadoria disputada e rara. Diante disso a população goiana aprendeu a viver sem ele”. (OLIVEIRA, 2011, p. 615).

A diferença de classe social era medida pela etnia, família e religião. Ficando destinados aos negros (as) livres e mestiços (as) somente a possibilidade de trocas de elementos de pouco valor. Os que ganhavam mais eram os altos funcionários da administração pública da coroa, que conseguiram acumular fortunas para seus descendentes e o clero. Possuir escravos era uma questão de status que supria as vontades das elites.

OLIVEIRA (2011, p. 629), na sua conclusão resume este facto em: “A desigualdade de renda era imensa: os funcionários públicos de alto escalão, grandes proprietários de escravos, os eclesiásticos, os comerciantes viviam na opulência; os demais, quase na miséria.”



Para saber mais:
JÚNIOR, Deusdedith Alves Rocha. In: Registro e Contagens da Comarca de Goiás (1731 – 1750). Centro Universitário de Brasília – UniCEUB, Brasília /DF, 2018.

OLIVEIRA, Eliézer Cardoso. In: “Vivendo sem um tostão furado!”: o uso cotidiano do dinheiro em Goiás (1808 – 1848). Revista de História Regional. Departamento de História e do Programa de Pós-Graduação em História da Universidade Estadual de Ponta Grossa, 2011. Doi: 10.5212/Rev.Hist.Reg.v.16i2.0011.

SALGADO, Tathiana Rodrigues. In: Atividades Comerciais Durante o Período Colonial em Goiás – Brasil. Mercator, Fortaleza, v. 18, e18015, 2019. ISSN:1984-2201.",11,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/balanca-2/,Não identificado,esq: 7335 5 131 133 / dir: 5 7371234 739736 - 732,Metal,Compra,84.005/030.324,José de Castro Berquó,"Haste horizontal, com as extremidades terminadas em forma de orifício, de onde saem os suportes para os pratos da balança. Os pratos são de forma arredondadas com 03 (três) cavidades onde estão presos os cordões que servem de suporte da haste.",Localizado,Técnica em Metal > Fundição,Balança de Ourives,09 (dos pratos),Ourivesaria,,,,
Artes Visuais,,Não identificado,Interiores > Condicionador de Temperatura,05 Interiores > 05.2 Condicionador de Temperatura,Acervo Museológico,98,05.02.01,1984,Século XIX,Fole,,77497,Família Amorim,"Usado para produzir ventos para ativar uma combustão. “Doação da família Amorim: Um fole para diversas utilidades, como para tirar formigueiros, ativar combustões, etc, do século dezenove.”",19,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/fole/,Não identificado,Ausência de inscrições,Couro | Metal > Ferro | Madeira,Doação,84.004/030.323,Doação da família Amorim,"Peça com formato alongado, com 03 (três) divisões unidas, tendo na extremidade da base 02 suportes de madeira que servem para fazer pressão e impulsionar o ar que passa por um roliço de ferro em direção a outra extremidade em formato de cone afunilado na ponta.",Localizado,Técnica em Metal > Fundição,Fole,,,,,,
Artes Visuais,xxxxxx,Não identificado,Interiores > Peça de Mobiliário,05 Interiores > 05.5 Peça de Mobiliário,Mobiliário,222,05.05.58,14/02/2017,Século XVIII,Cama,Sim,893,Leonardo Lacerda,"Peça arrematada em leilão no Rio de Janeiro, em 14/02/2017, lote 185, por R$ 6.000,00.",109,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cama-3/,Não identificado,Ausência de inscrições,Madeira > Jacarandá,Doação,Sem registro,Leonardo Lacerda,"Cama em madeira jacarandá, estilo D. José. Cabeceira com coroamento vasado, trabalhada com motivos fitomorfos, volutas, curvas e almofadada com algodão cru estampado com motivos fitomorfos. 04 hastes torneadas partindo dos pés e terminando com pinos torneados, onde se prendiam traves para suportar o sobrecéu. Pernas em curvas e contra curvas, pés em sapata.",Localizado,Técnica em Papel > Recorte | Técnica em Metal > Torneado,Cama de solteiro,,,,,,
Artes Visuais,70,Índios Krahô,,15 Embalagens/Recipientes,Galvão,36,1503,31/08/1995,Século XX,Cesto,,901,UNB/CNRC/IPHAN/DF,"Coleção Galvão da Universidade de Brasília-UNB e do CNRC, acervo etnográfico da antiga 14ª Coordenação Regional/IPHAN/DF, sob custódia do Museu das Bandeiras a partir de 31/08/1995. Coleção CNRC.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cesto-2/,Brasil > Tocantins,Ausência de inscrições,Madeira > Bambu | Fibra > Fibra Vegetal,Custódia,Sem registro,Universidade de Brasília,"Cesto (pophô) de palha trançada, formato bornaliforme, alça para pendurar, etnia krahô.",Localizado,Técnica em Fibra Vegetal > Trançado,,,Etnográfico,Nº de Ordem: 74,20,,
Artes Visuais,,Não identificado,Objetos Pessoais > Peça de Indumentária,12 Objetos Pessoais > 12.8 Peça de Indumentária,Acervo Museológico,98,12.8.19,01/05/2017,Século XIX,Calça,,897,João Batista de Oliveira e Silva,Fardamento pertencente ao Capitão do Exército Joaquim Augusto de Oliveira e Silva. Peça confeccionada em Paris no ano de 1847. Doada ao Museu das Bandeiras - direção de Stélia Braga Castro - pelo seu filho João Batista de Oliveira e Silva.,55,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/calca-2/,França > Paris,Ausência de inscrições,Tecido > Camurça | Metal,Doação,Sem registro,João Batista de Oliveira e Silva | Marabá | Pará,"Calça em feltro vermelho, com 02 listras em preto nas laterais. 02 botões pretos no cós frontal e 02 na parte posterior. Faixa em vermelho presa aos cós posterior e atadas nas duas extremidades por uma presilha de metal. 01 bolso, parte posterior direita, preso por botão preto. Abertura na frente com 04 botões pretos (01 faltando) e 01 presilha de metal.",Localizado,Técnica em Tecido > Confecção,Farda do “Cap. Joaquim Augusto de Oliveira e Silva”,,Personagem | Personagens,,,,
Artes Visuais,,Banco Central,Objetos Pecuniários > Objetos Pecuniários,03 Objetos Pecuniários,Acervo Museológico,"15,3 (maior)",03.04,06/03/2017,Século XX,Cédula,,895,Rone Soares,,"7,3 (maior)",http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cedula/,Brasil,Inscrições múltiplas,Papel,Doação,Sem registro,Rone Soares,"Conjunto de 11 cédulas do Período Republicano, de formato retangular: 02 no valor de 1000 cruzados com estampa de Machado de Assis; 01 no valor de 100 cruzados com estampa de Juscelino Kubitschek; 03 no valor de 1000 cruzeiros com estampa do Mal. Cândido Rondon; 02 no valor de 200 cruzeiros com estampa da Princesa Isabel; 01 no valor de 10 cruzeiros com estampa de D. Pedro II; 01 no valor de 05 cruzeiros com estampa de D. Pedro I e 01 no valor de 01 cruzeiro com estampa da fachada do Banco Central.",Localizado,Técnica em Papel > Estampa,Cédulas,,Numismática,,,,
Artes Visuais,,Não identificado,Interiores > Acessório de Interiores (Acessório de Leito),05 Interiores > 05.1 Acessório de Interiores,Acervo Museológico,192,05.01.07,2012,Século XX > 1960,Colcha,,77437,Milena Bastos Tavares,"Colcha artesanal, feita em tear, na cidade de Santa Juliana-MG na déc. de 1960.",145,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/colcha-2/,Brasil > Minas Gerais,Ausência de inscrições,Algodão,Doação,Sem registro,Milena Bastos Tavares,Colcha de algodão com estampa formando desenhos geométricos nas cores vermelha e branca.,Localizado,Técnica em Fibra Vegetal > Trançado,Colcha,,,,,,
Artes Visuais,,Banco Central,Objetos Pecuniários > Objetos Pecuniários,03 Objetos Pecuniários,Acervo Museológico,,03.03,04/09/2001,Século XX,Moedas,,891,Renato Franco Nunes.,"Moedas recebidas por Maria de Fátima Sócrates do Nascimento, então Diretora do Muban. Faltam as 28 moedas do Período Imperial e 15 do Período Republicano.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/moedas-2/,Brasil > Goiás,Inscrições múltiplas,Metal > Níquel | Metal > Prata,Doação,Sem registro,Renato Franco Nunes.,"Conjunto de 28 moedas do Período Imperial de 1831 a 1889 e 68 moedas do Período Republicano, 1889-1994.",Localizado,Técnica em Metal > Cunhagem | Técnica em Metal > Fundição,Moedas,03 (maior),Numismática,,,,
Artes Visuais,27,Não identificado,Comunicação > Documento,10 Comunicação > 10.1 Documento,Acervo Museológico,35,10.1.05,21/01/1989,Século XX,Fotografia,,890,Família Rocha Lima,"Fotografias do oficial general do Exército brasileiro, Anfrísio da Rocha Lima, nascido em 16/08/1905 na Cidade de Goiás e falecido no Rio de Janeiro em 18/12/1985. Doada pelos filhos Niderval e Anfrísio da Rocha Lima Jr. Vide dossiê com ofícios, produção intelectual e outros em pct. “Acervo Museológico”.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/fotografia/,Não identificado,Ausência de inscrições,Madeira | Vidro,Doação,Sem registro,Doação da família Rocha Lima,"Duas Fotografias do general com idades diferentes, em moldura de madeira, formato retangular.",Localizado,Técnica em Papel > Recorte,Fotografia do Gal. Anfrísio da Rocha Lima,,,,,,
