Cidade de produção,Classificação,Data de aquisição,Data de produção/datação,Dimensões,Document,Estado de conservação,Estado de produção,Informações sobre o autor,Link do Item,Marcas/Inscrições,Material/Técnica,Modo de aquisição,Número de registro,País de produção,Procedência,Título,Data do 1º registro,Exposições,Catalogador,Notas sobre o estado de conservação,Denominação,Outros números,Estilos/Temas,Descrição de conteúdo,Resumo descritivo,Duração,Bibliografia
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1981,"Obra: 25,2 x 34,0 cm",39580,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/paisagem/,"“Glauco Rodrigues 1981” (cid, grafite)
“paisagem” (ebc, grafite)
“PA I/X” (cie, grafite)
Marca d’água (cid)",Litografia,Doação,MVM0218,Brasil,Norma de Estellita Pessôa,“Paisagem”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1981,"Obra: 38,1 x 36,0 cm",39578,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/oxosse/,"“Glauco Rodrigues 1981” (cid, grafite)
“Oxosse” (ebc)
“1/80” (cie, grafite)",Litografia a cores,Doação,MVM0220,Brasil,Norma de Estellita Pessôa,“Oxosse”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1987,"Obra: 61,0 x 40,5 cm",39576,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/galeria-de-tipos-brasileiros-mamae-abaporu/,"“Glauco Rodrigues 1987” (cid, grafite)
“Galeria de Tipos Brasileiros: Mamãe Abaporu” (ebc, grafite)
“P.A.” (cie, grafite)",Litografia a cores,Doação,MVM0221,Brasil,Norma de Estellita Pessôa,“Galeria de Tipos Brasileiros: Mamãe Abaporu”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1987,"Obra: 16,0 x 43,9 cm",39574,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/sem-titulo-mergulho-na-cidade-do-rio-de-janeiro/,"“160/300 Glauco Rodrigues 1987” (cie, grafite)",Serigrafia,Doação,MVM0222,Brasil,Norma de Estellita Pessôa,Sem título [Mergulho na cidade do Rio de Janeiro],,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,circa 1970,"Obra: 70,5 x 50,0 cm",39572,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/terra-brasilis/,,Serigrafia,Doação,MVM0223,Brasil,Norma de Estellita Pessôa,“Terra Brasilis”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,circa 1970,"Obra: 50,3 x 70,2 cm",39570,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/apoteose-tropical-i/,"“Glauco Rodrigues 1989” (cid, grafite)
“2/120” (cie, grafite)
“Apoteose Tropical I” (ebc, grafite)",Serigrafia,Doação,MVM0224,Brasil,Norma de Estellita Pessôa,“Apoteose Tropical I”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1980,"Obra: 50,0 x 64,2 cm",39568,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/onde-ha-fumaca/,"“Glauco Rodrigues 1980” (cid, grafite)
“PA V/VI” (cie, grafite)
“onde há fumaça” (ebc, grafite)
Marca d’água (cid)",Litografia a cores,Doação,MVM0225,Brasil,Norma de Estellita Pessôa,“onde há fumaça”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1988,"Obra: 60,4 x 80,6 cm",39566,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/aprender-fazendo/,"“Glauco Rodrigues 1988” (cid, grafite)
“P.A. IX / XX” (cie, grafite)
“Aprender Fazendo” (ebc, grafite)",Serigrafia,Doação,MVM0226,Brasil,Norma de Estellita Pessôa,“Aprender Fazendo”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1981,"Obra: 76,2 x 56,7 cm",39564,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/alegoria-tropical/,"“Glauco Rodrigues 1981” (cid, grafite)
“50/80” (cie, grafite)
“Alegoria Tropical” (ebc, grafite)
Marca d’água nas laterais
“n°33” (vcid, grafite)",Litografia a cores,Doação,MVM0227,Brasil,Norma de Estellita Pessôa,“Alegoria Tropical”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1979,"Obra: 76,0 x 56,8 cm",39562,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/nunca-fomos-cathechisados-fizemos-cristo-nascer-na-bahia-ou-em-belem-do-para/,"“Glauco Rodrigues 1979” (cid, grafite)
“28/60” (cie, grafite)
“NUNCA FOMOS CATHECHISADOS FIZEMOS CRISTO NASCER NA BAHIA OU EM BELÉM DO PARÁ” (ebc, grafite)
Marca d’água nas laterais",Litografia a cores,Doação,MVM0228,Brasil,Norma de Estellita Pessôa,“NUNCA FOMOS CATHECHISADOS FIZEMOS CRISTO NASCER NA BAHIA OU EM BELÉM DO PARÁ”,,,,,,,,,,,
