Acervo no MVM,Biografia,Document,Link do Item,Nome,Outros nomes,Cidade de falecimento,Cidade de nascimento,Data de nascimento,Data do falecimento,Estado de falecimento,Estado de nascimento,Exposições,Pais de nascimento,País de falecimento,Bibliografia
MVM0032,Sem informações.,,http://museuvictormeirelles.acervos.museus.gov.br/autores/a-pellicciari/,A. Pellicciari,A. Pellicciari,,,,,,,,,,
MVM0218 | MVM0220 | MVM0221 | MVM0222 | MVM0223 | MVM0224 | MVM0225 | MVM0226 | MVM0227 | MVM0228 | MVM0229 | MVM0230 | MVM0231 | MVM0232 | MVM0233 | MVM0234 | MVM0235 | MVM0217 | MVM0216 | MVM0215 | MVM0214 | MVM0213 | MVM0212 | MVM0211,"Pintor, desenhista, gravador, ilustrador, cenógrafo. Começa a pintar, como autodidata, em 1945. Em 1949, recebe bolsa de estudos da Prefeitura de Bagé e freqüenta, por três meses, a Escola Nacional de Belas Artes (Enba), no Rio de Janeiro. Em 1951, funda o Clube de Gravura de Bagé, com Glênio Bianchetti (1928) e Danúbio Gonçalves (1925). Fixa-se em Porto Alegre e participa do Clube de Gravura de Porto Alegre, fundado por Carlos Scliar (1920 - 2001)e Vasco Prado (1914 - 1998). Em 1958, muda-se para o Rio de Janeiro e integra a primeira equipe da revista Senhor. Reside em Roma entre 1962 e 1965. Ao retornar ao Brasil, participa de importantes exposições, como Opinião 66, no Museu de Arte Moderna do Rio de Janeiro - MAM/RJ. No fim da década de 1950, sua produção se aproxima da abstração. Volta à figuração no início dos anos 1960, e produz obras sob o impacto da arte pop, tratando, com humor, de temas nacionais como a imagem do índio, o carnaval, o futebol, a natureza tropical e a história do Brasil, que inspiram séries como Terra Brasilis, 1970, Carta de Pero Vaz de Caminha, 1971, No País do Carnaval, 1982 ou Sete Vícios Capitais, 1985. Na década de 1980, recebe o Prêmio Golfinho de Ouro Artes Plásticas do Governo do Estado do Rio de Janeiro e publica o livro Glauco Rodrigues, que reúne toda sua obra. Em 1999, recebe o Prêmio Ministério da Cultura Candido Portinari - Artes Plásticas.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/glauco-otavio-castilhos-rodrigues-2/,Glauco Otávio Castilhos Rodrigues,Glauco Rodrigues,Rio de Janeiro,Bagé,03/05/1929,03/19/2004,Rio de Janeiro,Rio Grande do Sul,Glauco Rodrigues - Gravuras,Brasil,Brasil,
MVM0198 | MVM0197,"Nascido em Montevidéu, em 1971, Diego de los Campos formou-se em Artes Plásticas pelo Instituto Nacional de Belas Artes da Universidade da República em 1997 e mudou-se para Florianópolis dois anos depois. Artista multimídia, trabalha com desenho, pintura, gravura digital, objetos, instalações, fotografias e vídeo. Sua obra também integra o segundo volume do livro Construtores das Artes Visuais – Cinco Séculos de Arte em Santa Catarina, editado pela Tempo Editorial em 2014.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/diego-de-los-campos-orefice-2/,Diego de los Campos Orefice,Diego de los Campos,,Montevidéu,12/31/1971,,,,"Simpatia, de Diego de los Campos | Dialética Binária, de Diego de los Campos",Uruguai,,
MVM0196,"Aluno do Museu Escola de Belas Artes de Boston, nos Estados Unidos, e do Rietveld Academie Gerrit, em Amsterdam/Holanda, Célio expôs individualmente em espaços como a Galeria Pilar/São Paulo, Hein Elferink Galerie, Staphorst/Holanda, Galeria Pilar de Londres/Reino Unido, Galeria Amparo 60, de Recife, Brummelkamp Galerie, Amsterdam/Holanda, Rob Koudijs Galerie  de Amsterdam/Holanda e Galeria Vermelho, em São Paulo. Além disso, participou de coletivas na Fundação RAM, Rotterdam/Holanda, Textiel Museu Tilburg/Holanda, Kunstmuseum, Linz/Áustria, Museum voor Moderne Kunst Arnhem/Holanda, WELTKUNSTZIMMER, Dusseldorf/Alemanha, Gustavsbergs Konsthall/ Suécia, Museum voor Moderne Kunst Arnhem/Holanda e MAD-Museu de Artes e Design, New York/EUA.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/celio-de-paula-braga-2/,Célio de Paula Braga,Célio Braga,,Guimarânia,10/18/1963,,,Minas Gerais,"Projeto Victor em 4D | Abluções, de Célio Braga",Brasil,,"CÉLIO Braga: o castelo. Brasilia: ECT Galeria de Arte, 1987. 

CÉLIO Braga: pinturas. Apresentação de Álvaro Catelan; Bernardo Élis e Brasigóis Felício. Goiânia: Jaó Galeria de Arte, 1984. 

CÉLIO Braga: the América years 1988-1991. Apresentação de Miguel Jorge. Goiânia: Época Galeria de Artes, 1991. 

MENEZES, Amaury. Da caverna ao museu: dicionário de artes plásticas em Goiás. Goiânia: Fundação Cultural Pedro Ludovico Teixeira, 1998. R708.98173 M543a ex.2"
MVM0195 | MVM0194,"Escultor, gravador, pintor e professor, residiu por muitos anos na Alemanha, concluindo mestrado em pintura e litografia na Escola Superior de Artes de Berlim.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/rubens-oestroem-2/,Rubens Oestroem,Rubens Oestroem,,Blumenau,04/20/1953,,,Santa Catarina,,Brasil,,
MVM0191,"Natural de Taió, reside Joinville SC desde 1988. Arte-educador, artista visual, ator, curador, diretor teatral e performer. Graduado Educação Artística Univille. Pós-Graduado A Prática Social da Arte USP/Univille. Na educação atua no ensino fundamental, médio, técnico, graduação e pós-graduação desde 1992 nas disciplinas de estética, história da arte, performance, produção cultural, semiótica e teatro. No teatro atuou enquanto ator em 36 peças, figurinista 52 peças, cenógrafo 67 peças e diretor 61 peças e 2 óperas.  Curador Mapeamento Rumos Artes Visuais Itaú Cultural 2011 a 2013 e mais 50 curadorias individuais e coletivas de 2006 a 2015. Artista selecionado projeto Rumos Artes Visuais do Itaú Cultural de 1999 a 2000; Prêmio III Concurso do Projeto Poesia em Trânsito, Univille, Joinville, 1998. Prêmio Aquisição VI Salão Municipal dos Novos Joinville em 1993. Menção Honrosa II Salão AAPLAJ Joinville em 1989. Realizou 18 exposições individuais, 109 coletivas e 51 performances individuais de 1989 a 2017. Fundou e integrou Grupo Performance Papirus com 54 performances realizadas de 1988 a 2005. Na AAPLAJ é membro desde 1992, foi Vice-Presidente em 1993, Presidente em 1994 e membro do Conselho Consultivo em 5 gestões. É membro fundador do Instituto Schwanke e foi Diretor Cultural de 2004 a 2009 e Membro Conselho Consultivo de 2009 a 2017. Membro Conselho Consultivo do MAJ gestão 2000/2001. Coordenou Casa da Cultura Joinville e a Galeria Municipal de Artes Victor Kursancew gestão 1997 a 2000 e Museu de Arte Joinville gestão 2009 a 2012. Presidente Conselho Consultivo MAJ de 2009 a 2012. Membro do Conselho Consultivo da Galeria Municipal Artes Victor Kursancew de 2010 a 2014. Membro Conselho Consultivo FAAPSC desde 2011. Membro do Conselho Estadual de Cultura desde 2013 onde preside a Câmara de Artes Visuais. Membro da ACLA – Academia Catarinense de Letras e Artes e do Conselho Estadual de Cultura desde 2013.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/carlos-franzoi-2/,Carlos Franzoi,Carlos Franzoi,,Taió,1969,,,Santa Catarina,Carlos Franzoi,Brasil,,
MVM0190,"Vive e trabalha em Florianópolis, é bacharel em Artes Visuais pela Universidade do Estado de Santa Catarina (UDESC), com intercâmbio para Université du Québec (Montréal, Canadá). Participa de exposições coletivas desde 2010.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/fran-favero-2/,Fran Favero,Fran Favero,,Chopinzinho,1987,,,Paraná,Fran Favero,Brasil,,
MVM0189,"Formado em Arquitetura pela UFPA em 1983, professor da Faculdade de Artes Visuais da UFPA, com especialização em Semiótica e Artes Visuais. Mestrado em Arte e Tecnologia pela UFMG, desenvolve trabalhos de fotografia.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/alexandre-sequeira-2/,Alexandre Sequeira,Alexandre Sequeira,,Belém,1961,,,Pará,Alexandre Sequeira,Brasil,,
MVM0188,"Nasceu em Florianópolis (SC), em 1979, Doutoranda em Literatura pela UFSC, Mestre em Linguagens Visuais pela UFRJ (2011), graduada em Arquitetura e Urbanismo pela UFSC (2008) e em Artes Plásticas pela UDESC (2004). Artista visual e pesquisadora na área de artes visuais, cinema e literatura. Professora dos cursos de Licenciatura e Bacharelado do Departamento de Artes da UDESC. Fez orientação de ateliê com Fernando Lindote. Entre as exposições individuais que realizou, destaca-se a no Espaço Ateliê Arco, Florianópolis, 2005. Entre as exposições coletivas de que participou, destaca-se Projéteis de Arte Contemporânea, na Funarte, Rio de Janeiro, 2004. Freqüenta oficinas com Dora Longo Bahia, Dudi Maia Rosa, Fernanda Magalhães, Fernando Lindote, Flávia Ribeiro, Nelson Felix e Rossana Guimarães.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/bianca-tomaselli-2/,Bianca Tomaselli,Bianca Tomaselli,,Florianópolis,01/10/1979,,,Santa Catarina,"Parede de azulejos, está tudo bem, de Bianca Tomaselli",Brasil,,"Livros publicados/organizados ou edições 

TOMASELLI, Bianca. Lugares Imaginários. 1. ed. Florianópolis: SESC/SC, 2008. v. 1. 48p . 


Textos em jornais de notícias/revistas 

TOMASELLI, Bianca. ?Segunda Natureza? ou Considerações para o Espaço da Prótese. Um Ponto e Outro Ponto - Revista do Programa de Exposições do Museu Victor Meirelles, Museu Victor Meirelles, 25 abr. 2007. 2.da Rosa, Victor.
 
TOMASELLI, Bianca . As impurezas do branco. Diário Catarinense, Florianópolis, 30 set. 2006. Resumos publicados em anais de congressos.
 
TOMASELLI, Bianca. Da Costa Do Vale Da Serra - intermezzi do modernismo. In: III Simpósio Nacional de História: Mundos da Imagem: do texto ao visual, 2006, Florianópolis. Caderno de resumos do III Simpósio Nacional de História: Mundos da Imagem: do texto ao visual. Florianópolis: Imprensa Universitária UFSC, 2006. 2.MARTINS, Marta.

TOMASELLI, Bianca . O Desenho na produção Artística Contemporânea - um Campo em Expansão. In: XI Seminário de Iniciação Científica do CNPq e VI Jornada Acadêmica da UDESC, 2001, Florianópolis. UDESC, VI Jornada Acadêmica, XI Seminário de Iniciação Científica. Florianópolis: UDESC, 2001. p. 135. Apresentações de Trabalho.

TOMASELLI, Bianca. Josée Manentti - o mínimo gesto. 2017. (Apresentação de Trabalho/Outra). 

TOMASELLI, Bianca. Tratado de Anfib(i)ologia. 2017. (Apresentação de Trabalho/Congresso). 

TOMASELLI, Bianca. 'José Val del Omar, o ser amável e o ser por vir'. 2016. (Apresentação de Trabalho/Seminário).

TOMASELLI, Bianca. Os dois mil e tantos. 2016. (Apresentação de Trabalho/Conferência ou palestra). 

TOMASELLI, Bianca. Ivens Machado - 'all that is straight lies'. 2016. (Apresentação de Trabalho/Seminário). 

TOMASELLI, Bianca. Borges e o Atlas. 2016. (Apresentação de Trabalho/Seminário). 

TOMASELLI, Bianca. Mecamística (tira tu reloj al agua) - Val del Omar. 2015. (Apresentação de Trabalho/Seminário).

TOMASELLI, Bianca. Barthes, biopolítica e poesia. 2015. (Apresentação de Trabalho/Conferência ou palestra).

TOMASELLI, Bianca; STOLF, M. R. S. . Aula aberta: a instalação, o lugar e o acontecimento. 2015. (Apresentação de Trabalho/Conferência ou palestra).

TOMASELLI, Bianca. Parede de azulejos, tudo está bem - conversa com Bianca Tomaselli. 2014. (Apresentação de Trabalho/Conferência ou palestra).

TOMASELLI, Bianca. Josef Albers, Anni Albers e Eva Hesse - entre a grade e o sacrifício. 2013. (Apresentação de Trabalho/Conferência ou palestra). 

TOMASELLI, Bianca. Da Costa Do Vale Da Serra - Intermezzi do Modernismo. 2006. (Apresentação de Trabalho/Simpósio). 

TOMASELLI, Bianca. Modernismos: construção e dispêndio. 2006. (Apresentação de Trabalho/Conferência ou palestra). 

TOMASELLI, Bianca. Azulejaria, Pintura e Modernismo. 2005. (Apresentação de Trabalho/Conferência ou palestra).

TOMASELLI, Bianca. A grade. 2005. (Apresentação de Trabalho/Conferência ou palestra).

TOMASELLI, Bianca. 'Se se pode por os cinco dedos através é porque é uma grade'. 2005. (Apresentação de Trabalho/Conferência ou palestra).

TOMASELLI, Bianca. O Desenho na produção Artística Contemporânea - um Campo em Expansão.. 2001. (Apresentação de Trabalho/Seminário).

TOMASELLI, Bianca. O Desenho na produção Artística Contemporânea - um Campo em Expansão.. 2001. (Apresentação de Trabalho/Outra). 


Outras produções bibliográficas

TOMASELLI, Bianca. O Raio Verde, 2017. (Tradução/Outra). 

TOMASELLI, Bianca. Do quadro à pintura - uma abordagem da grade após o modernismo 2011 (Dissertação de Mestrado). 

TOMASELLI, Bianca. 'Atlas' de Gehard Richter: o arquivo anômico. Rio de Janeiro: Universidade Federal do Rio de Janeiro, 2009. (Tradução/Artigo). 

TOMASELLI, Bianca. Letícia Cardoso. Florianópolis: SESC Florianópolis, 2006 (Pretexto Florianópolis, Catálogo de exposição). 

TOMASELLI, Bianca; LINDOTE, Fernando. Segundo Intermezzo: O Salão de Artes Plásticas de 1957. SESC/SC, 2006 (Catálogo de exposição ""Da Serra Do Vale Da Costa""). 

TOMASELLI, Bianca; LINDOTE, Fernando. Terceiro Intermezzo: As alegorias da máscara. Florianópolis: SESC/SC, 2006 (Catálogo de exposição ""Da Serra Do Vale Da Costa""). 

TOMASELLI, Bianca; LINDOTE, Fernando. Primeiro Intermezzo: O Edifício da Costa e sua Soleira. Florianópolis: SESC/SC, 2006 (Catálogo de exposição ""Da Serra Do Vale Da Costa""). 

TOMASELLI, Bianca. Notas sobre o Purismo e o Desvio para o Estudo da Grade 2004 (Trabalho de Conclusão de Curso). 

TOMASELLI, Bianca. Notas sobre a grade azulejar. Rio de Janeiro: FUNARTE, 2004 (Projéteis Funarte, Catálogo de Exposição)."
,"Começou os estudos na École des Beaux-Arts. Em 1817 ganhou o concurso “Prix de Rome” através da descrição da “Helen Resgatado por Castor” recebendo uma bolsa para estudar na Academia Francesa em Roma em 1822. Em 1827, ele criou uma série de pinturas murais sobre a vida de Santo Estêvão para a igreja de Saint-Nicholas-des-Champs . De 1833 a 1835, ele pintou uma cena de Napoleão expedição 's para o Egito em um dos tetos no Louvre .Entre 1840 e 1860, ele operou uma oficina de pintura popular para as mulheres, dirigido por sua irmã Marie Amélie e um de seus alunos, Catherine Caroline Thévenin (1813-1892), que mais tarde se tornou sua esposa. Depois de 1843, ele se concentrou quase que inteiramente no ensino, com um retrato ocasional. 
Após 1831 passou a lecionar design no Lycée Louis-le-Grand. Ele também lecionou na École Polytechnique de 1847 a 1861. Em 1851, foi nomeado professor na École des Beaux-arts, cargo que ocupou até 1863, quando se aposentou, aos poucos desistindo de seus alunos particulares e se tornando mais recluso. 
Após 1855, ele essencialmente desistiu pintura.
Ele morreu esquecido no 10º Arrondissement (é um dos 20 distritos administrativos) de Paris em 1880 e está enterrado no Père-Lachaise.",,http://museuvictormeirelles.acervos.museus.gov.br/autores/leon-cogniet-2/,León Cogniet,León Cogniet,Paris,Paris,29/08/1794,20/11/ 1880,,,,França,França,
