Data de abertura,Data de fechamento,Descrição,Document,Link do Item,Local,Local no prédio,Nome da exposição
24 de abril de 2019,10 de agosto de 2019,"Esta exposição celebra a proximidade do retorno do Museu Victor Meirelles à sua sede histórica, após três anos em obras. O sobrado da família Meirelles de Lima, que é patrimônio histórico nacional desde 1950, foi restaurado e o museu ampliado, possibilitando que suas portas verdes continuem acolhedoras e inspiradoras, sempre abertas para a arte e a cidadania.
Sem deixar de cuidar das raízes do passado, o Museu Victor Meirelles quer se habilitar para fazer parte do futuro.
Uma porta verde para o conhecimento: arte, história e tradição formam as raízes que sustentam a produção artística de Victor Meirelles e a sua consagração como patrimônio nacional. A porta de sua casa natal se abre e deixa ventilar a trajetória do pintor ao longo do século 19, convidando os visitantes a recriar na imaginação um tempo nem tão distante assim no nosso...
Já no século 20, a arte de Victor Meirelles passa a ser considerada patrimônio artístico nacional. Uma pequena coleção de estudos e retratos, entre desenhos e pinturas doados pelo Museu Nacional de Belas Artes, adentra a casa natal do pintor no início da década de 1950 e suas portas verdes se tornam símbolo de um espaço de memória e de reflexão sobre a arte e a história. Desde então o Museu Victor Meirelles se dedica a preservar e a investigar a vida e a obra do artista.
Nossa Senhora do Desterro: a cidade onde nasceu Victor Meirelles é o ambiente que provoca o olhar do artista em formação. O que Victor Meirelles enxergava das janelas do sobrado que foi morada e comércio de sua família? E se hoje abrirmos novamente as janelas, o que veremos?
Florianópolis: substituem-se os nomes, confundem-se os tempos. A cidade de hoje é arena de um patrimônio e de uma arte que se recriam para o futuro em um museu interessado no debate público. A casa da porta verde se qualifica para ser espaço de laboratório e de congregação, instrumento de pensamento crítico e de emancipação.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/a-casa-da-porta-verde/,Museu Victor Meirelles,"Sala de Exposições Temporárias - Térreo Sede Provisória: Rua Rafael Bandeira, 41",A casa da porta verde
25 de março de 2009,,"Na semana em que Florianópolis completa 283 anos, o Museu Victor Meirelles recebe um presente para a cidade. No dia 25 de março, às 17h, o Museu apresentará ao público cinco obras, doadas pela professora e pesquisadora Sara Regina Poyares dos Reis, de autoria de ex-alunos de Victor Meirelles, que freqüentaram a Academia Imperial de Belas Artes. São eles: Antônio Parreiras (Niterói/RJ, 1860-1937), Belmiro de Almeida (Serro/MG, 1858; Paris, 1935), Décio Villares (Rio de Janeiro/RJ, 1851-1931), Eliseu Visconti (Salerno/Itália, 1866; Rio de Janeiro/RJ, 1944) e Oscar Pereira da Silva (São Fidélis/RJ, 1867; São Paulo/SP, 1939). 
No ano de 2008, Sara Regina doou ao Museu a obra de Victor Meirelles Estudo para ""Batalha dos Guararapes"", circa 1874-1878, um óleo sobre tela. Com essa atitude abnegada de doadora, quem ganha é a sociedade catarinense que terá acesso a um acervo, agora público, de obras importantes, realizadas pelos mais expressivos discípulos de Victor Meirelles.
A doadora Sara Regina Poyares dos Reis, nascida em Florianópolis, é historiadora pela UFSC, onde também obteve o grau de Mestre. Autora de 14 livros, possui uma trajetória reconhecida na preservação e pesquisa do patrimônio cultural catarinense, sendo uma das fundadoras da Comissão do Patrimônio Histórico, Artístico e Natural do Município de Florianópolis. Também é membro do ICOMOS - Conselho Internacional de Monumentos e Sítios, ligado à Unesco - e do Instituto Histórico e Geográfico de Santa Catarina. Sua constante e eterna luta, é pela preservação da memória e do patrimônio histórico, artístico, arqueológico e natural da Ilha de Santa Catarina. ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/apresentacao-das-obras-doadas-para-o-museu-victor-meirelles-por-sara-regina-poyares-dos-reis/,Museu Victor Meirelles,Sala de exposição de longa duração do Museu Victor Meirelles,Apresentação das obras doadas para o Museu Victor Meirelles por Sara Regina Poyares dos Reis
29 de maio de 2013,15 de abril de 2016,"Esta exposição propõe um novo olhar sobre a vida e a obra de Victor Meirelles de Lima, com destaque para as dimensões da técnica, do processo criativo e do aprendizado do artista acadêmico, ao mesmo tempo em que o apresenta dialogando com obras de artistas modernos e contemporâneos, também pertencentes ao acervo do museu. A proposta é estimular o encontro de novos sentidos, correspondências e singularidades. 
Na medida em que se evidencia o incansável aprendiz por trás do pintor consagrado, renova-se o olhar sobre a sua obra, resgatam-se os vínculos e abrem-se as perspectivas interpretativas, exibindo o artista em sua dimensão humana. Em diálogo com a produção moderna e contemporânea, as obras do século XIX ganham novos contornos e possibilitam diferentes leituras sobre a arte e o processo artístico.
O acervo do Museu Victor Meirelles está em processo permanente de formação e conta, atualmente, com um número expressivo de obras de Victor Meirelles, assim como de seu professor e de alguns de seus alunos, além de um crescente acervo de obras de arte moderna e contemporânea. São pinturas, gravuras e desenhos representativos de um período histórico que vai do século XIX até os dias atuais. 
Ao se propor, como missão institucional, a difundir e promover os bens culturais da sociedade, educar e estimular a reflexão e a experimentação no campo das artes visuais, do patrimônio e do pensamento contemporâneo, o Museu Victor Meirelles busca, por meio de seu programa de exposições, despertar o interesse do público para as diversificadas nuances das obras de arte do seu acervo.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/entrelacos/,Museu Victor Meirelles,Sala de Exposições de Longa Duração - 1° andar,Entrelaços
15 de dezembro de 1999,20 de fevereiro de 2000,"Desenhos e gravuras do acervo do Museu, composto de obras doadas ao MVM, dos artistas que participaram de exposições no período de 1994 a 1999.  ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/retrospectiva-mvm-1994-1999/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Retrospectiva MVM 1994-1999
21 de agosto de 2013,27 de outubro de 2013,"A partir de 2008 , Giba Duarte iniciou um cuidadoso trabalho de observação e registro da paisagem e dos afetos que nela habitam. A câmera fotográfica servia-lhe como observatório e mecanismo de reprodução de imagens. 
Desde então, o artista vem reunindo estas fotografias que acabaram por formar uma coleção de possíveis. Gradativamente, algumas delas começaram a ser ocupadas por camadas de lápis, tinta e fios costurados. Foi surgindo um vocabulário próprio composto por figuras e palavras que nos sussuram comentários – espécie de legendas poéticas – sobre a experiência vivida em cada quadro. 
“Dá para escrever em dias negros” (realizado entre 2011 e 2013) e “Ramblas ou quase respiro” (2013) são trabalhos produzidos entre Uruguai, Rio Grande do Sul e Florianópolis onde o artista fotografa e filma lugares, construindo seriações de pequenas narrativas ou “historinhas”, como ele próprio gosta de dizer.
O desenvolvimento da linha sobre a fotografia – tanto o traço do lápis dermatográfico, quanto o gesto do coser – conduziu ao território do desenho. A novidade desta exposição é a apresentação de três desenhos, a série “Planos de fuga” (2013). 
Por fim, pequenos objetos se tornam protagonistas de um diálogo improvável (mas possível) entre as fotografias e o vídeo, num jogo de tamanhos, formas e atravessamentos de linhas, sons e sentidos. É a série “Recuso-me a dar satisfação” (2013).
Fernando Boppré, curador",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/l-i-v-r-o-s-de-giba-duarte/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"L I + V R O S, de Giba Duarte"
20 de agosto de 1997,26 de outubro de 1997,"No universo contemporâneo somente sobrevive-se pela especialização. E Alex Gama é o especialista. Dentro da linguagem xilo nos informa sobre a infinita possibilidade da madeira gravada (que para ele é sem limites) revelando intimidades sequer imaginadas, através de sua exaustiva pesquisa... Especialista querendo superar-se o tempo todo, indo, devassando...Para narrar o seu enredo pessoal não existe nenhuma outra possibilidade. Os roteiros de Alex Gama não poderam ser pintados, nem desenhados, jamais. Nascem conceituados, pensados como xilografia. Igualmente acontece com Lívio Abramo, Goeldi, Fayga, Grillo e outros poucos gravadores de estirpe, sobressai a comovente coerência (que reverenciamos) entre criação e processo de realização. Não se restringe ao empréstimo da técnica para multiplicar os originais e alcançar mercado maior, há uma escolha identificada, ou melhor, não há escolha pis há uma predestinação. Alex Gama comprova em sua geração nosso único critério de avaliação sem fronteiras políticas, étnicas ou temporais. O gravador autêntico contem a impossibilidade de realizar-se em outras técnicas (existindo porém raras exceções no caso inverso), com a mesma força. Retomando o prognóstico antecipado de Marshall M. Luhan “The medium is the message” ou  como sabemos “the message”, pela contemporaneidade e internacionalidade da qualidade desejável... Há em Alex Gama uma fidelidade exasperante a este frágil fio condutor, secreto e sutil.
 Uma aparente monotonia. Ad nauseum. Escondendo um milagre. Eis o milagre: a gravura de Alex Gama aonde começa? Certamente não dentro dela. Nem na extensão do papel suporte. A imagem faz com que revejamos o espaço da circunstância (ao redor, circundante) e daí voltemos à gravura, com recarga. Instala-se um processo de indução fisiológica como se fosse instaurado em nós um método de percepção. Somos arremessados num corredor interminável e aparentemente estreito de geometrias emocionais que deságua num surpreendente mar de desordens. Festas no espaço cibernético virtual ou caleidoscópio indígena? Não importa. Nada há mais provocante do que batalhas entre linhas condutoras, precisas de luz, resistências tramadas no fio de madeira. Enquanto Lívio Abramo pasteuriza o acaso Alex Gama faz dele o próprio protagonista da imagem. Para construir transparências vibrantes nada mais ousado do que o repique de rebarbas rasgadas no contrapelo do crescimento da árvore (detectável mesmo nos compensados), conduzidos por precários contrapontos, equilíbrios delicados, verticais, diagonais, paralelas versus plano cor invasor e flancos especiais penetrantes, fundos como volumes...
 Nada a ver com os primeiros disciplinados gestos de Lygia Pape, final  dos anos 50 início dos 60 que nos remetiam delicadamente a Sophie Tauber Arp. Aqui sensações fisiológicas conduzidas pela respiração ofegante do buril ou goivas em V. Sempre há uma moral ilógica fluindo da imagem que tanto poderia ser maior ou menor (continuar ou ser interrompida) uma narrativa de momento onde o instrumento abandona ou não a possibilidade que se lhe oferece a cada segundo de rebater junções de planos. Ferir cheios ou vazios na pele da madeira, decepcionar expectativas pelo ar que se impregna, pelo ritmo de poros abertos em cada centímetro da obra. Esta epiderme é lanhada com a maior economia de signos. Todas as indagações possíveis, num furor inscrito de permutas geométricas repetem-se sempre. A profundidade e largura dos sulcos é similar, os acostamentos semelhantes mas a imagem de nossa reação é surpreendentemente variada. A própria linguagem xilográfica supõe domínio do universo cartesiano que estrutura a madeira. De sua morfologia celular, glandular até... O milagre acontece sempre que a intensidade criativa extrai somente o essencial já contido no suporte lignum. Descobrimos nas xilogravuras de Alex Gama sensações mágicas que nos fazem vivenciar o encantatório das obras de arte. Veículos de nossas idéias fluindo transportadas pelo suporte físico da imaginação satisfeita...

MARIA BONOMI   SÃO PAULO    DEZEMBRO  96
",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/alex-gama/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Alex Gama
26 de abril de 2000,25 de junho de 2000,"O interesse de Max Moura pelas artes gráficas vem desde os anos setenta quando inicialmente frequentou o atelier de litografia da FAAP. Cursando a  Escola Superior de Propaganda trabalhou em publicações paulistanas fazendo ilustrações e diagramações ousadas e inovadoras. Autodidata na pintura e no desenho buscou na gravura uma formação mais sistemática.
Fez os cursos regulares de gravura em metal na Art Student League of New York chegando a ser monitor do consagrado gravador Roberto De Lamônica.   
Essa passagem pelo Art Student foi decisiva para o trabalho gráfico de Max.
A solitária luta do atelier de gravura com seu processo meticuloso e exercício constante da paciência, possibilitou ao extrovertido artista uma maior introspecção e consequente adensamento de suas reflexões plásticas básicas.
Em suas gravuras permanece o gestualismo livre e desrepressor das pinturas enriquecido agora com os efeitos peculiares das técnicas das pontas secas, das águas tintas e das águas fortes.
Nesta mostra do Museu Victor Meirelles ao lado das gravuras estão também as monotipias cujo caráter adaptou-se perfeitamente às intenções expressivas do autor que transformou-se num verdadeiro mestre desta modalidade.
Nas chapas de acrílico entintadas Max pode dar vazão a seus arrebatamentos dionisíacos através das pinceladas, traços compulsivos, grafismos e incisões que expandem-se por toda a superfície de forma aparentemente caótica. As texturas transparentes e opacidade obtidas através das sucessivas prensagem, criam campos de cor onde estes elementos estruturam-se organicamente fundindo figura e fundo num todo dinâmico e feérico.
A excelência deste trabalho de impressor pode ser conferida no imponente painel gráfico do Centro de Convivência da UFSC cuja impressão foi orientada por Max.
São provenientes deste painel algumas gravuras presentes, como por exemplo, as que utilizam perfis obtidos com relevos ordenados simetricamente em torno de um ponto focal que é o centro visual do painel.
Quase abstração que o gestualismo e a informalidade conferem aos trabalhos de Max não elimina o recurso a alguns signos, dentre estes dois temas são recorrentes: os varais e a escada.
Nos varais, suspensas por um fio, roupas tremulam no céu tormentosas, apocalípticas, dinamizadas pela rica trama de pinceladas nervosas de manchas e texturas diversas que se contraem e expandem num clima de grande densidade dramática, dilaceradas, distorcidas, fragmentadas, as formas parecem querer explodir revelando-nos sua essência.
Apontando para a transcendência, para a necessidade de ir além da aparência visível das coisas, buscando atingir o inatingível, a escada paira no ar inquietante em suas diagonais barrocas.
Pela irreverência e espírito desafiadoramente iconoplasta, Max Moura foi por muito considerado o eterno “enfant terrible” da arte catarinense.
Sua série de gravuras ora expostas mostra-nos um artista em plena maturidade, senhor de sua técnica e de seus meios expressivos e que soube amadurecer sem perder o contato com o frescor e  a espontaneidade das fontes da criatividade genuína.

João Otávio Neves Filho
Membro da ABCA/AICA e do 
Conselho de Cultura - SC",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/max-moura/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Max Moura
20 de outubro de 2015,24 de outubro de 2015,"De 20 a 24 de outubro, o Museu Victor Meirelles abriga em sua sala de exposições temporárias a sexta edição do projeto Armazém, que tem curadoria de Juliana Crispe e Marina Moros. 
A primeira edição já havia ocorrido no Museu Victor Meirelles em 2011, na ocasião, com 92 artistas. O título do projeto é inspirado no fato de que a casa natal de Victor Meirelles, onde ocorrem as exposições temporárias e de longa duração do Museu Victor Meirelles, ter sido um bar e armazém durante parte da primeira metade do século 20. 
Armazém é um espaço propositor de relações com a arte e, por este motivo, tocar, experimentar, levar algo consigo é participar do jogo que faz parte deste projeto. Para tanto, são realizadas exposições e feiras, obras múltiplas como livro de artista, caderno de artista, caderno de desenho, diário de artista, diário de bordo, postais, panfletos, cartazes, gravuras, fanzines, lambe-lambe, stickers, cartões, carimbos e objetos; ou seja, trabalhos que tenham tiragens (de pequenas e grandes edições).
Armazém, agora, tornou-se também um selo da Editora Cultura e Barbárie dedicado à publicações de artistas, traduções e livros-objeto em tiragens limitadas. O selo – coordenado pelas artistas Juliana Crispe e Marina Moros, tomou como inspiração a editora Noa Noa, de Cleber Teixeira – cria e produz cada livro, do projeto gráfico à costura final, como objetos únicos.
Na abertura da exposição serão lançados os seguintes títulos: Como escrevi alguns dos meus livros e Piparote, de Raymond Roussel; Paolo Uccello, pintor, de Marcel Schwob; Livro para dias tristes, de Diego de los Campos; Fabulações reminiscentes, de Juliana Crispe; Disability, de Adriana dos Santos; Coleção de nuvens, de Letícia Cardoso; Pequeno Grande Inventário, de Sandra Checluski e Frouxidão, de Itamara Ribeiro.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/6a-edicao-projeto-armazem/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,6ª Edição Projeto Armazém
25 de abril de 2001,24 de junho de 2001,"Por abstracionismo consideramos o que, atualmente, se faz em termos de revolução artística, qual seja o não figurativo, a arte chamada concreta.
 Na realidade, o que vemos, hoje é uma produção artística totalmente nova, com a intenção de exaltar a pujança das cores e o impulso lírico que delas emana. O material plástico, os ritmos, as tonalidades lisas. Em suma, a criação plástica em seu sentido mais puro, verdadeiramente primário, isto entendido como caráter inicial. Com efeito, são obras construídas como poemas virginais, concebidas como arquiteturas grandiosas, as quais, ora se combinam em efervescentes florações, ora, fruto de rigorosas impetuosidades de cor e composição. Tudo criação plástica em seu estado mais puro.
 As primícias dessa idéia plástica estão no ar e ganharam corpo através da concepção de artistas como Delaunay, Kupka, Picabia e Kandinsky, para citar, apenas, uns poucos precessores que afirmaram a abstração como doutrina expressa.
 Na criação artística de Naná Ribeiro podemos sentir o que pode haver de necessidade orgânica e vital nessa manifestação plástica, consequência de um impulso vital e que o exalta de maneira surpreendente.
 Na realidade, o que vemos na produção dessa jovem artista é a deslumbrante explosão cromática, tão plena e de uma rica e ressonante nobreza. Muitas vezes, diante de uma obra abstrata, poder-se-á perguntar: o que representa isso? A resposta a essa indagação está no fato de que na obra em questão, para lá de toda a representação, há, sem dúvida, uma presença, uma luminosa e empolgante precisão, fervorosa e convincente. Uma realidade nova, profunda, uma verdadeira diferente e, indubitavelmente, inscrita no panorama de nosso tempo.
 Sem dúvida, ela não esgota todas as características que fazem desta concepção artística uma ruptura completa com o passado e a transforma em nova visualidade e, também, não necessariamente limitada.

Alcídio Mafra de Souza, Rio de Janeiro/março de 2001",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/o-laranja-o-preto-e-o-branco-na-arte-maior-abstrata-de-nana-ribeiro/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"O laranja, o preto e o branco na arte maior, abstrata de Naná Ribeiro"
1 de março de 2018,24 de março de 2018,"Integrada no programa de comemoração dos 40 anos da Bienal Internacional de Arte de Cerveira (BIAC),  VIDEORAMA  é a primeira mostra de vídeos da Coleção do Museu da Bienal de Cerveira realizada no Brasil. Apresenta uma seleção de vídeos originalmente exibidos nas BIAC, representativa da ampla diversidade de gerações, origens e de experimentações artísticas que marcaram e definiram a BIAC ao longo da sua história e a sua importância no panorama artístico contemporâneo português e internacional.
VIDEORAMA versa sobre a experimentação videográfica própria do início do século XXI que, de acordo com Arlindo Machado, transita entre a profusão de técnicas e os modos precários de captação e criação de imagens (cinema, vídeo digital, imagens sintéticas, fotografias, arquivos pessoais); e entre os vários géneros e/ou linguagens artísticas (videografia, filme, performance, documentário, ficção, etc.). Experimentação estas não técnico-formais, mas orientadas por conceitos, parâmetros experimentais. Neste sentido, VIDEORAMA versa também sobre identidade, sobre representação, sobre apropriação, sobre o real e principalmente sobre o tempo não fluente e sim descontinuado.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/videorama/,Museu Victor Meirelles,,Videorama
