Autor,Classificação,Data de produção,Denominação,Document,Estado de conservação,Link do Item,Local de produção,Modo de aquisição,Número de registro,Resumo descritivo,Título,Material/Técnica
Não identificado.,10 Comunicação > 10.1 Documento,24/09/1924,Fotografia,15278,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/capistrano-de-abreu-com-a-dedicatoria-a-villa-lobos-rio-24-9-1924/,Brasil,Doação,1980.16.002,Com a dedicatória a Villa-Lobos.,Capistrano de Abreu,
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11531,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/fachada-do-hotel-bedford-onde-villa-lobos-se-hospedava-quando-estava-em-paris-2/,França,Doação,2009.16.004,,"Fachada do Hotel Bedford, onde Villa-Lobos se hospedava quando estava em Paris",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11533,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/fachada-do-hotel-bedford-onde-villa-lobos-se-hospedava-quando-estava-em-paris/,,Doação,2008.16.032,,"Fachada do Hotel Bedford, onde Villa-Lobos se hospedava quando estava em Paris",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11537,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/batizado-de-maria-regina-neves-dalmeida-castro-no-colo-de-arailda-sua-tia-e-irma-de-arminda/,,Doação,2002.16.149,,"Batizado de Maria Regina Neves d’Almeida Castro, no colo de Arailda, sua tia e irmã de Arminda",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11539,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-na-escada-de-um-aviao-da-panair-do-brasil-no-aeroporto-de-paris/,,Doação,2002.16.148,,"Villa-Lobos e Arminda na escada de um avião da Panair do Brasil, no aeroporto de Paris",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11541,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-annette-celine-filha-da-pianista-felicja-blumental/,,Doação,1982.16.224,,"Villa-Lobos e Annette Celine, filha da pianista Felicja Blumental.",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,15281,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/arminda-villa-lobos-e-sonia-maria-strutt/,,Doação,2008.16.072,,"Arminda, Villa-Lobos e Sonia Maria Strutt",Fotografia colorida; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11543,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-sonia-maria-strutt-marina-de-barros-seu-marido-o-embaixador-jayme-de-barros-em-sua-residencia-e-arminda/,,Doação,2008.16.070,,"Villa-Lobos, Sonia Maria Strutt, Marina de Barros, seu marido o embaixador Jayme de Barros, em sua residência, e Arminda",Fotografia colorida; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11545,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-marina-de-barros/,,Doação,2008.16.069,,Villa-Lobos e Marina de Barros,Fotografia colorida; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11547,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-sonia-maria-strutt-marina-de-barros-o-embaixador-jayme-de-barros-e-arminda/,,Doação,2008.16.068,,"Villa-Lobos, Sônia Maria Strutt, Marina de Barros, o embaixador Jayme de Barros e Arminda",Fotografia colorida; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11549,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-sonia-maria-strutt-marina-de-barros-carregando-um-bolo-e-arminda-de-costas/,,Doação,2008.16.067,,"Villa-Lobos, Sonia Maria Strutt, Marina de Barros, carregando um bolo, e Arminda, de costas",Fotografia colorida; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11551,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/8492-2/,,,1983.16.141.13,,,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11553,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-leopold-stokowski-no-city-center/,,Doação,1983.16.042,,Villa-Lobos e Leopold Stokowski no City Center,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11555,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-oscar-correia-o-consul-geral-do-brasil-nos-eua-em-recepcao-no-hotel-waldorf-astoria/,,Doação,1983.16.005,,"Villa-Lobos e Oscar Correia, o cônsul-geral do Brasil nos EUA, em recepção no Hotel Waldorf Astoria",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11557,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/arminda-desembarcando-do-aviao-da-air-france/,,Doação,2008.16.065,,Arminda desembarcando do avião da Air France,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11559,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-arminda-diretor-da-radio-de-barcelona-empresario-de-v-l-e-nao-identificado/,,Doação,2008.16.047,"No verso, manuscrito “diretor da Radio de Barcelona emprezario de V.L.”","Villa-Lobos, Arminda, diretor da Radio de Barcelona empresário de V.L., e não identificado",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11561,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/homenagem-da-cidade-de-botucatu-a-o-maestro-e-compositor-francisco-braga-2/,Brasil > Botucatu (SP),Doação,2009.16.017,Recepção ao Maestro e compositor Francisco Braga na Estação Sorocaba de Botucatu.,Homenagem da cidade de Botucatu ao maestro e compositor Francisco Braga,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11563,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/homenagem-da-cidade-de-botucatu-a-o-maestro-e-compositor-francisco-braga/,Brasil > Botucatu (SP),Doação,2009.16.016,"De pé: Sebastião de Matos, Joana Matos e Nelson Franklin de Matos; sentados: maestros Francisco Braga e Alfredo Franklin de Matos.",Homenagem da cidade de Botucatu a o maestro e compositor Francisco Braga,Fotografia em preto e branco; papel
