colecao,link_item,Criador,Data,Tipo,Título,Dimensões físicas,Data de criação,Meio,Nº de registro,Autor,Coleção,Material/Técnica
Oil paint,https://artsandculture.google.com/asset/caf%C3%A9-candido-portinari/qAEbEUVuIQs9Hg,,,,,,,,,,,
Oil paint,https://artsandculture.google.com/asset/colheita-de-flores/_QHkKnKw_tY6iQ,Maria Auxiliadora Silva,1972,óleo sobre tela,Colheita de flores,,,,,,,
Oil paint,https://artsandculture.google.com/asset/composio-aberta-n-3-o-indefinido/xgGHlAkSmiy4kQ,Ubi Bava,1960,óleo sobre tela,Composição aberta nº 3 - o indefinido,,,,,,,
Oil paint,https://artsandculture.google.com/asset/cadafalso/mQHzof4fIoBGHA,Regina Vater,1972,óleo sobre tela,Cadafalso,,,,,,,
Oil paint,https://artsandculture.google.com/asset/primeira-missa-no-brasil/IQFUWbm_Wu1XaA,Vítor Meireles,1860,óleo sobre tela,Primeira Missa no Brasil,w270 x d357 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-para-desembarque-de-dleopoldina-no-brasil/yAFEiTz5X4NPqg,Jean Baptiste Debret,1817,óleo sobre tela,Estudo para Desembarque de D.Leopoldina no Brasil,,,,,,,
Oil paint,https://artsandculture.google.com/asset/autorretrato-ou-le-manteau-rouge/wQFGqO0gYTnH-A,Tarsila do Amaral,1923,óleo sobre tela,Autorretrato ou Le manteau rouge,,,,,,,
Oil paint,https://artsandculture.google.com/asset/autorretrato-ou-le-manteau-rouge/AgH6KHAPsOtLTg,Tarsila Do Amaral,1923,óleo sobre tela,Autorretrato ou Le manteau rouge,w73 x d60 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/arrufos/mQFUu5466NFkCA,Belmiro de Almeida,1887,óleo sibre tela,Arrufos,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-d-joo-vi/wwGmyeWfznlnjw,Jean Baptiste Debret,1817,óleo sobre tela,Retrato de D. João VI,w60 x d42 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/elevao-da-cruz-em-porto-seguro-ba/IQEp8KIEVRduUw,Pedro Peres,1879,óleo sobre tela,"Elevação da cruz em Porto Seguro, BA",,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-d-joo-vi/ywH6TcenrBySyw,Jean Baptiste Debret,1817,óleo sobre tela,Retrato de D. João VI,,,,,,,
Oil paint,https://artsandculture.google.com/asset/giovent/OQF10QI08GqmRw,Eliseu Visconti,1898,óleo sobre tela,Gioventú,w65 x d49 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/study-for-arrival-of-d-leopoldina/igE7CI8wh6qepg,Jean Baptiste Debret,1817,óleo sobre tela,Study for arrival of D. Leopoldina,,,,,,,
Oil paint,https://artsandculture.google.com/asset/baile-fantasia/ZwHxEfhaFfHRDw,Rodolfo Chambelland,1913,óleo sobre tela,Baile à fantasia,w149 x d209 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/so-caetano-de-tiene/_AGmIKmGb-pAbQ,Giambattista Tiepolo,1730/1770,óleo sobre tela,São Caetano de Tiene,,,,,,,
Oil paint,https://artsandculture.google.com/asset/descanso-do-modelo/1gF0VbW_a-rg0w,José Ferraz de Almeida Júnior,1882,óleo sobre tela,Descanso do modelo,,,,,,,
Oil paint,https://artsandculture.google.com/asset/moiss-salvo-das-guas/yQFXlI62xD4dlQ,Nicolas Antoine Taunay,,óleo sobre tela,Moisés salvo das águas,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-antnio-lus-pereira-da-cunha-marqus-de-inhambupe/HQEFfgjn3tu0LA,Simplício Rodrigues de Sá,1825,óleo sobre tela,"Retrato de Antônio Luís Pereira da Cunha, marquês de Inhambupe",,,,,,,
Oil paint,https://artsandculture.google.com/asset/as-religiosas/YgH57Kxc8maaZA,Vicente do Rego Monteiro,1969,óleo sobre aglomerado,As religiosas,,,,,,,
Oil paint,https://artsandculture.google.com/asset/batalha-do-ava/BgGRFmudOe0W0A,Pedro Américo,1877,óleo sobre tela,Batalha do Avaí,w600 x d1100 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/entrada-da-baa-e-da-cidade-do-rio-a-partir-do-terrao-do-convento-de-santo-antonio-em-1816/zgEFISsnlpRltg,Nicolas Antoine Taunay,1816,óleo sobre tela,"Entrada da baía e da cidade do Rio, a partir do terraço do convento de Santo Antonio em 1816",w45 x d57 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/recado-difcil/ZAHZts5qGtvDiw,José Ferraz de Almeida Júnior,1895,óleo sobre tela,Recado difícil,,,,,,,
Oil paint,https://artsandculture.google.com/asset/caf/WgHGeTI66hlbNg,Candido Portinari,1935,óleo sobre tela,Café,w130 x d195 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/o-ltimo-tamoio/eAHLj8fNwqTSJw,RODOLFO AMOEDO,1883,óleo sobre tela,O último tamoio,w180 x d260 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-olegrio-mariano/6gEjvy1b3vVXJg,Candido Portinari,1928,óleo sobre tela,Retrato de Olegário Mariano,w120 x d62 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/redeno-de-c/_gH_m-s_zK3Wzg,Modesto Brocos,1895,óleo sobre tela,Redenção de Cã,w199 x d166 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/cesto-entornado/kAEoqYYYB3Br8w,Pedro Alexandrino,1880/1940,óleo sobre tela,Cesto entornado,,,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-para-panorama-do-rio-de-janeiro-morro-do-castelo/gQE5QhldXe6fCQ,Vítor Meireles,1885,óleo sobre tela,,,,,,,,
Oil paint,https://artsandculture.google.com/asset/batalha-dos-guararapes/pAGxMJZEiQamdA,Vítor Meireles,1879,óleo sobre tela,Batalha dos Guararapes,w494 x d923 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/morte-de-germnico/HQEutOjEzP5Ysw,Jean Baptiste Debret,1790/1816,óleo sobre tela,Morte de Germânico,,,,,,,
Oil paint,https://artsandculture.google.com/asset/iracema/6wEKgMZccw97BA,José Maria de Medeiros,1884,óleo sobre tela,Iracema,w168 x d255 (cm),,,,,,
