Assunto,Descrição do documento,Localização Geográfica,Palavras-chave,Tipo de documento,autor,data,descrição,link,titulo,Outros nomes,Número do documento
"Identificação
","03 folhas textuais; 01 planta; 01 foto.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 - 1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27106?discover?rpp=10&etal=0,"Imóvel à Rua Monsenhor Azevedo, n° 14",,
"Autorização
","20 folhas textuais; 03 plantas.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2008,"Documentação abrangendo o período de 2008 - 2009.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30553?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 09, Lote 04",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2008,"Documentação referente ao ano de 2008.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30569?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 36",,
"Autorização
","25 folhas textuais; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"Documentação abrangendo o período de 2011 - 2014.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30572?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 09, Lote 02",,
"Identificação
","03 folhas textuais; 01 foto; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-03-07,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26746?discover?rpp=10&etal=0,"Imóvel à Rua da Carioca, n° 04",,
"Identificação
","03 folhas textual; 01 foto; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 - 1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27120?discover?rpp=10&etal=0,"Imóvel à Rua Monsenhor Azevedo, n° 08",,
"Autorização
","08 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2006,"Documentação abrangendo o período de 2006 - 2015.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30557?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 09",,
"Identificação
","03 folhas textuais; 02 fotos.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Igreja de Nossa Senhora do Rosário||Convento São Domingos||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27090?discover?rpp=10&etal=0,Largo do Rosário,,
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2013,"Parecer e relatório fotográfico.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30599?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 11, Lote 12 e 13","Imóvel à Rua Linda Passos Valadares, Quadra 11, Lote 12 e 13
",
"Identificação
","03 folhas textuais; 01 foto.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-03-09,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26749?discover?rpp=10&etal=0,"Imóvel à Rua da Carioca, n° 05",,
