Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
"Vale do urucaia, minas gerais; artesanato em fio; produção artesanal  Tecelagem";;32 p.;Teixeira, Raquel Dias (Org.);Sala do Artista Popular,162;Catálogo da exposição realizada no período de 23 de setrembro a 31 de outubro de 2010;745.52  N739  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2010.";(Sala do Artista Popular,162);"NO ""vão"" do urucuia : fios que entrelaçam saberes";IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Marx, robert burle, 1909-1994  Botânica - rio de janeiro (estado);;"26  p. : il. ; 20 cm";;;;581.08  A173  IPHAN-ES  581.08  A173  IPHAN-PA;Rio de Janeiro : Iphan, 2015.;;O acervo botânico do Sítio Roberto Burle Marx;IPHAN-PA(571);Imagem;;;;;;;;;;;;;;;;;;;
Artesanato  Arte popular  Artistas populares;;64 p.;Lima, Ricardo Gomes (org.)  Waldech Guarcia(org.);;;745.5  M395a  IPHAN-PA;Rio de Janeiro : Iphan, Rio de Janeiro : CNFCP, 2007.;;Adalton : o senhor do barro;IPHAN-PA(571);;Mascelani, Angela (org.);ISBN 8573340440;;;;;;;;;;;;;;;;;
Rendas  Alagoas. rendeiras  Alagoas;;28 p.;;Sala do artista popular, 119;;746.8135  L732a  IPHAN-PA;Rio de Janeiro : IPHAN, CNFCP, 2004.;(Sala do artista popular, 119);Alagoas rendeira /;IPHAN-PA(571);;Lima, Ricardo Gomes;;;;;;;;;;;;;;;;;;
História. arquitetura colonial. arte e antropologia. missões  Arte  São fidélis;;143 p.;;Série Ensaios;;709  B277a  IPHAN-PA;Rio de Janeiro : Iphan, 1995.;(Série Ensaios);Aldeamento de São Fidélis : o sentido do espaço na iconografia /;IPHAN-PA(571);;Barros, Clara Emilia Monteiro de;;;;;;;;;;;;;;;;;;
Arte barroca. santuário de gongonhas. iphan;;134 p.;;Roteiros do Patrimônio, 1;Consulta local;730.98151  O48a  IPHAN-PA;Brasília : IPHAN, MONUMENTA, 2006.;(Roteiros do Patrimônio, 1);O aleijadinho e o Santuário de Congonhas /;IPHAN-PA(571);;Oliveira, Myriam Andrade De.;;;;;;;;;;;;;;;;;;
"Folclore  Santarém (PA); cultura popular  almanaques";;100 p.;Bezerra, Aída;;;398.098115  A445  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2011.";;ALMANAQUE Pitinga;IPHAN-PA(571);;Costa, Renato (org.);ISBN 9788573342031;;;;;;;;;;;;;;;;;
Espanha. antônio josé landi. arquitetura  Landi  Portugal  Tratado;;299 p.;Rodrigues, Ana Maria;;Consulta local;720  R696a  IPHAN-PA;Brasília : IPHAN, MinC, 1999.;;Amazônia felsínea;IPHAN-PA(571);;Brito, Joaquim Soeiro de (coord.);;;;;;;;;;;;;;;;;;
Educação patrimonial. arqueologia. missões jesuitas  Rio Grande do Sul;;15 p.;;;;370.098165  I59a  IPHAN-PA;Porto Alegre : Iphan, 2008.;;Amigos do patrimônio : investigando São Miguel das Missões;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Arqueologia. araraguara. educação patrimonial.;;14 p.;;;;370.098161  I59a  IPHAN-PA;[s.l] : Iphan, 2008.;;Amigos do patrimônio : material de apoio à ação educativa patrimonial cidade de Araraquara;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
