Nome;Condição;Tipo;UF;Município;Coordenada(s)_geográfica(s);Contatos;Bens_vinculados_Condição;Bens_vinculados_Nome;Bens_vinculados_Categoria;Bens_vinculados_Abrangência;Ações_vinculados_Tipo;Ações_vinculados_Nome;Ações_vinculados_Instrumento;Ações_vinculados_Situação;Página
APG (Associação das Paneleiras de Goiabeiras);Referência/Partícipe;Associação de detentores;ES;Vitória;-20,269182000000008   -40,302948;Nenhum registro encontrado;Registrado;Ofício das Paneleiras de Goiabeiras;Saberes;Local;Reconhecimento;Registro do Ofício das Paneleiras de Goiabeiras como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/1/
Apina (Conselho das Aldeias Wajãpi);Referência/Partícipe;Associação de detentores;AP;Pedra Branca do Amapari;1,168229682440268   -52,836003430156126;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Reconhecimento;Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/2/
Museu do Índio/FUNAI;Referência/Partícipe;Instituição pública federal;RJ;Rio de Janeiro;-22,952019656067456   -43,191305861489866;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Reconhecimento;Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/3/
IEPE - Instituto de Pesquisa e Formação em Educação Índigena;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);AP;Macapá;0,043015696725105856   -51,0668877305691;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Publicação dos livros ""Kusiwarã"" e “Povos Indígenas no Amapá e Norte do Pará""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Oficina sobre legislação e direitos autorais||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - 3ª Reunião do Conselho Consultivo do Plano de Salvaguarda Wajãpi||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - “Exposição Transfronteiriça: Memória e Identidade dos Kali’na Tilewuyu”||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Publicação do livro ""Casa de Farinha""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Reedição Dossiê de Registro vol. 2||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Exposição ""Jane reko Mokasia""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - formação de documentarista indígena||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Biblioteca||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2007/2008 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Capacitação em pesquisa e registro||Edital PNPI 2005 - Artesãs do Maramará||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial";Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/4/
Arquidiocese de Belém;Referência/Partícipe;Instituição religiosa;PA;Belém;-1,4506370286537937   -48,485489705076475;Nenhum registro encontrado;Registrado;Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará;Celebrações;Local;Reconhecimento;Registro do Círio de Nazaré como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/5/
Obras Sociais da Paróquia de Nazaré;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PA;Belém;-1,4524603455003404   -48,48149321364275;Nenhum registro encontrado;Registrado;Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará;Celebrações;Local;Reconhecimento;Registro do Círio de Nazaré como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/6/
Associação Cultural do Samba de Roda Dalva Damiana de Freitas;Referência/Partícipe;Associação de detentores;BA;Cachoeira;-12,599321250738829   -38,96433217299062;Nenhum registro encontrado;Registrado;Samba de Roda do Recôncavo Baiano;Formas de expressão;Local;Reconhecimento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/7/
Associação Cultural Filhos de Nagô;Referência/Partícipe;Associação de detentores;BA;São Félix;-12,6086504620899   -38,97255223953788;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/8/
ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia);Referência/Partícipe;Associação de detentores;BA;Santo Amaro;-12,553240529543228   -38,70446977457248;Nenhum registro encontrado;Registrado;Samba de Roda do Recôncavo Baiano;Formas de expressão;Local;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Capacitação para elaboração de projetos e captação de recursos||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA )ʺ.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba;Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/9/
Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);BA;Cachoeira;-12,602991127239337   -38,9639781213998;Nenhum registro encontrado;Registrado;Samba de Roda do Recôncavo Baiano;Formas de expressão;Local;Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Prêmio (doação de instrumentos e tecidos)||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas;Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Registrado||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/10/
