,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
0,Sergio Britto||datilografado,Sergio Britto,,,,Memórias
1,A Noite dos Campeões||critica,,,1975,,A Noite dos Campeões
2,Society em Baby Doll,,"Elenco Marieta Severo, Cecil Thire, Aldo de Maio, Lady Hilda, Zilka Salaberry, Olga Danith e Valdemar Lima. Rodado nos estúdios da Cinedia. Elenco Ioná Magalhães, Nathalia Timberg, Sergio Britto, Italo Rossi e Andre Villon.",1965,,Sociedade em baby-doll
3,LaTraviata,,,1974,,La Traviata
4,O Beijo no Asfalto,,"Elenco: Marilena de carvalho, Renato Consorte, Sergio Britto, Italo Rossi, Mario Lago, Fernanda Montenegro, Suely Franco, Labanca, Oswaldo Loureiro, Zilka salaberry, Francisco Cuoco, Ivan Ribeiro, Suzy Arruda, Carminha Brandão e Henrique Fernandes.||Direção: Fernando Torres.",1961,,Beijo no asfalto
5,Sergio Britto,,,2011,,Falecimento de Sergio Britto
6,Textos Espetáculo||digitado,Oduvaldo Vianna Filho,,,,Longa noite de cristal
7,A Útima Gravação de Krapp||reportagem,autores diversos,,2008,veículos diversos,A última gravação de Krapp e Ato sem Palavras I
8,Arlequim||reportagem,,,1949,veículos diversos,Arlequim
9,Teatro Brasileiro de Comédia||reportagem,,,1958,,O panorama visto da ponte
10,Os Órfãos de Jânio||reportagem,Rose Esquemazi,,1980,Última Hora,Sergio Brito dirige Os Órfãos de Jânio - retrato dos anos 60 e 70
11,A Útima Gravação de Krapp||reportagem,Lelila Marco,,2008,Revista Boa Vontade número 225,Paixão e ousadia pela arte
12,CCBB,,,2009,,CCBB no Teatro
13,Sergio Britto,,,2015,,Evento Benfeitoria
14,Mambembe||reportagem,,,,,"Na cancha, Chapetuba X Madureira"
15,CAL,,no programa||no programa,2015,,Impresso das peças de formatura dos formandos do primeiro semestre de 2015
16,Il Campanello,,"Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo||Direção: Sergio Britto e Cirlei de Hollanda.",1992,,Il Campanello
17,Meu Querido Mentiroso||reportagem,,,1965,Revista do Rádio,Sergio Britto conta porque parou com a televisão
18,A História de Muitos Amores,,"Elenco Sergio Britto, Napoleão Moniz Freire, Milton Moraes, Maria Esmeralda, Isabel Tereza e Vera Gertel.||Autoria de Domingos de Oliveira, que também fez a produção e direção",1964,,A história de muitos amores
19,Lançamento Portal,,,2014,,Lan'camento Portal
20,Teatro do Estudante||reportagem,Paulo Mendonça,,1948,Estado de São Paulo,Hamlet considerações e sugestões
21,Sergio 80||reportagem,,,2003,veículos diversos,Sergio 80
22,Teatro dos Quatro||reportagem,Luiz Carlos Pedroso,,,conforme legenda,Dez anos essa noite
23,De Getúlio a Getúlio||reportagem,,,2002,notícias diversas,De Getúlio a Getúlio
24,Sergio Britto||digitado,Sergio Britto,,,,Escritos sobre a carreira
25,O Palco dos Outros||reportagem,Clara Elisabet,,1991,,Britto também vira escritor
26,Maria Della Costa||reportagem,matérias diversas,,1955,matérias diversas,A Moratória
27,Il Campanello,,"Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo||Direção: Sergio Britto e Cirlei de Hollanda.",1992,,Programa Il Campanello
28,O Suicídio||reportagem,,,1982,Última Hora,O suicído
29,Sergio Britto,,,,,Fotos do último aniversário de Sergio Britto
30,Outros||digitado,,,,,Noel Rosa vai ao teatro
31,Grupo Ponto de Partida||reportagem,,,1992,Nossa cidade,Nossa cidade homenagea um grande actor carioca
32,Outono Inverno||critica,Sergio Salvia Coelho,,,Folha de São Paulo,Atores brilham em montagem sutil
33,O Teatro e eu||datilografado | digitado,Edison Nequette,,2010,,Email festa Travessa
34,O Teatro e eu||datilografado | digitado,Danilo Santos de Miranda,,2010,,Telegrama Sesc
35,O Teatro e eu||reportagem,,,2010,Jornal do Brasil,Confidências libertadoras
36,O Teatro e eu||reportagem,,,2010,Jornal do Brasil,Bastidores da vida
37,O Teatro e eu||reportagem,,,2010,Legião da Boa Vontade,Sergio Britto lança O teatro & eu memórias
38,Corações A Ponto de Explodir||reportagem,Roberta Oliveira,,1997,,Sagrados e atualizados
39,Cafona Sim E Daí?||reportagem,,,,,Os bregas também tem seu valor
40,O Teatro e eu||reportagem,,,2010,Estado de São Paulo,Vigor e coragem em cena
41,Fábrica de iIusões||reportagem,,,1996,Jornal O Globo,Ator acha que delírio da encenação não permite que diretores valorizem o texto
42,Fábrica de iIusões||reportagem,,,1996,Jornal O Globo,Fábrica de ilusão
43,Fernanda Montenegro||reportagem,,,1990,Jornal do Brasil,Fernanda e o presidente
44,Teatro Delfim||reportagem,Daniel Stycer,,,Jornal O Globo,Sergio Britto sai na frente e reabre o Delfim
45,CAL,,,1981,,Fotos primeira tura cal
46,Textos Espetáculo||digitado,Anton Tchekov,"Elenco: Edwin Luisi, Nathália Thimberg, Sérgio Britto, Othon Bastos, José Lewgoy, Andre Valle, Clarisse Derzie, Camilo Vevilaqua, Ada Chaseliov, Emilia Rey, Virgínio Liberti, Renée de Vielmont e Nelson Dantas. Direção, tradução e cenários: Paulo Mamede. No Teatro dos 4, patrocínio da Shell. Figurinos de Mimina Roveda e iluminação de Maneco Quinderé.",1989,,O Jardim das cerejeiras
47,Amigos||reportagem,,,,,Italo Rossi
48,Os Veranistas||reportagem,,,1978,,Os veranistas
49,Sergio Britto||reportagem,Liliana Renata,,,,"Sergio Britto, um homem sem saudade"
50,Mirandolina||reportagem,,,1955,,Miralndolina
51,Cinema||reportagem,,,,,Filmes em cartaz
52,Cinema,,"Elenco: José Wilker, Taís Araújo, Léa Garcia, Sergio Malheiros e Sergio Britto||Direção Cacá Diegues",2006,,O maior amor do mundo
53,O Homem do Prrincípio ao Fim||reportagem,conforme legenda,,,conforme legenda,O homem do princípio ao fim
54,Grande Teatro Tupi||reportagem,conforme legenda,,1959,conforme legenda,O Grande Teatro
55,Sergio Britto||reportagem,Ítalo Rossi,,,,Sergio Britto por Ítalo Rossi
56,Grande Teatro Tupi||reportagem,conforme imagem,,1957,conforme imagem,Grande Teatro
57,Maria Della Costa||reportagem,conforme imagem,,1955,conforme imagem,O canto da cotovia
58,"Afinal, uma Mulher de Negócios||reportagem",conforme imagem,,1979,conforme imagem,"Afinal, uma mulher"
59,Teatro de Arena||reportagem,conforme imagem,,1954,conforme imagem,Teatro de Arena
60,Papa Higihrte||reportagem,conforme imagem,,1979,conforme imagem,Papa Highirte
61,Sergio Britto||escrito,Sergio Britto,,,,O ano teatral de 1947
62,Textos Espetáculo||digitado,de W. Shakespeare,"Elenco: Sergio Britto, Abrahão Farc, José Mayer, Luis Otávio Burner, Renato Coutinho, Shimon Nahmias, Elio Penteado, Silvio Pozzato, João Ribeiro, Jitman Vibranovski, Roberto Frota, Marcos Wainberg, Lauri Prieto, Yara Amaral, Ariclê Perez, Fernanda Torres, Ney Latorraca, Jose Mayer, Paulo Goulart, Ary Fontoura e Jose de Freitas. Direção: Celso Nunes. No Teatro Clara Nunes. Cenografia Paulo Mamede, iluminação Aurélio de Simoni e Neném.",1983,,Rei Lear
63,Outros||digitado,Plínio Marcos,Cia Artecomédia,,,Homens de Papel
64,Textos Espetáculo||digitado,Oduvaldo Vianna Filho,"Elenco: Sergio Britto, Angela Leal, Tonico Pereira, Dinorah Brilhanti, Paulo Barros, Helio Guerra, Nildo Parente, Carlos Alberto Baia e Miguel Rosemberg. Direção: Nelson Xavier. No Teatro dos 4. Cenografia Paulo Mamede e figurinos Mimina Roveda. Iluminação de Jorginho de Carvalho  e música de David Tygel. A expressão corporal e coreografia de Angel Vianna e a orientação vocal de Glorinha Beultnmuller.",1979,,Papa Highirte
65,Textos Espetáculo||digitado,de Tadeusz Rozewicz. Tradução Millor Fernandes.,"Elenco: Fabio Sabag, Othon Bastos, Suzana Faine, Tamara Taxman, Carolina Aguiar, Luciana Braga, Leonardo Bricio, Ivone Hoffmann, Tereza Bittencourt, Paolo Scandelari, Fausto Galvão e Claudio Botelho. Direção: Sergio Britto. Cenário e figurino Biza Viana. No CCBB",1990,,Casamento branco
66,Grande Teatro Tupi||reportagem,Arthur Xexéo,,,Jornal O Globo | Revista de Domingo,Quando o teatro é mais carioca
67,Textos Espetáculo||digitado,Oduvaldo Vianna Filho,"Elenco: Sergio Britto, Angela Leal, Tonico Pereira, Dinorah Brilhanti, Paulo Barros, Helio Guerra, Nildo Parente, Carlos Alberto Baia e Miguel Rosemberg. Direção: Nelson Xavier. No Teatro dos 4. Cenografia Paulo Mamede e figurinos Mimina Roveda. Iluminação de Jorginho de Carvalho  e música de David Tygel. A expressão corporal e coreografia de Angel Vianna e a orientação vocal de Glorinha Beultnmuller.",1979,,Papa Highirte
68,Textos Espetáculo||digitado,"Arthur Azevedo, Sergio Britto | Sandra Louzada","Elenco: Tonico Pereira, Nildo Parente, Ênio Santos, Neuza Borges, Nadira Campos, Ana Maria Jansen, Alberto Damit, Antonio Carlos Feio, Arehy Jr., Beto Pacheco, Claudia Ribeiro, Eduardo Torres, Ellen Brandão, Eli Mendes, Eliana Monteiro, Helena Ritter, Isabel Azevedo, Leonardo Serrano, Luciana Victor, Marco Santos, Morgana Bittencourt, Paulo Duque Estrada, Ricardo Galvão, Rodrigo Vasconcelos, Rogério Rodrigues, Ronaldo Damas, Sandra Louzada, Valéria Monã e Victor Vauban Jr. Direção: Sérgio Britto.",2005,,O cortiço
69,Textos Espetáculo||digitado,Domingos de Oliveira,Elenco: Sergio Britto. Direção: Domingos de Oliveira.,2005,,Jung e eu
70,Textos Espetáculo||digitado,,,,,Texto teatral em um ato
71,Textos Espetáculo||digitado,,,,,Texto em título
