,Assunto/ palavras-chave,Descrição,Formato,Identifier,Título
0,Coleção Teatro Selecionado,"De Hermilo Borba Filho, com organização de Leda Alves e Luis Augusto Reis. A edição em três volumes com 12 peças da produção dramática do autor, compositor e teatrólogo pernambucano Hermilo Borba Filho (1917-1976) faz parte da comemoração aos 90 anos do nascimento de um dos maiores nomes do teatro brasileiro. ||Nesta obra estão reunidas quatro peças do autor, que compreendem o período de 1944 a 1948. São elas João Sem Terra, dedicada a Paschoal Carlos Magno, o Auto da mula-de-padre e as tragédias Electra no circo e O vento do mundo.",,,Volume 1
1,Coleção Teatro Selecionado,"De Hermilo Borba Filho, com organização de Leda Alves e Luis Augusto Reis. A edição em três volumes com 12 peças da produção dramática do autor, compositor e teatrólogo pernambucano Hermilo Borba Filho (1917-1976) faz parte da comemoração aos 90 anos do nascimento de um dos maiores nomes do teatro brasileiro. ||A segunda parte reúne A barca de ouro, publicada em 1949, a peça para bonecos A cabra cabriola, publicada em 1948, o musical As Moscas, de 1960, e a comédia O cabo fanfarrão, escrita em 1961.",,,Volume 2
2,Coleção Teatro Selecionado,"De Hermilo Borba Filho, com organização de Leda Alves e Luis Augusto Reis. A edição em três volumes com 12 peças da produção dramática do autor, compositor e teatrólogo pernambucano Hermilo Borba Filho (1917-1976) faz parte da comemoração aos 90 anos do nascimento de um dos maiores nomes do teatro brasileiro. ||Este livro compreende obras escritas e publicadas nas décadas de 1960 e 1970. A donzela Joana, de 1964, sintetiza o olhar maduro sobre os caminhos a serem trilhados pelo teatro do Nordeste. No ano seguinte, Hermilo escreveu a comédia Um paroquiano inevitável, pela Imprensa Universitária do Recife e O bom samaritano, esta publicada postumamente em 1976. Este volume também reproduz a famosa Sobrados e Mocambos, publicada em 1972, que surgiu a partir de sugestões, nem sempre seguidas, de Gilberto Freyre.",,,Volume 3
3,,"Biografia do mestre do choro escrita pelo jornalista e pesquisador musical Sérgio Cabral, em 1977. Resultado de uma vasta pesquisa, o livro reúne reproduções de fotos, de trechos de partituras manuscritas e de documentos do compositor, além de uma discografia completa até o ano de 1997. A reedição da Funarte, que marca o aniversário dos 30 anos do Projeto Pixinguinha, traz ainda um índice remissivo e capa flexível.","16,5 X 23,5 cm",,"Pixinguinha, vida e obra"
4,Coletâneas de crônicas de Jota Efegê,"São quatro coletâneas de crônicas sobre música e cultura escritas pelo jornalista Jota Efegê (1902 – 1987) , entre as décadas de 1940 e 1980. O autor trabalhou em jornais de forte repercussão nacional e foi reconhecido por seus pares não só pelo compromisso com a pesquisa, mas também por ter sido testemunha ocular de alguns dos momentos mais importantes deste período da arte brasileira. Da cobertura de alguns dos principais eventos culturais do Rio de Janeiro a encontros informais com os mestres Cartola e Pixinguinha, o jornalista viveu a história que contou. “Ele era não só repórter e cronista, mas, sobretudo, um pesquisador do carnaval e das músicas do Rio de Janeiro. Sua importância é comparável à de João do Rio e Luis Edmundo”, finaliza Hermínio. Formato: 16 X 22 cm||São 144 crônicas do jornalista publicadas originalmente no Jornal do Brasil , O Globo e nos extintos Correio da Manhã e O Jornal . Histórias de um cronista profundamente identificado com o Rio de Janeiro e sua festa maior, o carnaval. Numa passagem, Jota Efegê conta que o Cordão da Bola Preta, bloco carnavalesco tradicional do Rio, foi criado para enfrentar a polícia, que em 1918 avisou que fecharia todos os cordões do carnaval.",16 X 22 cm,,Figuras e coisas do carnaval carioca
5,,"As 116 crônicas publicadas em O Globo e no extinto O Jornal contam histórias da vida cultural brasileira narradas com a propriedade de quem as conheceu de perto. Numa passagem, o autor descreve como descobriu num jornal antigo a inscrição do menino Chico Anísio num campeonato de futebol de botão. Em outra, conta porque Carmen Miranda chorou em sua estréia no teatro.",16 X 22 cm,,"Meninos, eu vi"
6,,"Panorama do que foi escrito sobre música por Jota Efegê em sua passagem pela imprensa. O volume I apresenta 113 textos originalmente publicados em O Globo e nos extintos Revista da Semana , Revista de Música Popular , Singra e O Jornal . Casos sobre Ismael Silva, Dalva de Oliveira, Blecaute, Chiquinha Gonzaga, Orlando Silva e outros grandes nomes oferecem uma leitura prazerosa para pesquisadores, curiosos e fãs da música brasileira.",16 X 22 cm,,Figuras e coisas da música popular brasileira volume I
7,,"Este segundo volume traz 152 crônicas, que foram publicadas no Jornal do Brasil e em O Globo. Em um dos textos, o autor descreve como as bandas militares contribuíram para o sucesso de Pelo telefone – já considerado o primeiro clássico do samba.",16 X 22 cm,,Figuras e coisas da música popular brasileira volume II
8,,"A Coleção Revista da Música Popular reúne fac-símiles das 14 edições da revista coordenada por Pérsio de Moraes e Lúcio Rangel, publicadas de setembro de 1954 a setembro de 1956. O livro, editado em parceria com a editora Bem-Te-Vi, tem prefácio do crítico musical Tárik de Souza.

A Revista da Música Popular reuniu, entre seus colaboradores, nomes como Ary Barroso, Guerra Peixe, Haroldo Barbosa, Haroldo Costa, Hermínio Bello de Carvalho, Jorginho Guinle, Jota Efegê, Manuel Bandeira, Mário de Andrade, Millôr Fernandes, Paulo Mendes Campos, Rubem Braga, Sérgio Porto, Vinicius de Moraes e Viriato Correia. Além disso, trazia ilustrações de Santa Rosa, Di Cavalcanti e Caribé, entre outros.

Com uma seleção desse porte, que Tárik chama de “bossa nova da imprensa musical”, a revista acabou se tornando, ao longo dos anos, item muito procurado – e pouco encontrado – nos sebos. Agora, todos os interessados na história da música e da crítica musical no Brasil têm a oportunidade de conhecer ou recordar a publicação",,,Revista da Música Popular
9,,"Paschoal Carlos Magno: Crítica teatral e outras histórias reúne 300 textos do dramaturgo, escritor e diplomata. Paschoal Carlos Magno (1906-1980) foi criador da Casa do Estudante (1929), do Teatro do Estudante (1938), da Caravana da Cultura (1964) e da Barca da Cultura (1974), e organizador, entre 1958 e 1971, de seis edições do Festival Nacional de Teatro de Estudantes.

O livro, organizado por Martinho de Carvalho e Norma Dumar, é composto, em sua maioria, de críticas publicadas por Paschoal Carlos Magno no jornal Correio da Manhã , de 1946 a 1960. Encontramos, entre os assuntos abordados, o TBC (Teatro Brasileiro de Comédia); o Teatro de Arena; as revistas populares de Walter Pinto, Zilco Ribeiro, Geysa Bôscoli e Luís Peixoto; e o grupo folclórico Brasiliana.",,,Crítica teatral e outras histórias – Paschoal Carlos Magno
10,,"Crítica de Arte no Brasil: Temáticas contemporâneas é uma coletânea de 91 textos, de 80 autores, que mapeiam o universo de opiniões e idéias que dão suporte às artes visuais produzidas no Brasil. Os textos, abrangendo um período de 60 anos (1946 a 2006), foram selecionados e organizados por Glória Ferreira, doutora em história da arte pela Sorbonne e professora da Escola de Belas Artes da UFRJ.

Entre os autores, destacam-se nomes como Mário Pedrosa, Ferreira Gullar, Aracy Amaral, Décio Pignatari, Mario Schenberg, Frederico Morais, Paulo Sérgio Duarte, Hélio Oiticica, Reynaldo Roels Junior, Murilo Mendes, Fernando Cocchiarale, Cildo Meireles, Walmir Ayala, Ronaldo Brito, Antonio Dias, Jorge Guinle, Paulo Herkenhoff, Waldemar Cordeiro, Haroldo de Campos, Roberto Pontual, Arlindo Machado, Wilson Coutinho e Joaquim Ferreira dos Santos.

O livro divide-se em sete núcleos temáticos: A tradição construtiva; Vanguarda/experimentalismo; Crítica da crítica de arte; Circuito; Retorno/permanência da pintura; Imagens e mídias; e Situações transitivas. A coletânea privilegia críticas de época de acesso limitado, que explicitam as questões em pauta, como o debate sobre a abstração, em textos de Waldemar Cordeiro e Sergio Milliet, e sobre o concretismo e o neoconcretismo, em textos de Ferreira Gullar e Décio Pignatari.",,,Crítica de Arte no Brasil: temáticas contemporâneas
11,,"Documento vital para a memória da música brasileira, este livro é um registro de seis décadas de atividade do mais importante centro produtor de música clássica do país: a Orquestra Sinfônica Brasileira (OSB), primeira grande orquestra sinfônica privada do Brasil e uma das mais antigas da América Latina. Neto do compositor Alberto Nepomuceno, Sérgio Nepomuceno relata o dia-a-dia da OSB, com os mais importantes concertos e eventos desde a sua fundação, além de revelar histórias de bastidores até então desconhecidas.",21 x 28 cm ,,Orquestra Sinfônica Brasileira – 1940-2000
12,,"Coletânea de, aproximadamente, 180 críticas teatrais de Yan Michalski escritas para o Jornal do Brasil, de 1963 a 1982, e selecionadas por uma comissão composta por Fernando Peixoto, Bárbara Heliodora, Mariângela Alves de Lima, Aldomar Conrado e Macksen Luís. Nas críticas, Yan Michalski fazia uma análise detalhada dos espetáculos, procurando contextualizá-los no momento histórico em que estavam inseridos. Ele foi uma voz sempre atuante contra a repressão, como comprovam textos como “O caso de Isolda Cresta” e “A censura, de novo”. Yan Michalski teve vários livros publicados, como O palco amordaçado (1969) e O teatro sob pressão (1985), dentre outros.",20 x 28 cm,,Reflexões sobre o Teatro Brasileiro no Século XX
13,,"O livro, que traz mais de 450 fotos de diversos autores, dos séculos XIX, XX e XXI, fazendo uma ponte entre a fase pioneira do período imperial e a fase moderna. O minucioso painel contempla também o fotojornalismo, centrando a análise especialmente nas revistas O Cruzeiro e Realidade.",21 x 28 cm ,,Fotografia no Brasil - um olhar das origens ao contemporâneo
14,,"Transcrição editada de dez palestras e debates que ocorreram entre julho e setembro de 2003. O objetivo maior do encontro foi traçar um painel detalhado das artes visuais em todo o país e dar suporte a uma política para o setor, discutindo os novos rumos da arte no Brasil.",16x23 cm,978-85-7507-153-3,Arte/Estado - Artes visuais - Palestras e debates 2003
15,Coleção Fala do Artista,"Esta série põe em foco o olhar do artista ou criador, registrando suas experiências e traçando um panorama das questões históricas e atuais. Contempla, inicialmente, três títulos: Formato: 14 x 21 cm ||Núcleo de Extensão e Pesquisa da Universidade Federal da Paraíba (UFPB), o NAC foi criado em 1978 e mantém as atividades até os dias de hoje, embora com atuação absolutamente diversa do seu período áureo, que durou até 1984. O NAC tinha como principal objetivo fazer uma abordagem contemporânea da arte e produzir acontecimentos que pudessem motivar o público e atualizá-lo com as novas produções artísticas.",14 x 21 cm,,Núcleo de Arte Contemporânea da Paraíba / NAC
16,Coleção Fala do Artista,"Esta série põe em foco o olhar do artista ou criador, registrando suas experiências e traçando um panorama das questões históricas e atuais. Contempla, inicialmente, três títulos: Formato: 14 x 21 cm ||Esta publicação agrega o Nervo Óptico e o Espaço N.O., dois coletivos de artistas que atuaram em Porto Alegre em meados da década de 1970 e início dos anos 80, reunindo documentos e registros visuais referentes aos dois eventos. A abordagem no livro se dá não apenas através de ensaios, mas, principalmente, numa “narrativa por imagens”, com descrições visuais das obras e proposições elaboradas pelos artistas do Nervo Óptico e do Espaço N.O.",14 x 21 cm,,Espaço N.O. Nervo Óptico
17,Coleção Fala do Artista,"Esta série põe em foco o olhar do artista ou criador, registrando suas experiências e traçando um panorama das questões históricas e atuais. Contempla, inicialmente, três títulos: Formato: 14 x 21 cm ||O livro é basicamente dividido em dois tópicos: “Fala, Ivan Serpa” e “Falam sobre Ivan Serpa”, traçando um valioso painel de um dos mais importantes artistas brasileiros, dono de uma obra marcada, sobretudo, por sua pluralidade e abrangência. Ivan Serpa desenvolveu uma sólida obra geométrica, com criações marcantes como Formas (1951), e passou, a partir dos anos 60, a voltar seu interesse para o expressionismo, criando, dentre outras, a Série Negra, de 1964, considerada uma obra-prima.",14 x 21 cm,,Ivan Serpa
18,Coleção Pensamento Crítico,"Aqui é o espaço dos críticos, que expõem sua visão sobre a arte contemporânea, abordando as questões estéticas e conceituais das múltiplas linguagens artísticas. Também se divide, inicialmente, em três títulos: Formato: 14 x 21 cm||Paulo Sergio Duarte é crítico, professor de história da arte e pesquisador do Centro de Estudos Sociais Aplicados/Cesap da Universidade Cândido Mendes, no Rio de Janeiro. Foi assessor-chefe do Rioarte (1983-85) e o primeiro diretor geral do Paço Imperial/Iphan, de 1986 a 1990, responsável pela sua implantação como um centro cultural. O livro reúne textos jornalísticos de Paulo Sergio Duarte, além de outros textos elaborados para catálogos, resenhas de publicações e, ainda, textos publicados apenas no exterior e, até então, inéditos no Brasil.",14 x21 cm,,Paulo Sergio Duarte – a trilha da trama e outros textos sobre arte
19,Coleção Pensamento Crítico,"Aqui é o espaço dos críticos, que expõem sua visão sobre a arte contemporânea, abordando as questões estéticas e conceituais das múltiplas linguagens artísticas. Também se divide, inicialmente, em três títulos: Formato: 14 x 21 cm||Silvana Seffrin",14x21 cm,,Frederico Morais
20,Coleção Pensamento Crítico,"Aqui é o espaço dos críticos, que expõem sua visão sobre a arte contemporânea, abordando as questões estéticas e conceituais das múltiplas linguagens artísticas. Também se divide, inicialmente, em três títulos: Formato: 14 x 21 cm||Agnaldo Farias",14x21 cm,,Iclea Cattani
21,Reedições,"Vasta pesquisa histórica e fotográfica do que foi o Teatro de Revista no Brasil, gênero inspirado no teatro ligeiro francês, que aqui se transformou em verdadeiro sucesso, retratando temas e tipos locais, com muito humor e crítica.",21 x 28 cm ,,Fora do sério
22,Reedições,"Uma “exótica, infernal e ivampirante” coleção de retratos, álbum de figurinhas carimbadas, que ilustram um pouco da fantástica aventura vivida por Ivan há mais de três décadas, observando, estudando e registrando a realidade atrás das lentes.",21 x 21 cm,,De Godard a Zé do Caixão
23,Reedições,"Uma reimpressão feita a partir da edição original de  1997, onde a autora investiga de forma inovadora a linguagem da dança brasileira nas suas diversas manifestações populares.",20 x 27cm,,Bailarino – pesquisador – intérprete – processo de formação
24,Reedições,"Publicação em fac-símile comemorativa dos 50 anos do Teatro de Arena, feita a partir da edição original de 1978. Edição de valor histórico e documental que apresenta fatos marcantes da trajetória de um dos mais destacados grupos teatrais do país, o Arena, um símbolo de resistência do teatro brasileiro.",,,Revista Dionysos: especial Teatro de Arena
