,Assunto/ palavras-chave,Data,Identifier,Título
0,Minas Gerais | Música Sacra,2020.0,978-65-5845-001-6,Coleção Música Sacra Mineira - Volume 1
1,Catálogo | Funarte,2020.0,978-65-5845-002-3,Catálogo 2020-2021: Edição comemorativa – 45 anos Funarte
2,Claudio Santoro | João Luiz Sampaio,2019.0,978-85-7507-209-7,Claudio Santoro - 100 Anos de Música
3,Benjamim Santos | Teatro | Teatro Infantil,2018.0,978-85-7507-200-4,Teatro Infantil
4,Candido Portinari | Letícia Ferro | Patrícia Porto | Suely Avellar,2018.0,978-85-7507-198-4,Poemas de Portinari
5,dramaturgia negra | Eugênio Lima | Julio Ludemir,2018.0,978-85-7507-199-1,Dramaturgia Negra
6,Martinho da Vila,2018.0,978-85-7507-197-7,"Conta forte, conta alto: contos inspirados nas canções de Martinho da Vila"
7,Bezerra da Silva | Ecio Salles | Julio Ludemir,2018.0,978-85-7507-196-0,90 Anos de Malandragem - Contos Inspirados nas Canções de Bezerra da Silva
8,,2015.0,978-85-7507-170-0,Memória a Dois
9,,2016.0,978-85-7507-174-8,TEB - O Teatro do Estudante do Brasil de Paschoal Carlos Magno
10,,2015.0,978-85-7507-173-1,Teatro Duse: O Primeiro Teatro-Laboratório de Brasil
11,,2016.0,978-85-7507-175-5,O Rio de Ernesto Nazareth
12,,2015.0,978-85-7507-171-7,Luiz Carlos Mendes Ripper: Poesia e Subversão
13,,2016.0,978-85-7507-176-2,O uso criativo de acervos fotográficos - Cad. Téc. de Conservação Fotográfica: Vol. 8
14,,2017.0,978-85-7507-193-9,Teatros multiconfiguracionais: o espaço cênico experimental como um jogo de armar
15,,2017.0,978-85-7507-189-2,Plínio Marcos – Obras Teatrais – Volume 6 - Roda de Samba / Roda dos Bichos
16,,2017.0,978-85-7507-191-5,Plínio Marcos – Obras Teatrais – Volume 5 - No reino da banalidade
17,,2017.0,978-85-7507-187-8,Plínio Marcos - Obras Teatrais - Volume 4 - Religiosidade Subversiva
18,,2017.0,978-85-7507-186-1,Plínio Marcos - Obras Teatrais - Volume 3 - Pomba Roxa
19,,2016.0,978-85-7507-184-7,Plínio Marcos - Obras Teatrais - Volume 2 - Noites Sujas
20,,2016.0,978-85-7507-183-0,Plínio Marcos - Obras Teatrais - Volume 1 - Atrás desses muros
21,,2019.0,978-85-7507-210-3,Prêmio Funarte de Dramaturgia 2018 - Infância e Juventude
22,,2019.0,978-85-7507-211-0,Prêmio Funarte de Dramaturgia 2018 — Adulto
23,,,,Catálogo Europalia – Volume 3
24,,,,Catálogo Europalia – Volume 2
25,,,,Catálogo Europalia – Volume 1
26,Artes | Aspectos políticos – Brasil | Política cultural – Brasil,2014.0,9788575071601,Políticas públicas para as artes– prática e reflexão (vol. 2)
27,"Babo, Lamartine 1904-1963 | Biografias | Brasil | Cantores",2014.0,9788575071595,Tra-la-lá: vida e obra de Lamartine Babo (3ª edição ampliada)
28,Artes – Aspectos políticos – Brasil | Política cultural – Brasil,2012.0,9788575071502,Políticas públicas para as artes — prática e reflexão (vol. 1)
29,"Arquivos pessoais – Manuais, guias, etc. | Funarte. Centro de Documentação e Pesquisa",2016.0,9788575071779,Guia de Acervos Privados Cedoc/Funarte
30,"Barros, João de, 1881-1960 | Correspondência. | Dias, Carlos Malheiro, 1875-1941 | Escritores",2012.0,9788575071526,Cartas de João do Rio a João de Barros e Carlos Malheiro Dias
31,Companhia Eugenio Salvador | Companhia Walter Pinto | Fotografias | Séc. XX | Teatro brasileiro | Teatro de Revista Brasil | Teatro de Revista Protugal,2014.0,9788575071410,Iconografia Teatral — acervos fotográficos de Walter Pinto e Eugénio Salvador
