,Título
0,466 - Falcão
1,470 - Guiomar Novaes
2,441 - Gaúcho da Fronteira
3,469 - Francisco Mignone
4,464 - Juca Chaves
5,347 - Nando Reis
6,351 - Caju e Castanha
7,321 - Carlinhos Brown
8,471 - Turíbio Santos
9,465 - Chico Anysio
10,463 - Roberto Leal
11,462 - David Nasser
12,460 - Vanusa
13,459 - Aloysio de Oliveira
14,457 - A Turma do Balão Mágico
15,456 - Trem da Alegria
16,455 - Bia Bedran
17,454 - Agepê
18,453 - Toninho Nascimento
19,449 - Ivor Lancellotti
20,447 - Roberta Miranda
21,419 - Catulo da Paixão Cearense
22,417 - José Ricardo
23,416 - Zezé Motta
24,415 - Velha Guarda da Portela
25,414 - J. B. de Carvalho
26,413 - Leila Pinheiro
27,412 - Padeirinho da Mangueira
28,411 - Tião Carreiro e Pardinho
29,377 - Benito Di Paula
30,353 - Virgínia Lane
31,195 - Monteiro Lobato
32,189 - Djavan
33,187 - Jorge Ben Jor
34,446 - Alberto Ribeiro
35,445 - Humberto Teixeira
36,444 - Guilherme de Brito
37,418 - Cláudio Jorge
38,410 - Elymar Santos
39,409 - Tantinho da Mangueira
40,407 - Nelson Freire
41,406 - Luiz Grande
42,405 - Trio Irakitan
43,403 - Toquinho
44,399 - Ederaldo Gentil
45,024 - Johhny Alf
46,398 - Daniela Mercury
47,057 - Dóris Monteiro
48,408 - Lincoln Olivetti
49,404 - Toni Platão
50,217 - Engenheiros do Hawaii
51,402 - Armandinho Macedo
52,397 - Zé Luiz do Império
53,396 -  Dona Onete
54,395 - Sandra de Sá
55,394 - Benedito Lacerda
56,393 - Maria Creuza
57,386 - Chico da Silva
58,383 - Antonio Carlos e Jocafi
59,382 - Wando
60,371 - Antônio Nássara
61,367 - Marília Batista
62,361 - Rosinha de Valença
63,355 - Bebeto
64,354 - Rolando Boldrin
65,37 - João Nogueira
66,401 - Tincoãs
67,186 - Celly Campelo
68,266 - Fundo de Quintal
69,448 - Angra
70,452 - Betinho e Seu Conjunto
71,443 - Bernardo Vilhena
72,461 - Azymtuth
73,458 - Os Trapalhões
74,451 - Dom Salvador
75,450 - Liminha
76,442 - Fausto Nilo
77,438 - Pinduca
78,112 - Chiquinha Gonzaga
79,400 - Gilberto Gil
80,436 - Banda Black Rio
81,435 - Gerson King Combo
82,434 - Cidade Negra
83,433 - Heitor dos Prazeres
84,094 - Angela Maria
85,028 - Adoniran Barbosa
86,013 - Garoto
87,004 - Antônio Maria
88,062 - Araci Cortes
89,064 - Aracy de Almeida
90,026 - Assis Valente
91,048 - Baden Powell
92,070 - Beto Guedes
93,065 - Belchior
94,041 - Billy Blanco
95,005 - Braguinha
96,007 - Candeia
97,010 - Capiba
98,029 - Carlos Cachaça
99,016 - Cartola entre amigos
100,067 - Cássia Eller
101,068 - Chico Science
102,058 - Clara Nunes
103,052 - Clementina de Jesus
104,025 - Custódio Mesquita
105,066 - Dick Farney
106,056 - Diana Pequeno
107,027 - Dolores Duran
108,043 - Dona Ivone Lara
109,035 - Dorival Caymmi
110,047 - Elizeth Cardoso
111,061 - Fernando César
112,030 - Selma Reis interpreta Gonzaguinha (ao vivo)
113,044 - Gonzaguinha
114,012 - Herivelto Martins
115,015 - Ismael Silva
116,017 - Jacaré
117,051 - Jamelão
118,096 - Silvio Caldas
119,098 - Sueli Costa
120,099 - Nora Ney
121,100 - Pixinguinha
122,104 - Zé Rodrix
123,105 - Paulo César Pinheiro
124,032 - Zé Kéti
125,106 - Elza Soares
126,107 - Rosa Passos
127,108 - Alaíde Costa
128,110 - Marcos Valle
