,Data,Descrição,Formato,Identifier,Título
0,1546018158,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,45778487834,_MG_5526
1,1546018157,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,44685141730,_MG_5483
2,1546018156,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,44685142140,_MG_5467
3,1546018155,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,44685142390,_MG_5453
4,1546018153,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501988831,_MG_5575
5,1546018152,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501989191,_MG_5564
6,1546018151,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501989581,_MG_5561
7,1546018150,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501989861,_MG_5555
8,1546018149,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501990381,_MG_5551
9,1546018148,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501990741,_MG_5550
10,1546018147,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,46501991101,_MG_5547
11,1546018147,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,32629181518,_MG_5539
12,1546018146,"Comunidades Quilombolas de goiás , recebem certificação na Fundação Cultural Palmares ",jpg,32629181928,_MG_5529
13,1545224296,,jpg,46380556881,editada 4
14,1545224295,,jpg,46380557611,editada 3
15,1545224294,,jpg,46380557801,editada 2
16,1545224294,,jpg,44563632040,Editada
17,1545224293,,jpg,44563632120,editada 10
18,1545224292,,jpg,44563632230,editada 9
19,1545224291,,jpg,44563632340,editada 7
20,1545224290,,jpg,44563632400,editada 6
21,1545224289,,jpg,44563632520,editada 5
22,1544209013,                               ,jpg,46220021241,IMG_7060
23,1544209013,                               ,jpg,45307205925,IMG_7058
24,1544209012,                               ,jpg,45307206235,IMG_7056
25,1544209011,                               ,jpg,46220023461,IMG_7055
26,1544209011,                               ,jpg,45307206595,IMG_7053
27,1544209010,                               ,jpg,45307207225,IMG_7050
28,1544209010,                               ,jpg,45307207015,IMG_7046
29,1544209010,                               ,jpg,44402921080,IMG_7041
30,1544209009,                               ,jpg,46220024301,IMG_7039
31,1544209009,                               ,jpg,45307207515,IMG_7037
32,1544209009,                               ,jpg,44402921310,IMG_7069
33,1544209008,                               ,jpg,45307207945,IMG_7065
34,1544205245,,jpg,45306464175,IMG_4782
35,1544205244,,jpg,45495467294,IMG_4781
36,1544205243,,jpg,45495467344,IMG_4780
37,1544205243,,jpg,44402233770,IMG_4779
