,Assunto/ palavras-chave,Autor,Data,Descrição,Direitos,Identifier,Título
0,06 Trabalho > 06.10 Equipamento Musical,Fábrica Pleyel,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",500,Piano||Piano Pleyel
1,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",499,Paisagem (pintura)||Casa dos Ottoni (Serro)
2,08 Insígnias,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",498,Brasão (desenho)||Brasão da família Ottoni
3,10 Comunicação > 10.1 Documento,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",497,Fotografia||Fotografia de Christiano Ottoni
4,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",496,Retrato (pintura)||Retrato de Carlota Amália Ottoni
5,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",495,Retrato (pintura)||Retrato de Teófilo Ottoni
6,08 Insígnias,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",494,Medalha comemorativa
7,08 Insígnias,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",493,Medalha comemorativa
8,08 Insígnias,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",492,Medalha comemorativa
9,08 Insígnias,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",491,Medalha comemorativa
10,08 Insígnias,,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",490,Medalha comemorativa||Medalha
11,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,Não identificado,31/12/2015,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",489,Bengala||Bengala
12,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Alfredo Ceschiatti (escultura) e Amadeo Zani (Fundição/ Metalúrgica Zani),[194-],,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",488,Estátua Alegórica (réplica)||Saracura/ Garça
13,12 Objetos Pessoais > 12.3 Artigo de Toalete,Não identificado,28/03/2011,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",487,Bacia para banho
14,12 Objetos Pessoais > 12.3 Artigo de Toalete,Não identificado,28/03/2011,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",486,Bacia para banho
15,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",485||Não encontrado,Arco de Retábulo [fragmento]
16,10 Comunicação > 10.1 Documento,Prefeitura Municipal do Serro,1959,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",484||Não encontrado,Ofício
17,10 Comunicação > 10.1 Documento,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",483||Não encontrado,Notícia de Jornal
18,10 Comunicação > 10.1 Documento,Álbum Rio Grandense (Comissão Organizadora),1905,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",482||Não encontrado,Carta de Solicitação
19,10 Comunicação > 10.1 Documento,Christiano Ottoni,1923,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",481||Não encontrado,Carta Pessoal
20,10 Comunicação > 10.1 Documento,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",480||Não encontrado,Curriculum de Jorge Benedicto Ottoni
21,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",479||Não encontrado,Apólice||Apólice  de Ações nº 1749- Companhia Mucury
22,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",478||Não encontrado,Apólice||Apólice de Ações nº 1748 - Companhia Mucury
