,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
0,Brasil > Minas Gerais,05 Interiores > 05.1 Acessório de Interiores,Não identificado,Século XIX,"Peça em madeira, pedra sabão e arame de ferro: em várias partes: Base, bojo e pino superior em madeira entalhada e policromada em preto, verde e vermelho; tufos de nuvens, anjo e flores em pedra-sabão entalhada, com pilcromia em verde e azul; galhos em arame de ferro retorcidos, soldados e fixados na base do pino..",484,Peanha
1,Brasil > Minas Gerais,04 Construção > 04.4 Fragmento de Construção||Aleijadinho | Arquitetura Religiosa | Brasil | Minas Gerais | Ouro Preto | Rococó | Século XX,Escola de Arquitetura da UFMG,Século XX > 1964,"Objeto confeccionado em gesso (cópia), representando a face frontal do púlpito da Igreja de São Francisco de Assis, em Ouro Preto (MG), de autoria de Antonio Francisco Lisboa, o Aleijadinho.",480,Púlpito (fragmento): face frontal
2,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura||Barroco | Brasil | Minas Gerais | Religião | Século XVIII,Não identificado,Século XVIII,"Peça esculpida em pedra, policromada e dourada, representando Nossa Senhora, com peanha ladeada por nuvens e motivos florais. Base circular. Destacam-se longos ramalhetes de flores elevados na ornamentação. Policromia: verde, vermelho.",451,Nossa Senhora||Nossa Senhora
3,[França?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,Jacob Petit,Século XIX,"Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Pires branco e dourado. Policromia: lilás, laranja, branco, verde e dourado.",444||621 | 622 | 623 | 624 | 625,Xícara de café [com pires]
4,[França?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,Jacob Petit,Século XIX,"Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Pires branco e dourado. Policromia: lilás, laranja, branco, verde e dourado.",443||621 | 622 | 623 | 624 | 626,Xícara de café [com pires]
5,[França?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,Jacob Petit,Século XIX,"Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Policromia: roxo, lilás, vermelho, branco e dourado.",442||621 | 622 | 623 | 625 | 626,Açucareiro
6,[França?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,Jacob Petit,Século XIX,"Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Policromia: roxo, lilás, vermelho, branco, verde e dourado.",441||621 | 622 | 624 | 625 | 626,Leiteira
7,[França?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Europa | Século XIX | Usos e Costumes | Utensílios Domésticos,Jacob Petit,Século XIX,"Objeto confeccionado em porcelana branca esmaltada, com duas reservas em motivos florais e duas faces em dourado. Alça em formato de libélula. Policromia: roxo, lilás, vermelho, branco, verde e dourado.",440||621 | 623 | 624 | 625 | 626,Bule de café
8,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro pintado, gravado e dourado, de formato cilíndrico, sem tampa, com decoração em relevo com motivos florais. Policromia: lilás, rosa, branco e dourado.",438||620,Garrafa de servir bebidas
9,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro pintado, gravado e dourado, de formato cilíndrico e fundo plano.",437||620,Copo
