,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
0,Espanha,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1999,"Peça circular metálica, cor dourada, anverso: efígie de figura masculina ao redor estrelas e escrita CERVANTES acima deste nome ESPAÑA ano de 1999; borda lisa com ranhuras de quase 1 em 1 cm; verso: do lado esquerdo mapa da Europa estilizado e no lado direito numero ""20"" abaixo dele EURO CENT.",3||MCP1100,Moeda
1,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica, cor dourada, anverso: efígie de figura masculina com óculos ao redor estrelas e ao ano de 2000; borda lisa com ranhuras de quase 1 em 1 cm; verso: do lado esquerdo mapa de europa estilizado e no lado direito numero ""20"" abaixo dele EURO CENT.",3||MCP1099,Moeda
2,Espanha,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1999,"Moeda de 10 centavos de Euro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e mapa da Europa. No anverso, inscrições e efígie de Cervantes.",3||MCP1098,Moeda
3,Espanha,03 Objetos Pecuniários,Não identificado,Não identificada||Século XXI > 2003,"Moeda de 10 centavos de Euro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e mapa da Europa. No anverso, inscrições e efígie de Cervantes.",3||MCP1097,Moeda
4,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"moeda metal prateado. Verso: mapa do brasil com ponto central (DF) e linhas retas(raios), abaixo inscrições. Anverso: efígie de fuas figuras masculinas , ladeada a esquerda por inscrição e abaixo datas estilizadas. Borda da moeda com inscrições e simbolo",3||MCP1096,Moeda||1 cruzeiro
5,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"moeda metal prateado. Verso: mapa do brasil com ponto central (DF) e linhas retas(raios), abaixo inscrições. Anverso: efígie de fuas figuras masculinas , ladeada a esquerda por inscrição e abaixo datas estilizadas. Borda da moeda com inscrições e simbolo",3||MCP1095,Moeda||1 cruzeiro
6,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1993,"Moeda de 1000 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e dístico Brasil. No anverso, inscrições e figura de dois peixes acará.",3||MCP1094,Moeda
7,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1993,"Moeda de 1000 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e dístico Brasil. No anverso, inscrições e figura de dois peixes acará.",3||MCP1093,Moeda
8,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1993,"Moeda de 1000 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e dístico Brasil. No anverso, inscrições e figura de dois peixes acará.",3||MCP1092,Moeda
9,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1992,"Moeda de 500 Cruzeiros Reais, em metal prateado, com bordo liso, contendo no verso inscrições e decorações fitomórficas. No anverso, inscrições e ilustração de tartaruga marinha.",3||MCP1091,Moeda
