,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
0,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico,Não identificado,Não identificada||Não identificada,"Sela feminina, também chamada de selim, constituída de 02 partes unidas uma à outra, feitas de couro, com motivos fitomórficos. Nas bordas desenhos de pequenas retas, na extremidade fio de corda trançado.",Não identificada,11.3.12||84.006/030.325,Sela||Silhão Carreiro
1,Não identificado,Medição/Registro/Observação/Processamento > Instrumento de Precisão/Óptico||14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Acervo Museológico||Ourivesaria,Não identificado,01/11/1953||Não identificada,"Haste horizontal, com as extremidades terminadas em forma de orifício, de onde saem os suportes para os pratos da balança. Os pratos são de forma arredondadas com 03 (três) cavidades onde estão presos os cordões que servem de suporte da haste.",José de Castro Berquó,14.1.11||84.005/030.324,Balança||Balança de Ourives
2,Não identificado,Interiores > Condicionador de Temperatura||05 Interiores > 05.2 Condicionador de Temperatura||Acervo Museológico,Não identificado,1984||Século XIX,"Peça com formato alongado, com 03 (três) divisões unidas, tendo na extremidade da base 02 suportes de madeira que servem para fazer pressão e impulsionar o ar que passa por um roliço de ferro em direção a outra extremidade em formato de cone afunilado na ponta.",Família Amorim,05.02.01||84.004/030.323,Fole||Fole
3,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,14/02/2017||Século XVIII,"Cama em madeira jacarandá, estilo D. José. Cabeceira com coroamento vasado, trabalhada com motivos fitomorfos, volutas, curvas e almofadada com algodão cru estampado com motivos fitomorfos. 04 hastes torneadas partindo dos pés e terminando com pinos torneados, onde se prendiam traves para suportar o sobrecéu. Pernas em curvas e contra curvas, pés em sapata.",Leonardo Lacerda,05.05.58||Sem registro,Cama||Cama de solteiro
4,Brasil > Tocantins,15 Embalagens/Recipientes||Galvão||Etnográfico,Índios Krahô,31/08/1995||Século XX,"Cesto (pophô) de palha trançada, formato bornaliforme, alça para pendurar, etnia krahô.",UNB/CNRC/IPHAN/DF,1503||Sem registro,Cesto
5,França > Paris,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico||Personagem | Personagens,Não identificado,01/05/2017||Século XIX,"Calça em feltro vermelho, com 02 listras em preto nas laterais. 02 botões pretos no cós frontal e 02 na parte posterior. Faixa em vermelho presa aos cós posterior e atadas nas duas extremidades por uma presilha de metal. 01 bolso, parte posterior direita, preso por botão preto. Abertura na frente com 04 botões pretos (01 faltando) e 01 presilha de metal.",João Batista de Oliveira e Silva,12.8.19||Sem registro,Calça||Farda do “Cap. Joaquim Augusto de Oliveira e Silva”
6,Brasil,Objetos Pecuniários > Objetos Pecuniários||03 Objetos Pecuniários||Acervo Museológico||Numismática,Banco Central,06/03/2017||Século XX,"Conjunto de 11 cédulas do Período Republicano, de formato retangular: 02 no valor de 1000 cruzados com estampa de Machado de Assis; 01 no valor de 100 cruzados com estampa de Juscelino Kubitschek; 03 no valor de 1000 cruzeiros com estampa do Mal. Cândido Rondon; 02 no valor de 200 cruzeiros com estampa da Princesa Isabel; 01 no valor de 10 cruzeiros com estampa de D. Pedro II; 01 no valor de 05 cruzeiros com estampa de D. Pedro I e 01 no valor de 01 cruzeiro com estampa da fachada do Banco Central.",Rone Soares,03.04||Sem registro,Cédula||Cédulas
7,Brasil > Minas Gerais,Interiores > Acessório de Interiores (Acessório de Leito)||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico,Não identificado,2012||Século XX > 1960,Colcha de algodão com estampa formando desenhos geométricos nas cores vermelha e branca.,Milena Bastos Tavares,05.01.07||Sem registro,Colcha||Colcha
8,Brasil > Goiás,Objetos Pecuniários > Objetos Pecuniários||03 Objetos Pecuniários||Acervo Museológico||Numismática,Banco Central,04/09/2001||Século XX,"Conjunto de 28 moedas do Período Imperial de 1831 a 1889 e 68 moedas do Período Republicano, 1889-1994.",Renato Franco Nunes.,03.03||Sem registro,Moedas||Moedas
9,Não identificado,Comunicação > Documento||10 Comunicação > 10.1 Documento||Acervo Museológico,Não identificado,21/01/1989||Século XX,"Duas Fotografias do general com idades diferentes, em moldura de madeira, formato retangular.",Família Rocha Lima,10.1.05||Sem registro,Fotografia||Fotografia do Gal. Anfrísio da Rocha Lima
10,Não identificado,Caça/Guerra > Arma branca de choque||01 Caça e Guerra > 01.2 Arma||Acervo Museológico,Não identificado,21/01/1989||Século XX,Espada de metal composta de lâmina e bainha.,Família Rocha Lima,01.02.15||Sem registro,Espada||Espada do Gen. Anfrísio da Rocha Lima
11,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico,Não identificado,21/01/1989||Século XX,"Montaria composta de sela, manta, cabeçada completa e apetrechos.",Família Rocha Lima,11.3.14||Sem registro,Sela||Sela “Gal. Anfrísio da Rocha Lima”
