,Data
0,24 de abril de 2019||10 de agosto de 2019
1,25 de março de 2009
2,29 de maio de 2013||15 de abril de 2016
3,15 de dezembro de 1999||20 de fevereiro de 2000
4,21 de agosto de 2013||27 de outubro de 2013
5,20 de agosto de 1997||26 de outubro de 1997
6,26 de abril de 2000||25 de junho de 2000
7,20 de outubro de 2015||24 de outubro de 2015
8,25 de abril de 2001||24 de junho de 2001
9,1 de março de 2018||24 de março de 2018
10,27 de abril de 2011||23 de junho de 2011
11,18 de dezembro de 1996||23 de março de 1997
12,18 de agosto de 1995||22 de outubro de 1995
13,24 de fevereiro de 2010||22 de abril de 2010
14,23 de janeiro de 2019||22 de fevereiro de 2019
15,17 de dezembro de 2012||21 de novembro de 2012
16,28 de abril de 1998||21 de junho de 1998
17,22 de fevereiro de 1995||21 de maio de 1995
18,22 de fevereiro de 2018||21 de abril de 2018
19,16 de abril de 2008||20 de junho de 2008
20,22 de fevereiro de 2011||20 de abril de 2011
21,16 de dezembro de 2015||20 de fevereiro de 2016
22,10 de dezembro de 2008||20 de fevereiro de 2009
23,20 de setembro de 1995||19 de novembro de 1995
24,18 de agosto de 2015||19 de outubro de 2015
25,31 de outubro de 2017||18 de novembro de 2017
26,18 de agosto de 2014||18 de outubro de 2014
27,19 de junho de 1996||18 de agosto de 1996
28,29 de novembro de 1995||18 de fevereiro de 1996
29,14 de fevereiro de 2017||18 de fevereiro de 2017
30,9 de dezembro de 2009||18 de fevereiro de 2010
31,18 de agosto de 1999||17 de outubro de 1999
32,4 de junho de 1997||17 de agosto de 1997
33,28 de abril de 2010||17 de junho de 2010
34,23 de fevereiro de 2005||17 de abril de 2005
35,4 de março de 2009||17 de abril de 2009
36,14 de novembro de 2012||17 de fevereiro de 2013
37,8 de dezembro de 2010||17 de fevereiro de 2011
38,20 de agosto de 2008||16 de outubro de 2008
39,18 de agosto de 2009||16 de outubro de 2009
40,7 de agosto de 2013||16 de agosto de 2013
41,25 de abril de 2018||16 de junho de 2018
42,24 de abril de 1996||16 de junho de 1996
43,19 de abril de 2006||16 de junho de 2006
44,22 de fevereiro de 2000||16 de abril de 2000
45,22 de fevereiro de 2006||16 de abril de 2006
46,21 de dezembro de 1994||16 de fevereiro de 1995
47,14 de dezembro de 2011||16 de fevereiro de 2012
48,18 de agosto de 1998||15 de novembro de 1998
49,30 de outubro de 1996||15 de novembro de 1996
50,18 de agosto de 2000||15 de outubro de 2000
51,29 de junho de 2000||15 de agosto de 2000
52,16 de junho de 1999||15 de agosto de 1999
53,11 de novembro de 2013||15 de fevereiro de 2014
54,22 de agosto de 2001||14 de outubro de 2001
55,18 de agosto de 2010||14 de outubro de 2010
56,25 de junho de 2008||14 de agosto de 2008
57,25 de abril de 2007||14 de junho de 2007
58,22 de fevereiro de 2002||14 de abril de 2002
59,17 de dezembro de 1997||14 de fevereiro de 1998
60,15 de abril de 2015||13 de junho de 2015
61,28 de outubro de 2015||12 de novembro de 2015
62,20 de outubro de 1999||12 de novembro de 1999
63,23 de junho de 2010||12 de agosto de 2010
64,2 de agosto de 2017||12 de agosto de 2017
65,22 de abril de 2009||12 de junho de 2009
66,22 de fevereiro de 2013||12 de maio de 2013
67,18 de agosto de 1994||12 de fevereiro de 1995
68,19 de outubro de 2005||11 de novembro de 2005
69,14 de dezembro de 2016||11 de novembro de 2017
70,29 de junho de 2011||11 de agosto de 2011
71,24 de fevereiro de 1999||11 de abril de 1999
72,18 de outubro de 2000||10 de novembro de 2000
73,18 de agosto de 2016||10 de novembro de 2016
74,5 de dezembro de 2011||10 de novembro de 2011
75,27 de junho de 2012||9 de agosto de 2012
76,20 de junho de 2007||9 de agosto de 2007
77,16 de novembro de 2017||9 de fevereiro de 2018
78,17 de junho de 2015||8 de agosto de 2015
79,22 de fevereiro de 2014||8 de maio de 2014
80,11 de outubro de 2006||7 de novembro de 2006
81,18 de agosto de 1994||7 de outubro de 1994
82,24 de junho de 2009||7 de agosto de 2009
83,24 de outubro de 2007||6 de novembro de 2007
84,23 de outubro de 2008||4 de novembro de 2008
85,28 de outubro de 2009||3 de novembro de 2009
86,20 de outubro de 2010||2 de novembro de 2010
87,24 de maio de 1995||2 de julho de 1995
88,26 de março de 1997||1 de junho de 1997
89,
90,
91,
92,
93,
94,26 de abril de 2012||13 de junho de 2012
95,
96,
97,18 de agosto de 2011||6 de outubro de 2011
98,18 de agosto de 2012||16 de setembro de 2012
99,
100,18 de novembro de 1998||14 de fevereiro de 1999
101,
102,
103,17 de maio de 2017||18 de agosto de 2018
104,17 de agosto de 2005||16 de outubro de 2005
105,22 de fevereiro de 1996||21 de abril de 1996
106,15 de maio de 2013||28 de julho de 2013
107,5 de julho de 1995||13 de agosto de 1995
108,
109,21 de junho de 2006||10 de agosto de 2006
110,19 de setembro de 2007||19 de outubro de 2007
111,22 de fevereiro de 2017||15 de abril de 2017
112,17 de julho de 2014||14 de agosto de 2014
113,3 de março de 2004||18 de abril de 2004
114,21 de agosto de 2003||19 de outubro de 2003
115,
116,22 de junho de 2005||14 de agosto de 2005
117,
118,18 de outubro de 2002||7 de novembro de 2002
119,
120,13 de dezembro de 2006||22 de fevereiro de 2007
121,23 de junho de 2004||15 de agosto de 2004
122,27 de junho de 2004||17 de agosto de 2004
123,14 de dezembro de 2005||19 de fevereiro de 2006
124,18 de fevereiro de 1998||25 de abril de 1998
125,19 de abril de 2017||24 de junho de 2017
126,23 de abril de 2003||22 de junho de 2003
127,18 de agosto de 2018||20 de abril de 2019
128,24 de abril de 2002||23 de junho de 2002
129,
130,28 de junho de 2017||12 de agosto de 2017
131,
132,18 de agosto de 2006||12 de outubro de 2006
133,12 de dezembro de 2007||20 de fevereiro de 2008
134,22 de agosto de 2002||10 de outubro de 2002
135,12 de dezembro de 2001||17 de fevereiro de 2002
136,
137,
138,
139,
140,24 de junho de 1998||16 de agosto de 1998
141,19 de outubro de 2011||1 de novembro de 2011
142,13 de dezembro de 2000||18 de fevereiro de 2001
143,
144,28 de fevereiro de 2007||19 de abril de 2007
145,27 de abril de 2005||19 de junho de 2005
146,20 de outubro de 2004||12 de novembro de 2004
147,29 de outubro de 1997||14 de novembro de 1997
148,28 de abril de 1999||13 de junho de 1999
149,18 de agosto de 2004||20 de outubro de 2004
150,21 de agosto de 1996||20 de outubro de 1996
151,
152,
153,14 de outubro de 1994||16 de novembro de 1994
154,
155,14 de dezembro de 2004||20 de fevereiro de 2005
156,
157,28 de abril de 2016
158,
159,1 de março de 2012||12 de abril de 2012
160,27 de fevereiro de 2008||10 de abril de 2008
