,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
0,Brasil,10 Comunicação > 10.1 Documento,Não identificado.,24/09/1924,Com a dedicatória a Villa-Lobos.,1980.16.002,Fotografia||Capistrano de Abreu
1,França,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.004,"Fotografia||Fachada do Hotel Bedford, onde Villa-Lobos se hospedava quando estava em Paris"
2,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.032,"Fotografia||Fachada do Hotel Bedford, onde Villa-Lobos se hospedava quando estava em Paris"
3,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.149,"Fotografia||Batizado de Maria Regina Neves d’Almeida Castro, no colo de Arailda, sua tia e irmã de Arminda"
4,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.148,"Fotografia||Villa-Lobos e Arminda na escada de um avião da Panair do Brasil, no aeroporto de Paris"
5,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.224,"Fotografia||Villa-Lobos e Annette Celine, filha da pianista Felicja Blumental."
6,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.072,"Fotografia||Arminda, Villa-Lobos e Sonia Maria Strutt"
7,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.070,"Fotografia||Villa-Lobos, Sonia Maria Strutt, Marina de Barros, seu marido o embaixador Jayme de Barros, em sua residência, e Arminda"
8,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.069,Fotografia||Villa-Lobos e Marina de Barros
9,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.068,"Fotografia||Villa-Lobos, Sônia Maria Strutt, Marina de Barros, o embaixador Jayme de Barros e Arminda"
10,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.067,"Fotografia||Villa-Lobos, Sonia Maria Strutt, Marina de Barros, carregando um bolo, e Arminda, de costas"
11,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.141.13,Fotografia
12,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.042,Fotografia||Villa-Lobos e Leopold Stokowski no City Center
13,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.005,"Fotografia||Villa-Lobos e Oscar Correia, o cônsul-geral do Brasil nos EUA, em recepção no Hotel Waldorf Astoria"
14,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.065,Fotografia||Arminda desembarcando do avião da Air France
15,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"No verso, manuscrito “diretor da Radio de Barcelona emprezario de V.L.”",2008.16.047,"Fotografia||Villa-Lobos, Arminda, diretor da Radio de Barcelona empresário de V.L., e não identificado"
16,Brasil > Botucatu (SP),10 Comunicação > 10.1 Documento,Não identificado,s. d.,Recepção ao Maestro e compositor Francisco Braga na Estação Sorocaba de Botucatu.,2009.16.017,Fotografia||Homenagem da cidade de Botucatu ao maestro e compositor Francisco Braga
17,Brasil > Botucatu (SP),10 Comunicação > 10.1 Documento,Não identificado,s. d.,"De pé: Sebastião de Matos, Joana Matos e Nelson Franklin de Matos; sentados: maestros Francisco Braga e Alfredo Franklin de Matos.",2009.16.016,Fotografia||Homenagem da cidade de Botucatu a o maestro e compositor Francisco Braga
18,Brasil > Botucatu (SP),10 Comunicação > 10.1 Documento,Não identificado,s. d.,De pé: Sebastião de Matos e Nelson Franklin de Matos; sentados: maestros Francisco Braga e Alfredo Franklin de Matos.,2009.16.015,Fotografia||Homenagem da cidade de Botucatu ao maestro e compositor Francisco Braga
19,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.044,"Fotografia||Exortação Villa-Lobos. Concentração Orfeônica com 10.000 vozes e bandas militares, no Campo de São Bento"
20,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Da dir. para esq.: Villa-Lobos (2ºabaixado), Lucília Villa-Lobos (2ª de pé), Souza Lima (7º) entre outros não identificados.",2004.16.160,Fotografia||Excursão pelo interior de São Paulo
