,Assunto/ palavras-chave,Autor,Data,Identifier,Tipo do recurso,Título
0,Oil paint,,,,,
1,Oil paint,Maria Auxiliadora Silva,1972,,óleo sobre tela,Colheita de flores
2,Oil paint,Ubi Bava,1960,,óleo sobre tela,Composição aberta nº 3 - o indefinido
3,Oil paint,Regina Vater,1972,,óleo sobre tela,Cadafalso
4,Oil paint,Vítor Meireles,1860,,óleo sobre tela,Primeira Missa no Brasil
5,Oil paint,Jean Baptiste Debret,1817,,óleo sobre tela,Estudo para Desembarque de D.Leopoldina no Brasil
6,Oil paint,Tarsila do Amaral,1923,,óleo sobre tela,Autorretrato ou Le manteau rouge
7,Oil paint,Tarsila Do Amaral,1923,,óleo sobre tela,Autorretrato ou Le manteau rouge
8,Oil paint,Belmiro de Almeida,1887,,óleo sibre tela,Arrufos
9,Oil paint,Jean Baptiste Debret,1817,,óleo sobre tela,Retrato de D. João VI
10,Oil paint,Pedro Peres,1879,,óleo sobre tela,"Elevação da cruz em Porto Seguro, BA"
11,Oil paint,Jean Baptiste Debret,1817,,óleo sobre tela,Retrato de D. João VI
12,Oil paint,Eliseu Visconti,1898,,óleo sobre tela,Gioventú
13,Oil paint,Jean Baptiste Debret,1817,,óleo sobre tela,Study for arrival of D. Leopoldina
14,Oil paint,Rodolfo Chambelland,1913,,óleo sobre tela,Baile à fantasia
15,Oil paint,Giambattista Tiepolo,1730/1770,,óleo sobre tela,São Caetano de Tiene
16,Oil paint,José Ferraz de Almeida Júnior,1882,,óleo sobre tela,Descanso do modelo
17,Oil paint,Nicolas Antoine Taunay,,,óleo sobre tela,Moisés salvo das águas
18,Oil paint,Simplício Rodrigues de Sá,1825,,óleo sobre tela,"Retrato de Antônio Luís Pereira da Cunha, marquês de Inhambupe"
19,Oil paint,Vicente do Rego Monteiro,1969,,óleo sobre aglomerado,As religiosas
20,Oil paint,Pedro Américo,1877,,óleo sobre tela,Batalha do Avaí
21,Oil paint,Nicolas Antoine Taunay,1816,,óleo sobre tela,"Entrada da baía e da cidade do Rio, a partir do terraço do convento de Santo Antonio em 1816"
22,Oil paint,José Ferraz de Almeida Júnior,1895,,óleo sobre tela,Recado difícil
23,Oil paint,Candido Portinari,1935,,óleo sobre tela,Café
24,Oil paint,RODOLFO AMOEDO,1883,,óleo sobre tela,O último tamoio
25,Oil paint,Candido Portinari,1928,,óleo sobre tela,Retrato de Olegário Mariano
26,Oil paint,Modesto Brocos,1895,,óleo sobre tela,Redenção de Cã
27,Oil paint,Pedro Alexandrino,1880/1940,,óleo sobre tela,Cesto entornado
28,Oil paint,Vítor Meireles,1885,,óleo sobre tela,
29,Oil paint,Vítor Meireles,1879,,óleo sobre tela,Batalha dos Guararapes
30,Oil paint,Jean Baptiste Debret,1790/1816,,óleo sobre tela,Morte de Germânico
31,Oil paint,José Maria de Medeiros,1884,,óleo sobre tela,Iracema
32,Oil paint,Vítor Meireles,1872,,óleo sobre cartão colado em tela,Estudo para Combate naval do Riachuelo
33,Oil paint,Rodolfo Amoedo,1884,,óleo sobre tela,A partida de Jacob
34,Oil paint,Léon Pallière,1855,,óleo sobre tela,Alegoria às artes
35,Oil paint,Félix Émile Taunay,1843,,óleo sobre tela,Vista de um mato virgem que se está reduzindo a carvão
36,Oil paint,José Malhoa,1893,,óleo sobre madeira,Gozando os rendimentos
37,Oil paint,José Malhoa,1880/1922,,óleo sobre tela,A corar a roupa
38,Oil paint,Agostinho da Mota,1860,,óleo sobre tela,Mamão e melancia
39,Oil paint,Vítor Meireles,1864,,óleo sobre tela,"Estudo para ""Questão Christie"""
40,Oil paint,Jan Boeckhorst,1634/1688,,óleo sobre tela,Pégaso
41,Oil paint,Pedro Américo,1880,,óleo sobre tela,O voto de Heloisa
42,Oil paint,"RAFFAELLINO, Giovanni Maria Botalla, Dito IL",1633/1644,,óleo sobre tela,Deucalião e Pirra
43,Oil paint,Georgina de Albuquerque,1930,,óleo sobre tela,Roceiras
44,Oil paint,Georgina de Albuquerque,1926,,óleo sobre tela,Dia de verão
45,Oil paint,Nicola Facchinetti,1884,,óleo sobre madeira,"Lagoa Rodrigo de Freitas, Rio de Janeiro, RJ"
46,Oil paint,Modesto Brocos,1892.0,,óleo sobre tela,Engenho de mandioca
47,Oil paint,Nicolas Antoine Taunay,,,óleo sobre tela,Retrato da criada Jeanneton
48,Oil paint,Vítor Meireles,1864,,óleo sobre cartão colado em madeira,"Estudo para ""Casamento da Princesa Isabel"","
49,Oil paint,João Batista da Costa,1922,,óleo sobre tela,"Sapucaieiras engalanadas, Rio de Janeiro, RJ"
