,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Título
0,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 planta; 01 foto.
||Documentação abrangendo o período de 1996 - 1997.
",,"Imóvel à Rua Monsenhor Azevedo, n° 14"
1,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","20 folhas textuais; 03 plantas.
||Documentação abrangendo o período de 2008 - 2009.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 09, Lote 04"
2,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","01 folha textual.
||Documentação referente ao ano de 2008.
",,"Imóvel à Rua Hugo Ramos, nº 36"
3,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","25 folhas textuais; 01 planta.
||Documentação abrangendo o período de 2011 - 2014.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 09, Lote 02"
4,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 04"
5,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textual; 01 foto; 01 planta.
||Documentação abrangendo o período de 1996 - 1997.
",,"Imóvel à Rua Monsenhor Azevedo, n° 08"
6,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara||textual
","08 folhas textuais.
||Documentação abrangendo o período de 2006 - 2015.
",,"Imóvel à Rua Hugo Ramos, nº 09"
7,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Igreja de Nossa Senhora do Rosário||Convento São Domingos||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 02 fotos.
||Documentação abrangendo o período de 1996 -1997.
",,Largo do Rosário
8,"Goiás, Goiás (GO)
","Autorização
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||textual
","03 folhas textuais.
||Parecer e relatório fotográfico.
",,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 11, Lote 12 e 13"
9,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 foto.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 05"
10,"Goiás, Goiás (GO)
","Identificação
||Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis||textual
","03 folhas textuais; 01 planta; 01 planta.
||Documentação abrangendo o período de 1996 -1997.
",,"Imóvel à Rua da Carioca, n° 03"
