,Assunto/ palavras-chave,Autor,Descrição,Editor,Identifier,Título
0,,"Teixeira, Raquel Dias (Org.)",32 p.,,745.52  N739  IPHAN-PA,"NO ""vão"" do urucuia : fios que entrelaçam saberes"
1,,,26  p. : il. ; 20 cm,,581.08  A173  IPHAN-ES  581.08  A173  IPHAN-PA,O acervo botânico do Sítio Roberto Burle Marx
2,,"Lima, Ricardo Gomes (org.)  Waldech Guarcia(org.)||Mascelani, Angela (org.)",64 p.,,745.5  M395a  IPHAN-PA||ISBN 8573340440,Adalton : o senhor do barro
3,,"Lima, Ricardo Gomes",28 p.,,746.8135  L732a  IPHAN-PA,Alagoas rendeira /
4,,"Barros, Clara Emilia Monteiro de",143 p.,,709  B277a  IPHAN-PA,Aldeamento de São Fidélis : o sentido do espaço na iconografia /
5,,"Oliveira, Myriam Andrade De.",134 p.,,730.98151  O48a  IPHAN-PA,O aleijadinho e o Santuário de Congonhas /
6,,"Bezerra, Aída||Costa, Renato (org.)",100 p.,,398.098115  A445  IPHAN-PA||ISBN 9788573342031,ALMANAQUE Pitinga
7,,"Rodrigues, Ana Maria||Brito, Joaquim Soeiro de (coord.)",299 p.,,720  R696a  IPHAN-PA,Amazônia felsínea
8,,Brasil. Iphan,15 p.,,370.098165  I59a  IPHAN-PA,Amigos do patrimônio : investigando São Miguel das Missões
9,,Brasil. Iphan,14 p.,,370.098161  I59a  IPHAN-PA,Amigos do patrimônio : material de apoio à ação educativa patrimonial cidade de Araraquara
10,,Instituto do Patrimônio Histórico e Artístico Nacional||Seminário Ibero-Americano de Diversidade Linguística    Detalhes (2014 :  Foz do Iguaçu),349 p. : il.,,469.798  S471  IPHAN-PA||ISBN 9788573342840,Anais / Seminário Ibero-Americano de Diversidade Linguística
11,,IPHAN||Seminário de Patrimônio Imaterial e Cultura Afro-Brasileira    Detalhes,48  p. : il. ; fotos,,363.69;  22  F  IPHAN-GO  363.69  S471  IPHAN-AP  306.0981  S471a  IPHAN-PR  363.69  S612  IPHAN-PA,"Anais do I Seminário de Patrimônio Imaterial e Cultura Afro-brasileira / Seminário de Patrimônio Imaterial e Cultura Afro-Brasileira,  (1. : 2012. : Curitiba)"
12,,Brasil. Iphan,16 p.,,344.094  I59a  IPHAN-PA,Análise crítica dos inventários : exemplo Diamantina ? MG
13,,"Gouveia, Antonio Maria Claret",104 p.,,363.377  G719a  IPHAN-PA||ISBN 9788573340372  ISBN 8573340371,Análise de risco de incêndio em sítios históricos /
14,,,188 p.,,726.098152  A539  IPHAN-PA,ANCHIETA : a restauração de um Santuário
15,,"Beserra, José Ramiro  org.",253  p. : il. ; 25 cm,,750  C331a  IPHAN-ES  750  C331a  CDP (Brasília)  750  A656  IPHAN-SC  750  A656  IPHAN-PA||ISBN 9788573343038,"Aquarelas & desenhos do Ceará oitocentista : o trabalho do José dos Reis Carvalho na Comissão Científica de Exploração (1859-1861) / Organização, José Ramiro Teles Beserra"
16,,"Paiva, Olga Gomes de  coord.",36 p.,,370.098131  P149a  IPHAN-PA,Aracati : patrimônio de todos: roteiro para a preservação do patrimônio cultural / Coordenadora - Olga Gomes de Paiva
17,,"Weissheimer, Maria Regina  org.",37 p.,,930.1  A772  IPHAN-PA,Arqueologia / [organização Maria Regina Weissheimer]
18,,"Pereira, Edithe  org.  Guapindaia, Vera (org.)",2 v.,,981.811  P436a  IPHAN-PA||ISBN 9788561377212  ISBN 9788561377229,Arqueologia Amazônica / organizado por Edithe Pereira e Vera Guapindaia
19,,"Bastos, Rossano Lopes",214 p.,,930  B327a  IPHAN-PA,Uma arqueologia dos desaparecidos : identidades vulneráveis e memórias partidas /
20,,"Najjar, Rosana",83 p. ; 24 cm,,930.10202  N162a  IPHAN-PA,Arqueologia histórica : manual / Rosana Najjar
21,,,163  p.,,902  A772  IPHAN-PA  930.1  A772a  IPHAN-AP||ISBN 9788560967001,"A arqueologia na ótica institucional : IPHAN, contrato e sociedade  Organização: Rossano Lopes Bastos ...[et al.]"
22,,"Najjar, Rosana  org.",294  p. : il. color.  23 cm,,930  N162a  IPHAN-PA  913.031  A772a  IPHAN-AP  930.981  A772  CDP (Rio de Janeiro)||ISBN 9788573347168,Arqueologia no Pelourinho  Rosana Najjar (org.)
23,,"Souza, Marise Campos de (org.)",312 p.,,930  S725a  IPHAN-PA,Arqueologia preventiva : gestão e mediação de estudos comparativos
24,,"Bury, John",256 p.,,724.19  B975a  IPHAN-PA,Arquitetura e arte no Brasil colonial /
25,,"Mindlin, Henrique E.",288 p.,,724.6081  M616  IPHAN-PA,Arquitetura moderna no Brasil /
26,,"Bicca, Briane.",367 p.,,720.981  A772  2. ed.  IPHAN-PA,Arquitetura na formação do Brasil /
27,,"Carvalho, Ayrton Et Al",164 p.,,726.50981  C331  Vol.6  IPHAN-PA,Arquitetura religiosa /
28,,"Alvim, Sandra   1951-",270 p.,,726.0981  A475  IPHAN-PA||ISBN 85-7334-007-x,Arquitetura Religiosa Colonial no Rio de Janeiro /
29,,"Bassalo, Celia Coelho",130 p.,,981  B317a  IPHAN-PA,Art Nouveau em Belém /
30,,"Lima, Lívia Ribeiro (Org.)",36 p.,,745.51  A786  IPHAN-PA,ARTE em madeira do Piauí : santos e sertões do imaginário
31,,"Costa, Maria Elisabeth de Andrade    Detalhesorg.  Figueiredo, Wilmara  org.",145 p. : il. color.,,745.5098164  P853a  IPHAN-PR  745.5898164  A786  IPHAN-AP  745.5098164  A786  IPHAN-PA||ISBN 9788573342567,"A arte eslava de Itaiópolis / Organização: Maria Elisabeth Costa, Wilmara Fiqueiredo"
32,,,140 p.,,704.03981  A786  2  IPHAN-PA||ISBN 9788573340723,ARTE Kusiwa : pintura corporal e arte gráfica wajãpi
33,,Brasil. Iphan,287 p.,,704.9480981  I59a  IPHAN-PA,Arte sacra colonial : barroco memória viva
