,Descrição
0,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
1,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
2,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
3,"A Arte Kusiwa é um sistema de representação gráfico próprio dos povos indígenas Wajãpi, do Amapá, que sintetiza seu modo particular de conhecer, conceber e agir sobre o universo. Como patrimônio imaterial, aArte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpifoi inscrita no Livro de Registro das Formas de Expressão, em 2002.No ano seguinte, recebeu da Unesco o título de Patrimônio Cultural Imaterial da Humanidade. A Terra Indígena Wajãpi- demarcada e homologada em 1996 - é uma área muito preservada, onde vivem cerca de 1,1 milindigenas, em 48 aldeias.Essa arte está vinculada à organização social, com uso adequado da terra indígena e o conhecimento tradicional. Os indígenas usam composições de padrões Kusiwa nas costas, na face e nos braços. A pintura é para todos os dias e quando os adultos se pintam, os jovens aprendema fazer composições de kusiwarã no corpo., \r\n, ,    , Os Wajãpi do Amapá constituem um grupo remanescente de um povo outrora muito mais numeroso, subdividido em vários grupos independentes e cuja população total foi estimada em cerca de 6 mil pessoas no começo do século XIX. Esta etnia tem origem em um complexo cultural maior, de tradição e língua tupi-guarani, hoje representado por diversos povos, distribuídos entre vários estados do Brasil e países adjacentes. Até o século XVII, os Wajãpi viviam ao sul do rio Amazonas, numa região próxima da área até hoje ocupada pelos Asurini, Araweté e outros, todos falantes de variantes dessa mesma família linguística., Mantém-se uma conexão historicamente importante com os grupos Wajãpi e Emerillon (ou Teko), que vivem na Guiana Francesa, e com os Zo´é, do norte do Pará, com os quais os Wajãpi do Amapá compartilham algumas tradições. Entretanto, mesmo variantes de uma mesma família linguística, nem todas as línguas faladas por esses grupos são mutuamente compreensíveis, justamente por expressarem evoluções históricas particulares com evidentes reflexos na diferenciação de suas sociocosmologias.,  - OPlano de Salvaguarda incluiu a implantação e estruturação do Centro de Formação e Documentação Wajãpi (Centro de Referêncialocalizado na Terra Indígena Wajãpi.Ações de salvaguarda executadas por meio do Projeto Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará em parceria com o Instituto de Pesquisa e Educação Indígena (Iepé):capacitação e formação de documentaristas e pesquisadores indígenas; constituição de acervo para o Centro de Formação e Documentação Wajãpi;realização de inventários participativos, produção coletiva e realização da exposição , no Museu Kuahi dos Povos Indígenas do Oiapoque;produção e impressão de publicação de autoria dos pesquisadores Wajãpi, intitulada , , dentre várias outras publicações na língua Wajãpi., , \r\n, \r\n, \r\n, \r\n, , \r\n||Arte de pintura corporal dos índios Wajapi||Arte de pintura dos índios Wajapi||O modo de vida e as tradições dos Wajãpi do Amapá diferenciam-se da maioria dos povos indígenas||Arte de pintura corporal dos índios Wajapi||A pintura é para todos os dias e quando os adultos se pintam, os jovens aprendem a fazer composições de kusiwarã no corpo||Arte de pintura corporal dos índios Wajapi||Os Wajãpi do Amapá constituem um grupo, subdividido em vários grupos independentes e cuja população total foi estimada em cerca de 6 mil pessoas||Arte de pintura corporal dos índios Wajapi||Arte de pintura dos índios Wajapi||Esta etnia tem origem em um complexo cultural maior, de tradição e língua tupi-guarani||Arte de pintura corporal dos índios Wajapi||A Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi foi inscrita, pelo Iphan, no Livro de Registro das Formas de Expressão, em 2002.||Arte de pintura corporal dos índios Wajapi||A Arte Kusiwa é um sistema de representação gráfico próprio dos povos indígenas Wajãpi, do Amapá.||Arte de pintura corporal dos índios Wajapi||Arte de pintura corporal dos índios Wajapi||Os índios Wajãpi, do Estado do Amapá, usam composições de padrões da Arte Kusiwa no corpo durante suas atividades diárias.||A pintura com urucum é um dos traços culturais do povo Wajãpi||Arte de pintura corporal dos índios Wajapi||Arte de pintura corporal dos índios Wajapi||Arte de pintura corporal dos índios Wajapi"
4,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
5,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
6,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
7,Primeira reunião técnica de Salvaguarda para Marabaixo (AP)||Primeira reunião técnica de Salvaguarda para Marabaixo (AP)||Primeira reunião técnica de Salvaguarda para Marabaixo (AP)||Levantamento do Mastro||Cortejo e Benção da Murta Seafro||Cortejo e Benção da Murta Seafro||Altar montado na sede da Associação Folclórica Marabaixo do Pavão
8,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
9,", A Cachoeira de Iauaretêou Cachoeira da Onça (Cachoeira de Iauaretê - Lugar Sagrado dos Povos Indígenas dos Rios Uaupés e Papuri)corresponde a um lugar de referência fundamental para os povos indígenas que habitam a região banhada pelos rios Uaupés e Papuri, reunidos em dez comunidades, multiculturais na maioria, compostas pelas etnias de filiação linguística Tukano Oriental, Aruake Maku. Sua inscrição no Livro de Registro dos Lugares foi realizada em 2006. Localizada na região do Alto Rio Negro, distrito de Iauaretê, município de São Gabriel da Cachoeira, no Estado do Amazonas, ela corresponde a um lugar de referência fundamental para os povos indígenas que habitam a região banhada pelos rios Uaupés e Papuri., Várias pedras, lajes, ilhas e paranás da Cachoeira simbolizam episódios de guerras, perseguições, mortes e alianças descritos nos mitos de origem e nas narrativas históricas destes povos. Locais onde ocorreram fatos marcantes relacionados à criação da humanidade e ao surgimento de suas respectivas etnias. Esses lugares remetem à criação das plantas, dos animais e de tudo o que seria necessário à vida no local e à sobrevivência dos descendentes dos primeiros ancestrais. No processo de Registro estão documentados 17 desses pontos de referência na Cachoeira de Iauaretê, testemunhos fundamentais da fixação desses grupos naquele território., Para as comunidades multiculturais locais, a Cachoeira de Iauaretê é seu lugar sagrado, onde está marcada a história de sua origem e fixação nessa região. A história do estabelecimento das relações de afinidade que vêm permitindo, até hoje, a convivência e o compartilhamento de padrões culturais entre esses diversos grupos que coabitam o mesmo território, há milênios., Apesar do multilinguismo e das diferenças culturais, as quatorze etnias presentes nessa região – Arapaso, Bará, Barasana, Desana, Karapanã, Kubeo, Makuna, Miriti-tapuya, Pira-tapuya, Siriano, Tariana, Tukano, Tuyuka e Wanano – estãoarticuladas em uma rede de trocas e identificadas no que diz respeito à cultura material, à organização social e à visão de mundo. Todos esses índios, somados, representam mais de 30 mil moradores vivendo em povoados e sítios distribuídos entre os rios da região e nos dois núcleos urbanos ali existentes: São Gabriel da Cachoeira, o principal centro administrativo e econômico, e Santa Isabel do Rio Negro., , \r\n, \r\n, \r\n, \r\n||Cachoeira Iauaretê é um dos lugares sagrados para os povos indígenas dos rios Uaupés e Papuri"
