,Abrangência/ Cobertura,Descrição,Título
0,Acre,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||As pesquisas arqueológicas realizadas no Estado do Acre demonstram que a ocupação indígena na região é milenar. No, ,, estão 253 sítios arqueológicos cadastrados pelo Iphan. Destes, muitos são considerados raros no mundo visto serem estruturas de terra perfeitamente geométricas que ocupam extensas áreas a maioria delas desmatadas. Tais registros arqueológicos são conhecidos como geoglifos, com predominância de formas quadradas e circularesa. Um grande desafio é a gestão desses sítios, alguns cortados por estradas., \r\n, \r\nEsses sítios do tipo geoglifo (também conhecidos como sítios com estruturas de terra), devido a sua monumentalidade, excepcionalidade, diversidade morfológica e à sua profusão por um vasto território, cujos significados e funcionalidades ainda são cientificamente desconhecidos. Sua extensão territorial engloba boa parte da Bacia do Alto Rio Purus e avança para os estados do Amazonas e de Rondônia, e para a vizinha Bolívia.Em 2010, o Iphan abriu e iniciou a instrução do processo de tombamento desses sítios em parceriacom a Universidade Federal do Pará (UFPA)., \r\n, \r\nApublicação , , lançadopelo Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) e Governo do Acre, apresenta inúmeras imagens edetalhes desses sítios arqueológicos.,||Geoglifo encontrado no Acre, na Fazenda Paraná.||Geoglifo José Maiste, no Acre.||Geoglifo encontrado no Acre, na Fazenda Paraná.",Patrimônio Arqueológico - AC
1,Amapá,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||O Amapá possui um vasto e diversificado patrimônio arqueológico, que vem sendo explorado desde o final do século XIX, quando, em 1895, foram encontrados pela expedição do naturalista Emílio Goeldi sítios arqueológicos com artefatos cerâmicos depositados em poços funerários. A partir daí, ocorreram pesquisas de forma esporádica, destacando-se a realizada por Aureliano Lima Guedes no setor estuarino do Amapá e a passagem de Curt Nimuendajú, na década de 1920, pela costa norte do Estado. Em 1957, o casal Meggers e Evans trabalhou na região, introduzindo a moderna arqueologia histórico-culturalista no nordeste amazônico., Pesquisas arqueológicas mais recentes têm conferido uma significativa visibilidade ao patrimônio arqueológico do Estado. Os resultados demonstram que ocupações antigas se deram por populações heterogêneas que apresentavam uma diversidade cultural bem marcada, como pode ser observado nas cerâmicas e urnas funerárias de Maracá, nos megalitos de Calçoene, na presença da fase Koriobo, ou ainda nas cerâmicas Marajoara encontradas no Estado.Existem sítios arqueológicos registrados em todos os municípios do Amapá, e esse patrimônio apresenta grande diversidade.||Sítio Arqueológico de Calçoene (AP)||Monolitos que formam o Sítio Arqueológico de Calçoene (AP) com provável função ritualísitca e de observação astronômica||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Megalitos associados a cerimoniais indígenas, no Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Monolitos que formam o Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||Sítio Arqueológico de Calçoene (AP)||O Sítio Arqueológico de Calçoene (AP) é caracterizado por possuir círculos megalíticos",Patrimônio Arqueológico - AP
2,Amazonas,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||O Iphan cadastrou 317 sítios arqueológicos, até 2014, noEstado do Amazonasrados. O número é considerado baixo face às dimensões territoriais do Estado. Na primeira década de 2000, o Iphan desenvolveu o Projeto de Levantamento Arqueológico do Município de Manaus e o mapeamento e o georreferenciamento de 11 municípios do Baixo Amazonas. Investiu, também, em um banco de projetos e na socialização de sítios, como o Sítio Arqueológico Hatahara, no município de Iranduba. As parcerias locais e a atenção permanente da Superintendência têm permitido, ainda, o aumento do cadastramento de novos sítios arqueológicos e ações mitigadoras de impacto.Em Manaus, estão expostas no Museu da Cidade (Salão de Arqueologia) o resultado de escavações e urnas funerárias encontradas na cidade, além dos fragmentos arqueológicos encontrados no Paço da Liberdade e seu entorno. , O patrimônio arqueológico do Amazonas caracteriza-se pela grande incidência de sítios, compondo um mapa patrimonial marcado pela grande densidade e variabilidade nos seus registros arqueológicos. Sabe-se que as ocupações amazônicas remontam a, aproximadamente, 8.000 anos antes do presente e que entre 3.000 e 2.000 anos atrás surgiramsítios que apresentam grandes extensões da chamada “terra preta de índio”, onde podem ser encontrados artefatos cerâmicos de rara beleza indicando que sociedades complexas estavam se desenvolvendo na região.||Urna funerária encontrada em escavações, no Paço Municipal, em Manaus (AM)||Urna funerária encontrada em escavações, no Paço Municipal, em Manaus (AM)||Urna funerária encontrada em escavações, no Paço Municipal, em Manaus (AM)||Urna funerária encontrada em escavações, no Paço Municipal, em Manaus (AM)",Patrimônio Arqueológico - AM
3,Pará,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||, O grande número de obras de infraestrutura em andamento no Brasil, nos últimos anos, ampliou o número de descobertas de novos sítios arqueológicos e determinou prioridade para seu cadastramento. A tarefa viabilizou-se por meio de parcerias com instituições de pesquisa, como o Museu Paraense Emílio Goeldi e a Universidade Federal do Pará (UFPA). Até dezembro de 2014, o Estado do Pará possuía 1.827 sítios cadastrados.||Acervo Iphan",Patrimônio Arqueológico - PA
4,Rondônia,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||O Iphan cadastrou 403 sítios arqueológicos, no Estado de Rondônia, até dezembro de 2014. O vasto legado arqueológico encontrado comprova que a ocupação portuguesa registrada, a partir do século XVII, impactou fortemente os grupos indígenas que povoavam essa região., Em 2012, o Instituto aprovou a retirada de 16 blocos rochosos contendo arte rupestre do tipo gravura, da Usina Hidrelétrica de Jirau (UHE), que passaram a pertencer ao acervo do museu a céu aberto criado no distrito de Nova Mutum, em Porto Velho (RO). Os blocos representam uma amostragem da arte rupestre amazônica e, expostos de forma musealizada, alcançarão uma gama infindável de turistas e pesquisadores. Os interessados terão a possibilidade de visualizaras gravuras por meio de modelagens e reconstituições virtuais.||Oficina lítica encontrada no Sítio Arqueológico Mirante (distrito de Nova Riachuelo em Presidente Médici) indica uso de instrumentos||Arte rupestre em baixo relevo no Sítio Arqueológico Mirante (distrito de Nova Riachuelo em Presidente Médici)||Arte rupestre no Sítio Arqueológico Mirante, localizado em Nova Riachuelo - distrito do município de Presidente Médici",Patrimônio Arqueológico - RO
5,Roraima,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||O Iphan cadastrou mais de 80 sítios arqueológicos, no Estado de Roraima, localizados durante pesquisas realizadas nas décadas de 1970 e 1980. Entre eles, estão muitos sítios rupestres, oficinas líticas e sítios lito-cerâmicos. Inúmeras pinturas rupestres foram encontradas em um sitio arqueológico localizado no município de São Luiz do Anauá, além de outros desenhos localizados nos sítios das reservas indígenas São Marcos e Raposa Serra do Sol., \r\n, \r\nEm 2014, o Instituto tombou as ruínas do Forte de São Joaquim do Rio Branco, inscrevendo-as nos livros do Tombo Histórico e do Tombo Arqueológico, Etnográfico e Paisagístico. O Forte foi construído no século XVIII para impedir a entrada de invasores espanhóis e holandeses, na região.,",Patrimônio Arqueológico - RR
6,Tocantins,"O Norte do Brasil tem um total de 4.000 sítios arqueológicos cadastrados. Rico em gravuras, pinturas rupestres e petroglifos (inscrições lapidadas em pedra), a região possui, por exemplo, sítios líticos a céu aberto em Tocantins, o monumental sítio megalítico de Calçoene, no Amapá, e sítios com extensas estruturas geométricas no Acre, considerados raros no mundo. ||O patrimônio arqueológico do Estado possui grande potencial, com 862 sítios arqueológicos cadastrados, até 2014. Os sítios líticos a céu aberto são encontrados nas regiões mais afastadas do rio Tocantins. Nas barrancas do leito do rio foram localizadasgravuras rupestres e material lítico lascado, enquanto nas praias e ilhas estão oficinas líticas, sítios cerâmicos a céu aberto, e sítios com arte rupestre nas regiões de elevações calcárias., Destacam-se, dentre o patrimônio arqueológico tocantinense, os sítios da região do Jalapão, no leste do Estado, e da região de Lageado, onde existemsignificativos sítios rupestres. As ocupações humanas naquelas áreas recuam até 12.000 anos antes do presente e formaram sítios arqueológicos durante toda a pré-história, até o contato com os colonizadores europeus. Também podem ser encontradas estruturas relacionadas à arqueologia do período histórico, significativas da ocupação dessa área de contato da Floresta Amazônica com aquelas do Brasil Central, o bioma Cerrado.||Sítio arqueológico em Tocantins||Os afloramentos líticos em Tocantins apresentam, muitas vezes, pinturas rupestres||Sítio arqueológico Vão do Caititu em Tocantins",Patrimônio Arqueológico - TO
7,Alagoas,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||Alagoas possui um rico acervo arqueológico com vestígios de ocupação humana de mais de oito mil anos. Sobressaem-se os sítios líticos e cerâmicos, e de pintura rupestre. Entre eles, estão os grafismos rupestres da região ribeirinha do rio São Francisco. Nos matacões e abrigos sob as rochas do São Francisco, são encontrados painéis que intercalam elementos gráficos de diferentes tradições rupestres. Destacam-se, também, as diversas oficinas líticas presentes no Estado, atestando uma importante diversidade comportamental pré-histórica., O patrimônio arqueológico apresenta alta incidência de sítios contendo componentes de cemitérios, indígenas representados pela grande quantidade de urnas funerárias frequentemente encontradas, as chamadas “igaçabas”, especialmente na região do Agreste Alagoano. Nesta região, vêm sendo identificados vários sítios arqueológicos especialmente nos municípios de Arapiraca, Anadia e Limoeiro de Anadia.||A Serra da Barriga (AL) é um bem que representa a história fundadora de territórios e memórias sociais coletivas||Quilombo na Serra da Barriga (AL)||A Serra da Barriga (AL) é o local referencial para as práticas de referências culturais relacionada à ancestralidade cultural africana e afrodescendente||Quilombo na Serra da Barriga (AL)||Palmares representou a resistência ao modelo colonial vigente durante determinado período da história Mundial, marco presente na história da Serra da Barriga (AL)||Serra da Barriga (AL)||Serra da Barriga (AL)||A diáspora de Palmares representou a formação da sociedade alagoana e brasileira, fato importante que é relembrado no Dia da Consciência Negra, comemorado em 20 de novembro||A Serra da Barriga (AL), símbolo do principal mocambo do Quilombo dos Palmares, localiza-se junto às Matas Atlânticas próximas ao litoral do nordeste brasileiro||Uma parte da Serra da Barriga (AL) se encontra no município de União dos Palmares, em Alagoas||Na Serra da Barriga (AL) os ancestrais africanos também se manifestam nas formas imateriais da suas religiões||A Fundação Cultural Palmares, vinculada ao Ministério da Cultura, administra a Serra da Barriga (AL)||Os espaços da Serra da Barriga (AL) fazem parte da memória e da cultura dos afrodescendentes||O local da Serra da Barriga (AL) é um testemunho material dos processos de ocupação humana representando um dos mais importantes povoados do Quilombo de Palmares||A Serra da Barriga (AL) é identificada como local simbólico e referencial às práticas religiosas africanas||A Serra da Barriga (AL) demonstra a capacidade criativa dos africanos escravizados ao recriar uma sociedade oposta à do colonizador, com elementos trazidos da África||Sistema eletrônico  de informções do Parque Memoria Quilombo do Palmares||Vista do mirante da Serra da Barriga, em Alagoas||Vista do mirante da Serra da Barriga (AL)||Parque Memorial Quilombo dos Palmares, em Alagoas||Parque Memorial Quilombo dos Palmares, em Alagoas||O Parque é um local para a prática de religiões de matrizes africanas||O Parque é um local para a prática de religiões de matrizes africanas||O Parque é um local para a prática de religiões de matrizes africanas||Capoeira no  Parque Memorial Quilombo dos Palmares (AL)||Capoeira no  Parque Memorial Quilombo dos Palmares||Detalhe no Parque Memorial Quilombo dos Palmares||Parque Memorial Quilombo dos Palmares (AL)||O Parque é um local para a prática de religiões de matrizes africanas||O Parque é um local para a prática de religiões de matrizes africanas||O Parque é um local para a prática de religiões de matrizes africanas",Patrimônio Arqueológico - AL
8,Bahia,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||A Bahia possui uma grande diversidade de sítios arqueológicos, com mais de 875 sítios cadastrados pelo Iphan, até 2014. A maioria deles é pré-colonial com numerosas ocorrências de inscrições rupestres, sobretudo na Chapada da Diamantina, onde está a maior concentração dos sítios identificados e estudados. O Iphan, em parceria com os governos estadual e municipais, promoveu o Programa de Identificação, Proteção e Gestão de Sítios Arqueológicos de Arte Rupestre da Chapada Diamantina, para identificar, mapear e avaliar o estado de conservação dos sítios rupestres do território baiano., Esse patrimônio arqueológico encontra-se disperso por quase todo o Estado, destacando-se em algumas regiões como a Bacia do Rio São Francisco, áreas dos biomas Caatinga e Cerrado, além do litoral. Os sítios cerâmicos são recorrentes ao longo do Baixo-Médio São Francisco, no Recôncavo Sul, na Serra Geral e em Irecê. O Núcleo de Arqueologia da Superintendência as ações de preservação, divulgação e fiscalização desses bens culturais.",Patrimônio Arqueológico - BA
9,Ceará,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||O Ceará tem grande potencial arqueológico e contava 528 sítios cadastrados até dezembro de 2014. Há uma significativa ocorrência de sítios arqueológicos pré-coloniais, com uma grande quantidade de sítios cerâmicos e líticos, além de notável presença de grafismos rupestres. Dentre as áreas de interesse arqueológico, destacam-se os sítios litorâneos com vestígios históricos e pré-coloniais, identificados nas proximidades de rios como o Jaguaribe e o Acaraú. Nas regiões do centro-norte do Estado (Forquilha, Sobral e Iraçuba), a região de Cariri (Crato e Nova Olinda) e o sertão central (Quixadá e Quixeramobim), destacam-se algumas manifestações rupestres que foram objeto de estudos acadêmicos., Nos municípios de Tauá, Arneiroz e Morada Nova, foram identificados numerosos sítios líticos formados por grupos caçadores-coletores, enquanto no município de Mauriti, na porção leste do Cariri, foram localizadas aldeias ceramistas, com destaque para a aldeia Tupi-Guarani Anauá, datada do século XIV. Parte significativa dos sítios arqueológicos do Estado foi descoberta em projetos de licenciamento arqueológico, fato que alertou para o potencial das pesquisas preventivas na região. O Iphan tem investido em projetos de etnoarqueologia, na identificação e no registro de coleções particulares de bens arqueológicos. , \r\n, \r\nO Iphan financiou, em 2012, escavações arqueológicas na comunidade da Serra do Evaristo, localizada no município de Baturité (área do Maciço do Baturité). Umconjunto de urnas funeráriasencontradoparcialmente nasuperfíciemotivou a pesquisa e o projeto de escavação do sítio funerário para atenderà comunidade quilombola da Serra do Evaristo, certificada pela Fundação Palmares. A importância social e o significativo potencial informativo desse enclave arqueológico da Serra do Evaristo atraíram interessados em parcerias futuras para continuidade da pesquisa, como a Universidade da Integração Internacional da Lusofonia Afro-Brasileira (Unilab), que atua na região desseMaciço.||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)||Sítio Arqueológico Nova Olinda  - Nova Olinda (CE)",Patrimônio Arqueológico - CE
