,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
0,"Bahia||Santa Cruz Cabrália||-55,61909133||Nacional||Local||Local||Local||Nacional||Local||Nacional||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Formas de expressão||Celebrações||Formas de expressão||Lugares||Celebrações||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Celebrações||Formas de expressão||Celebrações||Lugares||Lugares||Saberes||Saberes||Saberes||Lugares||Saberes||Saberes||Saberes||Lugares||Não informado,2000||mar/00,Identificação,Festa de Nossa Senhora D'Ajuda||Carpintaria Artística||Festa de São Sebastião||Samba de Couro||Quadrado||Festa do Divino Espírito Santo de Porto Seguro||Monte Pascoal||Boi Duro||Grupo Carnavalesco Dança dos Negros Africanos||Filarmônica||Festa de Nossa Senhora da Conceição||Chegança||Semana Santa||Passarela do Álcool||Coroa Vermelha||Carpintaria Naval.||Decoração de Andores||Pesca Tradicional||Igreja de Nossa Senhora D'Ajuda||Reza e Benzimento||Canoeiro||Cerâmica||Farol
1,"Bahia||Salvador||-51,48940686||Nacional||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Lugares||Não informado,05/11/2002||14/01/2005,Reconhecimento,Ofício das Baianas de Acarajé||Tabuleiro da Baiana
2,"Bahia||Salvador||-51,48948609||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Não informado,2001||mar/05,Identificação,Tabuleiro da Baiana
3,"Bahia||Salvador||-51,48046505||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,Não informado||nov/05,Identificação,Festa de Santa Bárbara
4,"Distrito Federal||Brasília||-63,74052099||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Celebrações||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Não informado,Não informado||2010,Identificação,Festa das Iyábás||Saída de feitura da Mãe-de-Santo||Saída de Muzenza||Saída de Iyawô||Umbanda - Templo do Sol Nascente da 13a Hierarquia Umbandística||Terecô - Sociedade Beneficente Légua Bojí Buá||Candomblé Ketu - Axé Bamboxê - Pilão de Prata - Ilê Axé Ida Wurá||Candomblé Ketu - Axé Opó Afonjá Ilê Oxum||Candomblé angola -Nzu kia Angurucemavuli Filhos do Bate-Folhinha||Umbanda - Ordem Iniciática Cruzeiro Divino OICD Sub-sede do DF||Candomblé Ketu - Ilê Axé Bará Legí||Culto Ifá - Ilê Alaketú Axé Ogum Tundjé||Candomblé Ketu - Axé Casa Branca - Sociedade de São Miguel Arcanjo - Egbé Oni Gbadamô||Candomblé Omolokô - Casa de Omolokô Obanungá||Jejê-Mahin - Corte Fon Daometana Kuê Hô Seji Olissa||Candomblé Ketu - Ilê Axé Oní Bo Ara Ikó||Candomblé Angola - Tumba Junsara - Yumbo Nzo Jimona Nzambi
5,"Espírito Santo||Vitória||-60,57623897||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Saberes||Não informado,mar/01||20/12/2002,Reconhecimento,Ofício das Paneleiras de Goiabeiras||Fabricação das panelas de barro de Goiabeiras
6,"Espírito Santo||São Mateus||-58,51538066||Estadual||Estadual||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Saberes||Não informado,Não informado||2009,Identificação,Baile dos Congos de São Benedito / Ticumbi||Reis de Boi||Casas de Farinha (produção de Farinha e Beiju)
7,"Goiás||Pirenópolis||-64,81390636||Local||Nacional||Estadual||Local||Nacional||Local||Local||Estadual||Local||Estadual||Estadual||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nacional||Nacional||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Celebrações||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Lugares||Lugares||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Formas de expressão||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Celebrações||Celebrações||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Celebrações||Saberes||Saberes||Saberes||Saberes||Saberes||Lugares||Saberes||Saberes||Formas de expressão||Não informado,26/01/2009||13/05/2010,Reconhecimento,"Cavalhadinha||Folias do Divino Espírito Santo||Império do Divino Espírito Santo||Reinado||Cavalhadas.||Mascarados||As Pastorinhas||Campo das Cavalhadas||Casa do Imperador||Largo do Bonfim||Largo da Matriz||Altares||Alvoradas||As Artes do Divino de Pirenópolis – Exposição||Bandeiras do Divino||Beira Rio (Rio das Almas)||Benção das Bandeiras||Camarotes||Cavaleiros das Cavalhadas||Cozinha da Casa do Imperador||Coral Nossa Senhora do Rosário||Coroa do Divino||Cortejos Diversos||Cruzeiro de tronco de bananeira||Ensaio dos Cavaleiros||Entrega da Coroa||Entrega das Lanças||Farofadas||Fogueiras||Hino do Divino||Irmandade de Nossa Senhora do Rosário||Irmandade de São Benedito||Irmandade do Santíssimo Sacramento||Levantamento do(s) Mastro(s)||Missa do Divino||Novena do Divino||Operetas (Drama)||Procissão do Divino||Queima||Sorteio do Imperador||Terço dos Cavaleiros||Tiro de Toco ou Roqueira||Festa do Divino Espírito Santo de Pirenópolis, no Estado de Goiás||Adereços de Montaria||Armeiro||Fogueteiro||Máscaras||Produção de Pólvora||Theatro de Pyrenopolis||Verônicas||Vestimentas dos Cavaleiros||Escola e Banda de Música Phoênix do Mestre Propício"
8,"Maranhão||Alcântara||-46,80271989||Local||Local||Nacional||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Formas de expressão||Formas de expressão||Celebrações||Lugares||Lugares||Lugares||Lugares||Lugares||Celebrações||Celebrações||Celebrações||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Não informado,2008||2009,Identificação,Festa de São Benedito de Alcântara||Caixeira||Tambor de Mina||Festa de Santa Tereza D'Ávila||Poço da Chora||Igarapé do Encantado||Paredão||Pedra de Itacolomi||Pedra Santa||Festa de Santa Maria e São Benedito||Festa de São Benedito (Sede)||Festa do Divino Espírito Santo de Alcântara||Carpintaria Naval (Alcântara)||Fabricação de Redes de Dormir||Artesanato de Cerâmica||Manejo de Ostras||Preparo do Chocolate||Doce de Espécie||Confecção de Roupa de Santo||Fabricação de Licor
9,"Minas Gerais||Patos de Minas||-65,11380786||Local||Local||Local||Local||Local||MG||Alvorada de Minas, Cruzeiro da Fortaleza, Guimarânia, Lagoa Formosa, Patos de Minas, Santo Antônio do Itambé, Serra Azul de Minas, Varjão de Minas",Saberes||Saberes||Saberes||Saberes||Saberes||Não informado,30/08/2001||13/06/2008,Reconhecimento,"Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de fazer do Queijo Artesanal tipo Canastra||Modo de fazer do Queijo Artesanal tipo Alto Paranaíba||Modo de fazer do Queijo Artesanal tipo Serra do Salitre||Modo de Fazer do Queijo Artesanal de Minas (Serro)"
