,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Título
0,"Nacional||Bahia||Porto Seguro||-16,48949286848438   -39,07281213574133||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Esta é a mais importante celebração no distrito de Arraial D’Ajuda, dedicada à sua padroeira. Ela ocorre anualmente dia 15 de agosto. É organizada pelos fiéis que participam da comunidade da Igreja e pelos missionários redentoristas, responsáveis pela paróquia. Compõe a celebração novena, missas, romaria, procissão e uma intensa movimentação no comércio, principalmente nos negócios realizados na feira que ocupa o Parque Central. Participam da festa romeiros vindos de diversas localidades da Bahia e de outros estados brasileiros (principalmente Minas Gerais e Espírito Santo), fiéis da Igreja, comerciantes, índios pataxós e turistas.
Destaca-se a romaria como uma das características principais desta festa, diferenciando-a de outras celebrações religiosas da localidade e da região. Além de fazer parte da própria história da celebração, a romaria é fundamental para entender a formação da localidade e a sua consagração como o mais antigo santuário católico nacional. Por esse motivo, desde 1999 missionários Redentoristas, especialistas em coordenação de santuários, chegaram ao Arraial, ocupando-se da organização de todas as atividades da Igreja inclusive desta festa.
As festividades iniciam-se no dia 6 de agosto, quando começam as novenas na Igreja de Nossa Senhora d’Ajuda. Cada dia de novena é dedicado a um tema que enfoca a figura de Maria, mãe de Jesus. A novena termina dia 14 agosto. Logo pela manhã, às 6h30 há o canto do ofício de Nossa Senhora; às 13h missa e abertura para confissão; às 15h a celebração das bençãos; às 19h ora-se o terço e canta-se uma ladainha em louvor à santa, e por fim, às 19h30 celebra-se a Santa Missa solene. Os romeiros vão chegando durante o período da novena. Muitos deles trazem objetos (ex-votos) como quadros com fotografias, desenhos e cartas; roupas, brinquedos e partes de bonecos de cera e de plástico como agradecimento à graças concedidas pela Santa. Os ex-votos são colocados na sala dos milagres, localizada dentro da Igreja.
O programa do dia da festa se inicia com a comemoração da alvorada às 5h; missa campal às 6h; batizados às 8h; missa solene às 10h, louvor às 14h; procissão às 15h e, em seguida benção das águas e objetos trazidos pelos fiéis, que é um momento particularmente comovente da celebração, e missa campal. Às  19h30 há missa da comunidade.
O ápice das comemorações é a procissão. Ela sai da Igreja, levando o andor com a imagem maior de Nossa Senhora d’Ajuda. Passa pelo lado direito da Praça da Matriz, percorre a rua do Parque Central, entra na rua São João Lapinha, passa pela Praça do Cemitério, atravessa a rua da Bróduei e passa pelo lado esquerdo da Praça da Matriz e finaliza com a missa campal e a benção na frente da Igreja.",INRC - Museu Aberto do Descobrimento
1,"Local||Bahia||Porto Seguro||-16,491889859402686   -39,075258310361754||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Trabalho de confecção de móveis e objetos de decoração a partir de sobras de madeiras encontradas nas mata da localidade. Há seleção da madeira, feita a partir do aprendizado do executante com um carpinteiro tradicional da região, limpeza e preparação da mesma. Em seguida o executante desenha a peça moldando o design à forma natural do pedaço da madeira escolhido.
O resultado são peças trabalhadas artesanalmente, com valorização estética dos encaixes entre as partes da madeira roliça utilizadas para montagem dos objetos. A proposta é de um desenho exclusivo e estilo “rústico com bom acabamento”. As peças vão desde móveis como cadeira, mesa, criado-mudo até objetos de decoração, como candelabros, porta retratos, cabideiros, tulipas, etc. Muitos desses objetos também recebem tratamento em pintura.
As peças são confeccionadas em uma oficina montada nos fundos de sua casa e expostas em um show-room que se situa na parte da frente da casa.",INRC - Museu Aberto do Descobrimento
2,"Local||Bahia||Porto Seguro||-16,59325121726719   -39,09779958945644||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"A Festa de São Sebastião é uma das celebrações religiosas mais importantes de Trancoso. Ocorre anualmente no dia 20 de janeiro. Ela é organizada por um ou mais festeiros, escolhidos no dia São Sebastião de um ano para o outro, sendo, pelo menos um deles, membro da comunidade nativa do lugar. Além disso, faz parte da tradição que um dos festeiros more ou tenha acesso a uma casa no Quadrado, que é onde ocorrem – ou de onde partem – as principais atividades programadas. A celebração inclui reunião festiva com cantos e danças executadas por um grupo de samba de couro, puxada de mastro, almoço, procissão, levantamento do mastro, dança do pau e missa. Os detalhes da festa variam a cada ano, mas um conjunto de características são mais permanentes. A seguir, descreve-se a festa realizada por ocasião do Inventário.
Os preparativos são desenvolvidos de um ano para o outro. Duas semanas antes da festa, a bandeira e o mastro foram preparados e pintados, com a participação da comunidade. O mastro é guardado longe do Quadrado até o dia da puxada, quando é levado por um cortejo para a frente da igreja. Dia 19 de janeiro, na véspera de São Sebastião, as flores de papel para os andores foram confeccionadas na casa de um dos festeiros. Bandeirinhas e correntes coloridas de papel, cartazes e a bandeira de São Sebastião foram utilizados para enfeitar a casa, que usualmente é uma conhecida e movimentada doceria. Esta bandeira e o quadro do mastro são os elementos fundamentais da festa; os demais enfeites ficam a critério dos festeiros. Na mesma casa também se preparou de véspera o almoço dos festeiros. Várias mulheres passaram o dia a cortar a carne e os demais ingredientes, preparando também os licores de frutas para a noite do samba. Na casa de outro festeiro, vários homens e mulheres preparavam o mastro, enquanto o pintor Damião finalizava  a pintura da bandeira.",INRC - Museu Aberto do Descobrimento
3,"Local||Bahia||Porto Seguro||-16,600494791367872   -39,11062055401466||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"O Samba de Couro é uma das principais formas de expressão relacionadas às celebrações religiosas de Trancoso. É executado por um grupo com cerca de 10 antigos moradores que se reúnem para cantar e tocar, na noite que antecede o dia do santo que está sendo celebrado na localidade. Pode também ocorrer no Ano-Novo e no Natal, mas é mais significativo, nas Festas de São Sebastião e São Brás. O principal instrumento musical é o tambor, acompanhado por outros como o cavaquinho, o violão, a sanfona, o pandeiro, etc. As canções são executadas em coro por todos que participam do grupo e pelo público presente.",INRC - Museu Aberto do Descobrimento
4,"Nacional||Bahia||Porto Seguro||-16,58929772964972   -39,09373336059088||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"Num platô a 40 m do nível do mar, o Quadrado de Trancoso é uma grande praça de formato retangular que agrega a Praça São João (sítio tombado pelo IPHAN) e parte da Rua Carlos Alberto Parracho. A área de 15,55 ha, protegida pelo IPHAN, mantém a distribuição do povoamento original da aldeia jesuítica do século XVI, conservando casas de um pavimento que foram edificadas, em sua maioria, no século XIX. Na porção que lhe é adjacente, apresenta construções mais recentes e de uso predominantemente comercial. A Igreja de São João Batista, construção do século XVI que está numa das cabeceiras da praça, tem atrás de si o Mirante e o oceano, e, à sua frente, um Cruzeiro de alvenaria e dois mastros de madeira com as bandeiras de São Sebastião e São Brás. Do lado oposto fica a entrada da praça, delimitada por “frades” de madeira e uma corrente que impede o livre acesso de veículos.
No Quadrado tradições se reproduzem. Atividades rituais e cotidianas, individuais e coletivas, atribuem ao lugar novos usos e significados, remontam a história local: as festas realizadas a partir de padrões tradicionais incorporados também pelos não-nativos de Trancoso, os cortejos fúnebres, as brincadeiras e os jogos de crianças e jovens; o encontro dos nativos com os visitantes; os ambulantes, os transeuntes e os moradores sentados em frente às casas. Lugar de encontros e contrastes; de dias agitados e ensolarados, de noites tranqüilas coalhadas de estrelas ou então iluminadas pela lua.
Trancoso se urbanizou e expandiu a partir do núcleo original de casas do Quadrado, que foi se especializando na recepção aos turistas e na prestação de serviços. Atualmente, o dinamismo das pousadas, bares e lojas que abrem e fecham a cada temporada turística contrasta com a serenidade dos antigos habitantes, tradicionalmente pescadores-lavradores, que permanecem no Quadrado.",INRC - Museu Aberto do Descobrimento
5,"Local||Bahia||Porto Seguro||-16,427845030634032   -39,22007076960828||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Uma das principais celebrações da localidade, organizada por festeiros. Realizada no dia de Pentecostes. Há uma representação do Império, missa e procissão com a coroa do Divino Espírito Santo. Havia antigamente a esmola do Divino, hoje já em desuso.
A esmola era feita primeiramente no Domingo de Páscoa  e depois na véspera do dia festa, no Sábado. Saem da casa do festeiro de manhã, cantando e percorrendo a localidade e a Coroa Vermelha. Param nas casas cantam e recebem bebidas e dinheiro. Voltam às 18h.
No Sábado ocorre a representação do império. Pessoas vestidas com trajes vermelhos saem da casa do alferes junto com o padre para as ruas da localidade, segurando a bandeira. Chegam à casa da pessoa designada como o Imperador, recebem a Coroa e saem acompanhados do imperador, da imperatriz em direção à cidade Alta. Lá entram na Igreja, com a coroa sendo carregada à frente e levam-na até o altar. O imperador se senta em uma cadeira similar a um trono.
Há então a missa. Na hora das oferendas, as pessoa que fizeram promessas, vão pagá-las ao lado do imperador. Ao se aproximarem acendem velas e o imperador lhes dá uma queijadinha. Terminada a missa forma-se o quadro na porta da igreja, e o grupo desce da cidade histórica em direção à casa do imperador para lá deixá-lo. Seguem então em direção à casa do alferes onde o grupo se desfaz.
No Domingo refaz-se todo o procedimento de Sábado à noite até chegarem à igreja Nossa Senhora da Conceição, onde é realizada a missa do Espírito Santo às 10h. Após a mesma é distribuído pão bento na igreja. Terminada esta etapa, é feito o sorteio dos festeiros para a festa do próximo ano.",INRC - Museu Aberto do Descobrimento
6,"Nacional||Bahia||Porto Seguro||-16,895558400000002   -39,4075084||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"O Monte Pascoal, com 536 metros de altitude, foi a primeira porção de terra brasileira avistada pela esquadra de Cabral em 22 de abril de 1500, segundo relato de Pero Vaz de Caminha: um grande monte, muito alto e redondo (...) ao qual o capitão pôs o nome de O Monte Pascoal e à Terra A Terra de Vera Cruz!. Situado no Parque Nacional de Monte Pascoal, criado em 1961, identifica uma das poucas porções onde se observam remanescentes de Mata Atlântica na região sul da Bahia.",INRC - Museu Aberto do Descobrimento
7,"Local||Bahia||Belmonte||-15,861368088936166   -38,87694065513128||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"O Boi Duro é a representação da dança de bichos e personagens de lendas populares, bastante tradicional da localidade. É apresentado no Dia de Reis (06 de janeiro) e na festa de São Sebastião. Há em Belmonte atualmente oito grupos de Boi Duro. Esses são compostos de um produtor/organizador (o dono do Boi), de participantes que representam os bichos e de tocadores da música. Cada grupo de Boi Duro varia em número de bichos, música e ornamentos, mas em geral tem formas de organização e procedimentos similares.
Geralmente um mês antes das apresentações as fantasias começam a ser providenciadas. A madeira e as folhas naturais utilizadas nos enfeites são colhidas nas matas e papéis e tecidos são comprados. Coordenado pelo produtor, participantes do grupo e vizinhos do organizador ajudam na confecção dos bichos e dos personagens. São escolhidos os participantes que encenarão os bichos, sendo que cada bicho ou personagem tem um bicho. O grupo também faz o ensaio das danças, das músicas e da bateria. Em geral, os organizadores são os responsáveis por passar nas casas dos moradores para saber qual casa receberá o boi.
No dia de Reis, cada grupo de boi sai da casa do organizador e se reúne com os demais. Os grupos vão cantando e dançando pelas ruas em direção às casas dos moradores que solicitaram a visita. Os bichos e personagens entram na casa. Cada animal ou personagem tem dança e músicas próprias, tocada quando entra e quando sai. Os donos da casa geralmente oferecem contribuições em dinheiro e bebida ao participantes. Em seguida o grupo sai em direção a outra casa, fazendo esse trajeto durante toda a noite. 
No caso da festa de São Sebastião, há algumas alterações. Nesses dias os grupos vão para a sede dos carregadores (lugar de onde sai o mastro de São Sebastião) e de lá acompanham o percurso do mastro até a praça de São Sebastião e ficam defronte à Igreja de São Sebastião a dançar. Segundo relatos de organizadores, o grupo que chega primeiro dança primeiro e assim por diante. O grupo dança na rua da seguinte forma: participantes carregando as fantasias se alinham de forma paralela em um lado da rua. No canto do lado oposto ficam os tocadores e o organizador. O cantor começa a cantar a música de um determinado bicho ou personagem (não há ordem fixa), que começa a dançar. Quando a música toca ele para de dançar e volta a seu lugar. Em seguida inicia-se outra música, e assim por diante.
Após a  apresentação, o grupo guarda as fantasias na casa do produtor. Em geral as fantasias danificadas são dadas ás crianças que brincam com elas pelas ruas por mais uns dias. Algumas em bom estado de conservação são mantidas para o próximo ano.
Entre um dia e uma semana depois das apresentações os grupos fazem um guisado de confraternização, do qual geralmente participam os integrantes dos grupos e vizinhos.",INRC - Museu Aberto do Descobrimento
8,"Local||Bahia||Belmonte||-15,862400112915395   -38,87696210734313||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Embora o Carnaval seja uma celebração generalizada em toda a região do Museu Aberto do Descobrimento, em Belmonte as características de tal evento adquiriram certas especificidades. Como se observou, em Belmonte, diferentemente das outras localidades consideradas, os entrevistados dão destaque para as atividades ligadas à cultura afro-brasileira. Além disso, o isolamento da cidade em relação ao desenvolvimento turístico da região de Porto Seguro preservou muitos elementos tradicionais do Carnaval de rua desde o início do século XX. O grupo Dança dos Negros Africanos faz parte desse conjunto de características. Esse grupo, que é um dos muitos blocos carnavalescos existentes em Belmonte, conta com cerca de 70 integrantes, predominantemente meninos e homens moradores do bairro da Biela, que executam as danças ao som dos atabaques, agogô e cantoria. Apenas uma menina participa do grupo como porta-estandarte. Embora esteja fortemente associado ao carnaval, o grupo desenvolveu uma dança própria, e faz apresentações artísticas muito apreciadas em Belmonte e em outras localidades da região. O presente Inventário refere-se especialmente a essas atividades que extrapolam o contexto do carnaval.",INRC - Museu Aberto do Descobrimento
9,"Local||Bahia||Belmonte||-15,862689088680902   -38,87694065513128||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"As bandas filarmônicas são freqüentes nos principais municípios do Sul da Bahia, a sua criação estando associada ao desenvolvimento e à dimensão alcançada pelas cidades; elas ocorrem quando a localidade atingiu um certo grau de desenvolvimento e importância na região. Em Belmonte, esse tipo de tradição inicia-se no século XIX com as bandas Bonfim e 15 de Setembro. A Lira Popular foi a última a ser fundada,  em 8 de dezembro de 1914. Atualmente, estão em atividade as Bandas Filarmônicas 15 de Setembro e Lira Popular.",INRC - Museu Aberto do Descobrimento
