,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
0,"ES||Vitória||-20,269182000000008   -40,302948||Local",Saberes||Reconhecimento,Associação de detentores,Ofício das Paneleiras de Goiabeiras||Registro do Ofício das Paneleiras de Goiabeiras como Patrimônio Cultural do Brasil
1,"AP||Pedra Branca do Amapari||1,168229682440268   -52,836003430156126||Local",Formas de expressão||Reconhecimento,Associação de detentores,Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil
2,"RJ||Rio de Janeiro||-22,952019656067456   -43,191305861489866||Local",Formas de expressão||Reconhecimento,Instituição pública federal,Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil
3,"AP||Macapá||0,043015696725105856   -51,0668877305691||Local",Formas de expressão||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Publicação dos livros ""Kusiwarã"" e “Povos Indígenas no Amapá e Norte do Pará""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Oficina sobre legislação e direitos autorais||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - 3ª Reunião do Conselho Consultivo do Plano de Salvaguarda Wajãpi||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - “Exposição Transfronteiriça: Memória e Identidade dos Kali’na Tilewuyu”||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Publicação do livro ""Casa de Farinha""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Reedição Dossiê de Registro vol. 2||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Exposição ""Jane reko Mokasia""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - formação de documentarista indígena||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Biblioteca||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2007/2008 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Capacitação em pesquisa e registro||Edital PNPI 2005 - Artesãs do Maramará||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
4,"PA||Belém||-1,4506370286537937   -48,485489705076475||Local",Celebrações||Reconhecimento,Instituição religiosa,"Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará||Registro do Círio de Nazaré como Patrimônio Cultural do Brasil"
5,"PA||Belém||-1,4524603455003404   -48,48149321364275||Local",Celebrações||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará||Registro do Círio de Nazaré como Patrimônio Cultural do Brasil"
6,"BA||Cachoeira||-12,599321250738829   -38,96433217299062||Local",Formas de expressão||Reconhecimento,Associação de detentores,Samba de Roda do Recôncavo Baiano||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil
7,"BA||São Félix||-12,6086504620899   -38,97255223953788||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Associação de detentores,Nenhum registro encontrado||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil
8,"BA||Santo Amaro||-12,553240529543228   -38,70446977457248||Local",Formas de expressão||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Samba de Roda do Recôncavo Baiano||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Capacitação para elaboração de projetos e captação de recursos||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA )ʺ.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba"
9,"BA||Cachoeira||-12,602991127239337   -38,9639781213998||Local",Formas de expressão||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Samba de Roda do Recôncavo Baiano||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Prêmio (doação de instrumentos e tecidos)||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas"
