,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Tipo do recurso,Título
0,"Alagoas||Penedo||-10,289947200000011  -36,584675||Não informado",Não encontrado.,Convento Sta. Maria dos Anjos - Penedo - AL -  Anderson Schneider (1).jpg||Convento Sta. Maria dos Anjos - Penedo - AL -  Anderson Schneider (1).jpg||Convento Sta. Maria dos Anjos - Penedo - AL -  Anderson Schneider (1).jpg||Convento Sta. Maria dos Anjos - Penedo - AL -  Anderson Schneider (1).jpg||Convento Sta. Maria dos Anjos - Penedo - AL -  Anderson Schneider (1).jpg,Não encontrado.||Não informado,Edificação,Convento e Igreja Santa Maria dos Anjos||Convento e Igreja Santa Maria dos Anjos||Convento e Igreja Santa Maria dos Anjos||Convento e Igreja Santa Maria dos Anjos||Convento e Igreja Santa Maria dos Anjos
1,"Alagoas||Marechal Deodoro||-9,715551199999993  -35,8929203||Não informado",Não encontrado.,Igreja e Convento de São Francisco- Marechal Deodoro - AL - Nelson Kon.jpg||Igreja e Convento de São Francisco- Marechal Deodoro - AL - Nelson Kon.jpg,Não encontrado.||Não informado,Edificação,Convento e Igreja de São Francisco||Convento e Igreja de São Francisco
2,"Alagoas||Porto Calvo||-9,056306000000008  -35,39866||Não informado",Não encontrado.,colorida@4x.png,Não encontrado.||Não informado,Conjunto Arquitetônico,logo patrimônio cultural colorida
3,"Alagoas||Penedo||-10,292130600000009  -36,5845306||Não informado",Não encontrado.,Igreja São Gonçalo Garcia - Penedo - AL - Anderson Schneider (12).jpg||Igreja São Gonçalo Garcia - Penedo - AL - Anderson Schneider (12).jpg||Igreja São Gonçalo Garcia - Penedo - AL - Anderson Schneider (12).jpg||Igreja São Gonçalo Garcia - Penedo - AL - Anderson Schneider (12).jpg||Igreja São Gonçalo Garcia - Penedo - AL - Anderson Schneider (12).jpg,Não encontrado.||Não informado,Edificação,Igreja de  São Gonçalo Garcia||Igreja de  São Gonçalo Garcia||Igreja de  São Gonçalo Garcia||Igreja de  São Gonçalo Garcia||Igreja de  São Gonçalo Garcia
4,"Ceará||Caucaia||-3,7294596680000125  -38,65574704||Não informado",Não encontrado.,,Não encontrado.||Não informado,Edificação,
5,"Bahia||Salvador||-12,97277657089999  -38,5104422271||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
6,"Bahia||Ilhéus||-14,852894599999997  -39,06780119999999||Não informado",Não encontrado.,santana_bahia.jpeg,Não encontrado.||Não informado,Edificação,Capela de Nossa Senhora de Santana - Ilhéus
7,"Bahia||Cairu||-13,48562269999999  -39,0470409||Não informado",Não encontrado.,Ig e Convento de Sto Antônio - Cairu - BA - Nelson Kon (3).jpg,Não encontrado.||Não informado,Edificação,Santo Antônio
8,"Bahia||Cachoeira||-12,743207500000008  -38,873410799999995||Não informado",Não encontrado.,Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg||Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg||Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg||Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg||Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg||Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg||Convento do Paraguaçu - Cachoeira - BA - Anderson Schneider (1).jpg,Não encontrado.||Não informado,Conjunto Arquitetônico,Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú||Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú||Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú||Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú||Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú||Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú||Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú
9,"Bahia||Cachoeira||-12,684416000000006  -38,8600588||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
