issn,titulo,url
2317-2509,CLÍNICA & CULTURA,https://seer.ufs.br/index.php/clinicaecultura/oai/
2175-3172,MÚSICA NA EDUCAÇĂO BÁSICA,http://abemeducacaomusical.com.br/revistas_meb/index.php/meb/oai/
1984-3852,ARTEFACTUM (RIO DE JANEIRO),http://artefactum.rafrom.com.br/index.php/artefactum/oai/
0103-2186,ESTUDOS HISTORICOS (RIO DE JANEIRO),http://bibliotecadigital.fgv.br/ojs/index.php/reh/oai/
1981-4712,EDUCERE ET EDUCARE (VERSĂO ELETRÔNICA),http://e-revista.unioeste.br/index.php/educereeteducare/oai/
1982-5935,TRAVESSIAS (UNIOESTE. ONLINE),http://e-revista.unioeste.br/index.php/travessias/oai/
2318-0765,REVISTA TRILHA DIGITAL,http://editorarevistas.mackenzie.br/index.php/TDig/oai/
2172-5672,REVISTA TRAMA INTERDISCIPLINAR,http://editorarevistas.mackenzie.br/index.php/tint/oai/
2177-5672,REVISTA TRAMA INDISCIPLINAR,http://editorarevistas.mackenzie.br/index.php/tint/oai/
1980-6914,REVISTA TODAS AS LETRAS (MACKENZIE. ONLINE),http://editorarevistas.mackenzie.br/index.php/tl/oai/
2238-7587,"REVISTA DE ESTUDOS DE LITERATURA, CULTURA E ALTERIDADE - IGARAPÉ",http://fatecitaqua.edu.br/revista/index.php/regit/oai/
2238-2542,E-REVISTA LOGO,http://incubadora.periodicos.ufsc.br/index.php/eRevistaLOGO/oai/
1809-8207,COLLOQUIUM HUMANARUM,http://journal.unoeste.br/index.php/ch/oai/
1517-7599,PER MUSI (UFMG),http://musica.ufmg.br/permusi/permusi/port/index.html/oai/
2317-6377,PER MUSI (ONLINE),http://musica.ufmg.br/permusi/permusi/port/index.html/oai/
2358-7822,REVISTA XIX: ARTES E TÉCNICAS EM TRANSFORMAÇĂO,http://ojs.bce.unb.br/index.php/revistaXIX/oai/
2238-1279,EDUCAÇĂO E CULTURA CONTEMPORÂNEA (ONLINE),http://periodicos.estacio.br/index.php/reeduc/oai/
1519-7727,OCULUM ENSAIOS (PUCCAMP),http://periodicos.puc-campinas.edu.br/seer/index.php/oculum/oai/
1679-9615,HORIZONTE : REVISTA DE ESTUDOS DE TEOLOGIA E CIÊNCIAS DA RELIGIĂO (IMPRESSO),http://periodicos.pucminas.br/index.php/horizonte/oai/
2177-6342,SAPERE AUDE: REVISTA DE FILOSOFIA,http://periodicos.pucminas.br/index.php/SapereAude/oai/
1676-5095,LÉGUA & MEIA,http://periodicos.uefs.br/index.php/leguaEmeia/oai/
1982-5838,CULTUR: REVISTA DE CULTURA E TURISMO,http://periodicos.uesc.br/index.php/cultur/oai/
2177-3815,REVISTA OPINIĂES ? REVISTA DOS ALUNOS DE LITERATURA BRASILEIRA USP,http://periodicos.ufc.br/passagens/oai/
2179-9938,REVISTA PASSAGENS: REVISTA DO PROGRAMA DE PÓS-GRADUAÇĂO EM COMUNICAÇĂO UFC,http://periodicos.ufc.br/passagens/oai/
2316-3488,MÚSICA E LINGUAGEM,http://periodicos.ufes.br/musicaelinguagem/oai/
2317-417X,INCANTARE,http://periodicos.unespar.edu.br/index.php/incantare/oai/
1679-4915,REVISTA CIENTÍFICA/FAP (CURITIBA. IMPRESSO),http://periodicos.unespar.edu.br/index.php/revistacientifica/oai/
1980-5071,REVISTA CIENTÍFICA/FAP (CURITIBA. ONLINE),http://periodicos.unespar.edu.br/index.php/revistacientifica/oai/
2358-0437,ART&SENSORIUM,http://periodicos.unespar.edu.br/index.php/sensorium/oai/
1807-8591,RECORTE (UNINCOR),http://periodicos.unincor.br/index.php/recorte/oai/
1414-4077,AVALIAÇĂO: REVISTA DA AVALIAÇĂO DA EDUCAÇĂO SUPERIOR,http://periodicos.uniso.br/ojs/index.php/avaliacao/oai/
2177-5788,REVISTA DE ESTUDOS UNIVERSITÁRIOS,http://periodicos.uniso.br/ojs/index.php/reu/oai/
2318-5694,"TRÍADE: COMUNICAÇĂO, CULTURA E MÍDIA",http://periodicos.uniso.br/ojs/index.php/triade/oai/
2316-395X,CONFLUÊNCIAS CULTURAIS,http://periodicos.univille.br/index.php/RCC/oai/
